Country Code (ISO3),item,macro_impact,type,physical_volume,physical_unit,Country Name,gdp2022,relative impact
AFG,alfalfa,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,almond,,vegetal,7463.965602539062,tonnes,Afghanistan,14502158192.0904,
AFG,aniseetc,,vegetal,299.951287109375,tonnes,Afghanistan,14502158192.0904,
AFG,apple,,vegetal,66807.05299023437,tonnes,Afghanistan,14502158192.0904,
AFG,apricot,,vegetal,26169.62899487305,tonnes,Afghanistan,14502158192.0904,
AFG,artichoke,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,asparagus,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,banana,128097.9325000669,vegetal,213.24776510748615,tonnes,Afghanistan,14502158192.0904,8.833025457544147e-06
AFG,barley,31747989.967155002,vegetal,36813.531965625,tonnes,Afghanistan,14502158192.0904,0.0021891907084885215
AFG,bean,320546.91775583883,vegetal,271.4946261721802,tonnes,Afghanistan,14502158192.0904,2.2103394095553847e-05
AFG,beetfor,57164.82389821487,vegetal,59.23202144670486,tonnes,Afghanistan,14502158192.0904,3.941814945129549e-06
AFG,berrynes,,vegetal,1925.3113532409668,tonnes,Afghanistan,14502158192.0904,
AFG,broadbean,3711.2352712538814,vegetal,3.4107483422974743,tonnes,Afghanistan,14502158192.0904,2.55909170352177e-07
AFG,buckwheat,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,cabbagefor,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,cabbage,259713.06313960574,vegetal,934.7239990628242,tonnes,Afghanistan,14502158192.0904,1.7908580205755543e-05
AFG,carrotfor,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,carrot,835746.4265887452,vegetal,1157.2229667526244,tonnes,Afghanistan,14502158192.0904,5.7629107027984863e-05
AFG,castor,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,cauliflower,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,cerealnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,cherry,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,chickpea,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,chilleetc,11488.677613672411,vegetal,9.24939828811884,tonnes,Afghanistan,14502158192.0904,7.92204681641001e-07
AFG,citrusnes,,vegetal,167.2472929906845,tonnes,Afghanistan,14502158192.0904,
AFG,cotton,10457794.146699373,vegetal,25581.688225781247,tonnes,Afghanistan,14502158192.0904,0.0007211198504511654
AFG,cucumberetc,885892.2502421379,vegetal,1137.9476560592652,tonnes,Afghanistan,14502158192.0904,6.108692502922159e-05
AFG,date,327775.36002710456,vegetal,297.1132705104284,tonnes,Afghanistan,14502158192.0904,2.2601833167554055e-05
AFG,eggplant,45559.769386191576,vegetal,82.58069491787488,tonnes,Afghanistan,14502158192.0904,3.141585464916543e-06
AFG,fig,,vegetal,1219.1346340667724,tonnes,Afghanistan,14502158192.0904,
AFG,fornes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,fruitnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,garlic,38055.689133839696,vegetal,69.81414260473252,tonnes,Afghanistan,14502158192.0904,2.624139705950497e-06
AFG,grapefruitetc,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,grape,325538518.3619238,vegetal,189774.11586914063,tonnes,Afghanistan,14502158192.0904,0.022447591182633442
AFG,grassnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,greenbean,235796.44906937674,vegetal,171.75689191781822,tonnes,Afghanistan,14502158192.0904,1.625940401049977e-05
AFG,greenbroadbean,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,greenpea,35159.22998174489,vegetal,42.50390471680958,tonnes,Afghanistan,14502158192.0904,2.4244136297534687e-06
AFG,groundnut,56661.86456487138,vegetal,74.02546199378966,tonnes,Afghanistan,14502158192.0904,3.907133256605575e-06
AFG,hazelnut,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,jutelikefiber,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,jute,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,kiwi,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,legumenes,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,lemonlime,172803.34844912845,vegetal,122.53818497314454,tonnes,Afghanistan,14502158192.0904,1.191569876429681e-05
AFG,lentil,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,lettuce,11832.589698833943,vegetal,33.33593379020691,tonnes,Afghanistan,14502158192.0904,8.159192267870542e-07
AFG,linseed,,vegetal,5003.486159814453,tonnes,Afghanistan,14502158192.0904,
AFG,maizefor,312001.0376822754,vegetal,638.9535893554687,tonnes,Afghanistan,14502158192.0904,2.1514110765419963e-05
AFG,maize,30185792.723735858,vegetal,61818.12968203125,tonnes,Afghanistan,14502158192.0904,0.002081469000951834
AFG,mango,81711.57186061055,vegetal,96.16708796682357,tonnes,Afghanistan,14502158192.0904,5.634442182900524e-06
AFG,melonetc,86822245.28228152,vegetal,100291.37724648436,tonnes,Afghanistan,14502158192.0904,0.005986849966209519
AFG,millet,1120072.6066347712,vegetal,2166.8514625488283,tonnes,Afghanistan,14502158192.0904,7.72348909588966e-05
AFG,mixedgrass,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,nutnes,,vegetal,331.53520751647955,tonnes,Afghanistan,14502158192.0904,
AFG,oats,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,oilseedfor,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,oilseednes,46.56566690233928,vegetal,0.17394720546260473,tonnes,Afghanistan,14502158192.0904,3.2109473835236875e-09
AFG,okra,60729.91634853123,vegetal,56.44306552212579,tonnes,Afghanistan,14502158192.0904,4.187646800160671e-06
AFG,olive,,vegetal,1585.5483682861327,tonnes,Afghanistan,14502158192.0904,
AFG,onion,91309670.54725887,vegetal,91536.2226984375,tonnes,Afghanistan,14502158192.0904,0.006296281514641037
AFG,orange,1579708.8658097116,vegetal,1421.4963248535155,tonnes,Afghanistan,14502158192.0904,0.00010892922590454834
AFG,papaya,6868.996899364725,vegetal,7.349664989690483,tonnes,Afghanistan,14502158192.0904,4.7365342512338156e-07
AFG,peachetc,,vegetal,17730.156591430663,tonnes,Afghanistan,14502158192.0904,
AFG,pear,,vegetal,1902.0620117187495,tonnes,Afghanistan,14502158192.0904,
AFG,pea,3409481.386135672,vegetal,1072.8049419891356,tonnes,Afghanistan,14502158192.0904,0.00023510165459339922
AFG,pepper,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,pimento,248041.81718271234,vegetal,63.75249111540658,tonnes,Afghanistan,14502158192.0904,1.7103786477656575e-05
AFG,pistachio,,vegetal,32.89805917739868,tonnes,Afghanistan,14502158192.0904,
AFG,plum,,vegetal,7808.486754876709,tonnes,Afghanistan,14502158192.0904,
AFG,popcorn,0.0,vegetal,0.0,tonnes,Afghanistan,14502158192.0904,0.0
AFG,potato,100540331.20901576,vegetal,132494.1297607422,tonnes,Afghanistan,14502158192.0904,0.006932784064088564
AFG,pulsenes,1948406.6387828027,vegetal,8210.731726855469,tonnes,Afghanistan,14502158192.0904,0.00013435287444633448
AFG,pumpkinetc,99476.35025527478,vegetal,244.6240016113975,tonnes,Afghanistan,14502158192.0904,6.859416987295727e-06
AFG,quince,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,rapeseed,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,rice,94558878.19714844,vegetal,121562.849609375,tonnes,Afghanistan,14502158192.0904,0.006520331453060666
AFG,rootnes,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,ryefor,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,rye,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,safflower,,vegetal,,tonnes,Afghanistan,14502158192.0904,
AFG,sesame,12641075.57890566,vegetal,12435.577658105469,tonnes,Afghanistan,14502158192.0904,0.0008716685759089436
