Crop,clipped_PA_surf,total_surf
alfalfa,212.38487243652344,871.77747
almond,328.6028747558594,1366.1609
aniseetc,5.32765007019043,28.953087
apple,6699.51171875,23538.355
apricot,964.2145385742188,3599.1023
artichoke,0.5281725525856018,2.110795
asparagus,0.5051248073577881,1.9009223
banana,0.07313291728496552,0.07313292
barley,35863.97265625,180223.44
bean,727.0120239257812,3640.291
beetfor,0.0,0.0
berrynes,358.8104553222656,1926.2039
broadbean,1667.7154541015625,4362.613
buckwheat,0.18174441158771515,0.3311982
cabbagefor,0.0,0.0
cabbage,1237.32763671875,4389.204
carrotfor,0.0,0.0
carrot,318.1256408691406,1264.0736
cauliflower,1.5210970640182495,28.42309
cerealnes,41.37682342529297,92.85372
cherry,1039.4749755859375,2777.371
chestnut,25.134077072143555,285.6104
chickpea,82.46031951904297,284.2375
chilleetc,543.6771850585938,2965.3828
citrusnes,143.05421447753906,740.9165
cotton,3690.43359375,70189.484
cranberry,287.7735595703125,861.56555
cucumberetc,1808.0985107421875,10728.801
currant,86.4656982421875,351.92993
date,95.26991271972656,390.13074
eggplant,729.40869140625,4661.5854
fig,154.54959106445312,1942.6345
fornes,9620.107421875,49467.14
fruitnes,3715.8671875,19078.96
garlic,421.64654541015625,2665.7024
gooseberry,2.6490721702575684,3.1392434
grapefruitetc,2.133631467819214,7.9100122
grape,3094.19384765625,15518.627
grassnes,81.0513916015625,157.59113
greenbean,4.32946252822876,14.498445
greenbroadbean,0.3900834321975708,1.6664639
greenpea,33.69376754760742,452.2879
groundnut,2.366546869277954,6.003504
hazelnut,7412.8505859375,30770.914
hemp,0.031447410583496094,0.03144741
hop,0.28994834423065186,0.512136
jutelikefiber,0.177331805229187,0.19078904
kiwi,12.680112838745117,186.39342
legumenes,0.0,0.0
lemonlime,54.70554733276367,551.3848
lentil,207.09918212890625,1500.6777
lettuce,7.642664909362793,25.371916
linseed,4.175039768218994,6.197744
lupin,0.16136130690574646,0.18449363
maizefor,332.1732177734375,1627.9047
maize,7466.46484375,34602.664
mango,2.219639778137207,7.746298
melonetc,827.5249633789062,7502.4224
millet,93.50054168701172,1064.142
mixedgrass,10761.5078125,53311.777
mustard,1.4116430282592773,1.6982065
nutnes,743.301025390625,3892.7234
oats,282.3572998046875,5762.2344
oilseedfor,0.0,0.0
oilseednes,1357.21484375,7077.117
olive,178.8273468017578,1734.8893
onion,1540.920166015625,12090.407
orange,93.61767578125,531.9788
peachetc,2203.790283203125,5543.631
pear,1502.566162109375,5461.989
pea,701.573486328125,5684.9565
persimmon,1879.1297607421875,11411.436
pimento,0.7570585012435913,3.1170185
pistachio,14.238856315612793,25.756348
plum,1498.843017578125,5708.6426
popcorn,0.0,0.0
potato,14639.861328125,59005.78
pulsenes,398.815185546875,2298.4177
pumpkinetc,122.1597900390625,1348.1311
quince,615.3524169921875,3983.4146
rapeseed,64.16019439697266,178.46027
rasberry,263.30145263671875,1422.5275
rice,177.057373046875,2592.8987
ryefor,0.0,0.0
rye,115.74319458007812,507.72003
safflower,4.927027702331543,9.593109
sesame,24.460649490356445,96.92461
sorghumfor,0.0,0.0
sorghum,3.1946263313293457,129.26471
sourcherry,926.9981079101562,3995.5217
soybean,28.051496505737305,132.79372
spicenes,17.202775955200195,32.19647
spinach,2.5231428146362305,8.43745
stonefruitnes,17.2600040435791,66.64902
strawberry,10.162723541259766,19.684042
sugarbeet,1296.1363525390625,5292.1045
sugarcane,1.4748679399490356,21.646152
sunflower,2435.9013671875,10821.79
tangetc,208.47412109375,2019.038
tea,140.7249298095703,616.06805
tobacco,395.5383605957031,2612.1426
tomato,4114.732421875,19281.715
tropicalnes,2.7683491706848145,6.2636595
turnipfor,0.0,0.0
vegetablenes,1069.311279296875,5645.8423
vegfor,1822.3480224609375,11388.45
vetch,8.193641662597656,236.40619
walnut,961.2503662109375,4477.628
watermelon,1886.74658203125,14017.0
wheat,57071.0390625,303504.8
