Crop,clipped_PA_surf,total_surf
almond,2033.268798828125,4934.839
avocado,2.159944534301758,4.188889
bambara,13270.6611328125,78681.26
banana,10.121783256530762,10.539578
bean,536.5052490234375,6664.7256
beetfor,0.0,0.0
cabbagefor,0.0,0.0
cabbage,14.899410247802734,31.790617
carrotfor,0.0,0.0
carrot,2.0303592681884766,4.28971
cashew,45458.1953125,139160.72
cassava,1327.72705078125,4478.3584
castor,0.9447946548461914,1.7533779
cerealnes,4.815829277038574,24.613708
chickpea,0.014237353578209877,12.014767
chilleetc,972.7911376953125,2586.3843
citrusnes,1.4008405208587646,2.1797168
cocoa,0.0,3.6861472
coconut,3.7091286182403564,6.689972
coffee,0.5533686876296997,0.5533687
cotton,89473.6875,658109.9
cowpea,183251.640625,1394207.2
date,3.0088915824890137,6.4695377
eggplant,8.802446365356445,15.561337
fonio,3039.43896484375,15004.61
fruitnes,3176.0908203125,14022.478
garlic,1.209457516670227,2.3903413
grapefruitetc,1309.1748046875,1949.3798
greenbean,520.3120727539062,1170.9398
greenbroadbean,1.339263916015625,2.7956483
greencorn,39.166011810302734,60.368393
greenonion,5790.0107421875,11834.366
groundnut,75133.3046875,491654.0
jutelikefiber,6.559788703918457,10.628534
karite,28672.31640625,95511.766
kolanut,87.42919921875,169.60654
legumenes,0.0,0.0
lemonlime,499.7076416015625,1451.2928
lettuce,8.189477920532227,17.73998
maizefor,0.0,0.0
maize,182570.5625,1161024.0
mango,857.052734375,2864.5374
melonseed,15.245389938354492,24.698696
millet,287200.5625,1259185.9
nutnes,14.46622085571289,25.169226
oilpalm,0.2895093560218811,1.2496846
oilseedfor,0.0,0.0
oilseednes,3.3579535484313965,5.2518544
okra,22051.560546875,42540.676
onion,37.69207000732422,77.127174
orange,648.9028930664062,1850.0472
pea,2.332472085952759,4.935926
pepper,5.335946083068848,11.306562
pimento,40.248779296875,69.73268
pineapple,4.989826202392578,11.722988
popcorn,0.0,0.0
potato,1011.8880615234375,5534.102
pulsenes,4943.8447265625,19232.523
rice,29039.31640625,190324.97
rootnes,0.8851959705352783,2.1415536
rubber,251.26156616210938,427.35623
sesame,92577.65625,413375.97
sorghumfor,0.0,0.0
sorghum,253288.140625,1892043.2
soybean,6127.6494140625,40397.89
spicenes,1060.755859375,3470.9666
sugarbeet,0.7187151312828064,2.3167076
sugarcane,904.2860717773438,4950.1987
sweetpotato,1439.152587890625,7725.665
tangetc,624.166748046875,1798.7352
taro,73.4659423828125,126.03495
tea,0.24527117609977722,0.55735314
tobacco,153.77932739257812,1018.6208
tomato,677.1817016601562,2108.2634
tropicalnes,442.91680908203125,1878.5095
turnipfor,0.0,0.0
vegetablenes,5555.095703125,17963.389
vegfor,4219.4462890625,24450.893
wheat,1.030914545059204,1.863745
yam,3483.66455078125,9320.899
