Crop,clipped_PA_surf,total_surf
aniseetc,167.46231079101562,771.9633
apricot,0.29848605394363403,2.0127907
areca,44230.70703125,330230.06
banana,20191.59765625,50924.582
barley,13.305633544921875,198.69661
bean,22203.783203125,76185.23
berrynes,218.1717529296875,1752.601
cabbagefor,0.0,0.0
cabbage,2665.66259765625,21932.209
carrotfor,0.0,0.0
carrot,8.383052825927734,82.36656
cashew,5.379566192626953,104.37805
cassava,124.67581176757812,368.30383
castor,93.88909149169922,491.90747
cauliflower,3375.108642578125,26505.914
cerealnes,11.746387481689453,12.573568
chickpea,3605.10009765625,5629.184
chilleetc,1.6816401481628418,17.818573
citrusnes,6.249988555908203,30.112062
coconut,18196.09765625,40498.94
coffee,8.773021697998047,31.20169
cotton,3142.875732421875,20522.617
cowpea,129.13348388671875,187.12056
cucumberetc,1714.81787109375,13368.158
eggplant,167.1866912841797,1772.7188
fibrenes,227.9109649658203,1915.3394
fig,0.4381420612335205,2.534474
fornes,879.832275390625,6366.879
fruitnes,9498.966796875,71461.195
garlic,8167.5380859375,61446.094
ginger,1797.8521728515625,11038.936
grapefruitetc,1399.622802734375,11095.51
grape,11.795339584350586,11.79534
grassnes,91.77652740478516,104.48466
greenbean,3557.003173828125,28113.21
greenpea,129.30783081054688,1255.4812
groundnut,13530.958984375,32356.215
jutelikefiber,233.54714965820312,1255.2969
jute,114431.8984375,575263.06
legumenes,0.0,0.0
lemonlime,6855.9951171875,48814.32
lentil,30061.888671875,121004.97
lettuce,928.9679565429688,7853.467
linseed,913.0580444335938,7022.518
maizefor,0.0,0.0
maize,68972.5234375,325560.5
mango,13841.20703125,109832.36
melonetc,1843.3748779296875,15055.868
millet,8050.6591796875,13432.537
mustard,15.83163833618164,17.701712
nutmeg,13.628995895385742,69.09218
oilseedfor,0.0,0.0
oilseednes,246.03709411621094,2251.289
okra,43.07298278808594,811.8291
onion,20635.060546875,154123.92
orange,447.71429443359375,1636.385
papaya,3993.19140625,29907.885
peachetc,4.2606096267700195,21.849796
pear,4.903177738189697,24.931705
pea,1378.0372314453125,11095.104
pigeonpea,292.9090270996094,603.8932
pimento,12757.1318359375,91343.805
pineapple,2142.600341796875,15669.52
plantain,9653.2861328125,9653.286
plum,3.0957140922546387,16.055119
popcorn,0.0,0.0
potato,24073.384765625,431950.28
pulsenes,30221.439453125,185979.44
pumpkinetc,6911.56005859375,55501.035
rapeseed,41842.51953125,286106.75
rice,1401908.75,10797466.0
rubber,25159.04296875,185297.16
sesame,5888.39208984375,44015.594
sorghumfor,0.0,0.0
sorghum,31.14935874938965,1471.781
soybean,58259.41796875,69862.13
spicenes,6435.98974609375,48214.844
spinach,665.3643188476562,5555.4434
sugarcane,9703.490234375,85726.43
sugarnes,1056.342041015625,8935.696
sunflower,96.71719360351562,175.69778
sweetpotato,10917.1328125,24493.566
tangetc,419.4375,3078.0564
tea,13273.89453125,69533.96
tobacco,5524.9052734375,38661.156
tomato,5249.74609375,36898.21
tropicalnes,12123.75,92364.89
turnipfor,0.0,0.0
vegetablenes,12593.9443359375,91279.12
vegfor,44037.4609375,241138.17
walnut,3.7681546211242676,19.570084
watermelon,20.630447387695312,197.462
wheat,26222.53515625,336428.06
yam,15.839012145996094,21.077885
