Crop,clipped_PA_surf,total_surf
almond,372.7986755371094,661.88684
avocado,1293.653564453125,4810.9136
bambara,34.44629669189453,93.87675
banana,3268.21142578125,13950.311
bean,9003.3212890625,49421.484
beetfor,0.0,0.0
cashew,431803.8125,1788408.2
cassava,272401.5,1148400.2
cerealnes,0.0,5.438925
chilleetc,1106.8212890625,4108.495
citrusnes,953.5770263671875,3568.7202
cocoa,1547822.875,4740742.5
coconut,10847.4794921875,42397.375
coffee,178074.0,736854.44
cotton,58502.58984375,431374.25
cowpea,1084.0673828125,3315.2612
cucumberetc,72.28990936279297,1078.9863
eggplant,5966.50927734375,22378.273
fonio,2783.37451171875,18315.783
fruitnes,1041.07080078125,3757.3306
ginger,61.473541259765625,245.36267
grapefruitetc,450.1435546875,743.53217
greenbean,222.52310180664062,678.20984
greencorn,18072.08203125,73282.27
greenonion,430.535888671875,1673.1836
groundnut,37725.8046875,157777.3
jutelikefiber,0.20381906628608704,1.7870703
karite,6311.7958984375,23580.941
kolanut,20521.150390625,85209.33
legumenes,0.0,0.0
lemonlime,5.129830360412598,15.768453
maizefor,0.0,0.0
maize,81500.1171875,557734.5
mango,39232.78125,146457.47
melonetc,0.8112156391143799,3.374914
melonseed,0.4002488851547241,4.341461
millet,8828.1015625,83809.62
nutnes,2204.06396484375,8236.241
oilpalm,78465.875,363867.78
oilseedfor,0.0,0.0
oilseednes,2163.6064453125,8054.0527
okra,8787.990234375,29059.445
onion,4.106753349304199,19.078632
orange,2740.10009765625,10589.49
papaya,1536.42626953125,6052.4653
pepper,35.06632995605469,134.92819
pimento,2921.28662109375,10921.357
pineapple,286.556884765625,1072.2456
plantain,97699.8515625,506918.12
popcorn,0.0,0.0
potato,2.8073623180389404,23.61635
pulsenes,5473.439453125,20769.68
rice,115397.9609375,525085.1
rootnes,583.9113159179688,2178.7607
rubber,130569.59375,527929.9
sesame,4078.242919921875,14830.865
sisal,4.929832935333252,20.396957
sorghumfor,0.0,0.0
sorghum,11688.685546875,103741.82
soybean,67.32025909423828,358.77228
spicenes,303.82562255859375,1133.6107
sugarbeet,0.23777905106544495,1.8444316
sugarcane,5448.18408203125,26185.25
sweetpotato,6289.8427734375,32409.41
taro,18514.94140625,76389.125
tea,0.01906268298625946,0.17869258
tobacco,2694.54296875,15777.046
tomato,1351.00439453125,5119.5186
tropicalnes,9383.2275390625,34898.82
vegetablenes,3376.354248046875,12642.554
vegfor,3908.8564453125,20745.45
wheat,0.0,9.071846
yam,306354.0625,1201925.2
