Crop,clipped_PA_surf,total_surf
abaca,119.5206298828125,667.7775
areca,31108.34765625,134714.19
avocado,10456.7470703125,45674.508
banana,41740.83984375,151999.61
bean,41584.37890625,191757.7
cabbagefor,0.0,0.0
cabbage,14762.849609375,65373.613
carrotfor,0.0,0.0
carrot,9242.4150390625,39661.797
cashew,116656.5703125,507820.94
cassava,146818.328125,668337.9
castor,744.072998046875,3456.6262
chilleetc,71300.3359375,306366.6
cinnamon,24977.669921875,108262.06
citrusnes,1.1330270767211914,3.1101327
clove,121615.0078125,537033.25
cocoa,430859.46875,1536138.5
coconut,698302.375,2648919.8
coffee,283809.375,1250157.6
cotton,608.185546875,2991.8386
cucumberetc,9270.5947265625,40873.375
eggplant,10607.8486328125,46267.344
fruitnes,23028.794921875,99708.95
garlic,2885.635498046875,12622.336
ginger,1665.1072998046875,7541.3413
grapefruitetc,1.4948267936706543,4.1144605
greenbean,26096.74609375,119845.96
greencorn,24919.787109375,108250.24
groundnut,74148.0,336608.97
jutelikefiber,1236.2027587890625,5440.1904
kapokfiber,52260.796875,233586.17
kapokseed,35540.21484375,161558.08
legumenes,0.0,0.0
lemonlime,2.536313533782959,6.306897
maizefor,0.0,0.0
maize,810796.875,3846340.2
mango,61969.95703125,267638.47
nutmeg,53432.375,225156.3
nutnes,49875.56640625,213287.78
oilpalm,772881.875,14429778.0
oilseedfor,0.0,0.0
oilseednes,348.69805908203125,791.86035
onion,42058.5703125,180384.94
orange,16061.7421875,70958.37
papaya,2567.30126953125,11319.862
pepper,44581.2890625,190881.98
pimento,2.8600034713745117,7.104182
pineapple,4253.630859375,19695.633
popcorn,0.0,0.0
potato,29141.33203125,64450.348
pulsenes,549.7845458984375,2404.8765
pumpkinetc,1847.7489013671875,8054.5337
pyrethrum,4.099557399749756,11.734426
rice,2071975.5,10131600.0
rootnes,17803.935546875,77469.28
rubber,828187.0625,3435144.8
sisal,36.39305114746094,285.66196
sorghumfor,0.0,0.0
sorghum,1.1457544565200806,2.1198046
soybean,120447.828125,668688.2
spicenes,1754.5540771484375,7409.13
spinach,10723.650390625,43191.977
sugarcane,75207.1953125,405347.9
sugarnes,16702.826171875,73303.375
sweetpotato,25259.310546875,71556.41
taro,91.45731353759766,255.66566
tea,66980.3203125,108067.15
tobacco,37821.203125,208536.27
tomato,12963.4716796875,56338.93
tropicalnes,37350.87109375,164546.75
turnipfor,0.0,0.0
vanilla,3399.17333984375,14292.091
vegetablenes,11302.611328125,49531.63
vegfor,15420.5947265625,63799.25
watermelon,6864.416015625,21534.678
yam,120.71260833740234,187.72427
