Crop,clipped_PA_surf,total_surf
alfalfa,8.276731491088867,21.364168
almond,512.5021362304688,1323.9806
aniseetc,32.533973693847656,81.503006
apple,1190.4169921875,2995.1895
apricot,257.20416259765625,668.37366
artichoke,182.48211669921875,450.4581
asparagus,5.382019519805908,13.875352
avocado,4110.935546875,10084.484
banana,1029.0361328125,3098.7131
barley,4193.02734375,8989.432
bean,2.3328943252563477,7.081577
beetfor,0.0,0.0
berrynes,237.21893310546875,588.38715
broadbean,47.05369567871094,118.9823
cabbagefor,0.0,0.0
cabbage,1170.7288818359375,2865.7896
carob,642.6674194335938,1593.7506
carrotfor,0.0,0.0
carrot,904.21484375,2209.012
cauliflower,1105.0032958984375,2706.1228
cerealnes,8.137995719909668,20.538115
cherry,207.96705627441406,497.40335
chickpea,1142.9735107421875,2445.661
chilleetc,898.9575805664062,2228.1152
citrusnes,1105.658447265625,2708.1406
clover,1051.7030029296875,2655.2717
cotton,2884.2080078125,7621.256
cowpea,2.816641330718994,6.993271
cucumberetc,478.09552001953125,1246.0048
date,1802.8424072265625,4490.79
eggplant,451.9891357421875,1114.8351
fig,79.29953002929688,205.99846
fruitnes,1064.6368408203125,2613.4863
garlic,198.05038452148438,491.05133
grapefruitetc,992.65234375,2412.6997
grape,3291.0234375,8153.2666
greenbean,356.3114929199219,877.21173
greenbroadbean,53.81647872924805,136.95038
greencorn,1087.83642578125,2656.958
greenonion,116.2933120727539,287.80902
greenpea,81.42806243896484,246.20938
groundnut,1220.57080078125,2588.9924
kiwi,95.88699340820312,236.20789
legumenes,0.0,0.0
lemonlime,952.1510009765625,2325.1987
lentil,58.24296951293945,128.40501
lettuce,1063.357666015625,2583.2297
lupin,1.0196566581726074,2.0378919
maizefor,0.0,0.0
maize,1447.519287109375,3866.0454
mango,778.2196044921875,1907.809
melonetc,669.0704956054688,1671.0356
millet,0.6506588459014893,1.5396236
mixedgrass,2594.880126953125,7294.7676
nutnes,22.80440902709961,63.32292
oats,370.7044372558594,920.2631
oilseedfor,0.0,0.0
oilseednes,1446.3870849609375,3554.045
okra,231.18710327148438,588.08026
olive,10975.8583984375,32604.172
onion,1357.295166015625,3344.7642
orange,1716.557861328125,4314.7334
papaya,91.3607177734375,221.99266
peachetc,1397.472412109375,3510.7173
pear,447.7650451660156,1101.0621
pea,596.7998657226562,1444.9188
persimmon,434.0452880859375,1104.538
pineapple,6.676826000213623,17.280317
plum,616.9486694335938,1562.6216
popcorn,0.0,0.0
poppy,491.3148193359375,1240.0629
potato,5569.55517578125,14982.746
pulsenes,72.20858001708984,176.6916
pumpkinetc,210.2606964111328,559.37634
quince,58.86854553222656,143.50003
rootnes,27.355060577392578,69.00519
safflower,1.4013698101043701,3.2841763
sesame,21.50128936767578,55.889015
sorghumfor,0.0,0.0
sorghum,1182.5592041015625,2531.478
soybean,6.425973892211914,11.38558
spicenes,54.707183837890625,137.15799
spinach,55.74794387817383,137.58806
strawberry,192.8848876953125,475.4152
sugarbeet,3.8908514976501465,7.381875
sugarcane,0.2214614599943161,0.5061332
sunflower,554.030517578125,1472.0114
sweetpotato,429.0867919921875,2228.7583
tangetc,3166.44384765625,7768.243
taro,1.0894712209701538,2.2943032
tobacco,26.931053161621094,72.66885
tomato,1909.4383544921875,4769.141
tropicalnes,861.45263671875,2132.8506
turnipfor,0.0,0.0
vegetablenes,1057.5008544921875,2672.2576
vegfor,21385.78515625,59456.28
vetch,237.86184692382812,591.8374
walnut,12.849104881286621,42.5988
watermelon,1758.4517822265625,4512.3677
wheat,25820.798828125,54922.57
