Crop,clipped_PA_surf,total_surf
apple,10291.4599609375,34728.2
asparagus,1790.82470703125,5056.0884
banana,3.953000783920288,4.4961133
barley,14480.4296875,62047.855
bean,3816.464599609375,34012.203
beetfor,0.0,0.0
broadbean,36.53300857543945,94.90903
buckwheat,10141.73828125,64597.62
cabbagefor,0.0,0.0
cabbage,9665.1259765625,34021.746
carrotfor,0.0,0.0
carrot,5659.91552734375,17179.1
cauliflower,6102.767578125,17246.309
cherry,1502.5718994140625,4235.124
chestnut,5561.97021484375,17390.121
chilleetc,1114.1805419921875,3144.6912
citrusnes,1009.3273315429688,2907.2344
cowpea,0.4834067225456238,8.948304
cucumberetc,3481.7548828125,10109.427
eggplant,2942.525390625,8444.826
grape,5448.40966796875,16364.984
grassnes,27291.83203125,113530.516
greenbean,2743.720947265625,7744.807
greencorn,7187.05615234375,22816.656
greenonion,7839.38525390625,24198.336
greenpea,1288.5106201171875,3639.52
groundnut,817.89794921875,5969.5776
hop,116.00276947021484,322.67258
kiwi,627.6166381835938,1773.878
legumenes,2045.7139892578125,5769.8228
lettuce,6889.2080078125,20889.352
maizefor,18062.001953125,67930.28
maize,23.460712432861328,60.046192
melonetc,2247.045166015625,6482.8037
millet,51.25733184814453,283.3254
mixedgrass,32457.248046875,139578.0
oats,61.64045715332031,170.27457
onion,8087.3134765625,25182.242
orange,869.4794311523438,2463.1719
peachetc,3246.7001953125,9204.279
pear,4083.22119140625,12105.514
pea,160.55471801757812,449.65833
persimmon,5932.306640625,18412.59
pineapple,113.5541000366211,317.2685
plum,971.4454345703125,2904.7764
popcorn,0.0,0.0
potato,9599.37890625,71511.67
pumpkinetc,5344.56787109375,15713.606
rapeseed,327.69537353515625,1757.5596
rice,312793.15625,1443512.2
rootnes,1249.475830078125,3527.1343
sorghumfor,6801.04052734375,21008.082
sorghum,0.0,0.0
soybean,29740.599609375,138339.1
spinach,6264.13818359375,19410.463
stonefruitnes,376.8523864746094,1065.5065
strawberry,1789.1070556640625,5052.8535
sugarbeet,13240.173828125,55236.246
sugarcane,3429.41259765625,17843.06
sweetpotato,5170.0439453125,31920.33
tangetc,10084.6083984375,35416.05
taro,3584.480712890625,10698.593
tea,9804.7119140625,38451.625
tobacco,1174.8641357421875,5889.684
tomato,3937.574462890625,11303.884
turnipfor,281.79559326171875,793.50555
vegetablenes,19668.876953125,75421.27
vegfor,25782.140625,119805.63
watermelon,3237.91357421875,9519.214
wheat,32443.205078125,210512.27
yam,1269.505859375,7144.6865
