Crop,clipped_PA_surf,total_surf
banana,52.25141143798828,273.86133
broadbean,469.2155456542969,1396.0559
cashew,1.5476657152175903,2.5839968
cassava,18457.33203125,93034.58
cerealnes,3825.3916015625,11124.542
citrusnes,4910.8076171875,16933.625
cocoa,25350.017578125,123829.86
coconut,497.51568603515625,4160.823
coffee,267.8536376953125,1453.1887
cotton,26.846803665161133,182.29156
fonio,105.48441314697266,210.9767
fruitnes,4494.90234375,15716.917
greencorn,116.65286254882812,237.60608
groundnut,8035.3798828125,39328.773
kolanut,7742.61474609375,24940.764
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,3168.936767578125,15014.166
mango,1793.86181640625,5689.1587
melonetc,0.7544803619384766,1.2142558
millet,5042.0380859375,28414.238
nutnes,0.13035064935684204,1.5359366
oilpalm,5910.56640625,30744.488
orange,0.4112347960472107,3.1473339
pea,1142.6693115234375,3402.0334
pimento,311.29693603515625,947.50616
pineapple,25.606203079223633,69.70307
plantain,1653.646484375,7438.051
popcorn,0.0,0.0
potato,0.0,2.3221583
pulsenes,28705.123046875,99867.01
rice,115396.328125,580542.6
rubber,19.839298248291016,62.707546
sesame,1907.884765625,5721.763
sisal,2.9956552982330322,5.0881624
sorghumfor,0.0,0.0
sorghum,8657.20703125,52074.523
soybean,0.6718974709510803,29.630157
spicenes,157.30894470214844,478.48572
sugarcane,554.5503540039062,1092.3589
sweetpotato,5591.1201171875,23475.418
taro,369.1890869140625,1127.5579
tobacco,15.246115684509277,91.13026
tomato,714.0948486328125,2156.682
tropicalnes,9.721536636352539,25.700603
vegetablenes,2249.19970703125,7582.6465
vegfor,14978.7353515625,45802.035
yam,15.451123237609863,76.759544
