Crop,clipped_PA_surf,total_surf
aniseetc,228.75750732421875,424.21765
apple,0.07097619771957397,0.13232425
avocado,5.5992937088012695,9.533325
banana,75869.421875,317383.44
barley,2710.123779296875,10782.295
bean,247944.6875,929790.2
berrynes,0.058978788554668427,0.11883993
cabbagefor,0.0,0.0
cabbage,1508.6395263671875,2593.0405
carrotfor,0.0,0.0
carrot,5.565061569213867,9.48238
cashew,287661.03125,735383.6
cassava,191122.359375,1008302.3
castor,2797.7431640625,6844.619
cauliflower,0.0,0.0106402
cerealnes,20260.345703125,49716.242
chickpea,6651.72900390625,49692.895
chilleetc,110.85401916503906,189.19217
citrusnes,5492.421875,13452.285
clove,2814.86767578125,6926.626
cocoa,2852.28759765625,9496.97
coconut,163059.796875,592019.06
coffee,33972.6015625,195259.48
cotton,37122.9296875,493629.75
cowpea,17266.517578125,128657.05
cucumberetc,0.0,0.025553722
date,0.22762686014175415,0.4348235
fruitnes,12583.435546875,31221.807
garlic,631.9843139648438,1558.4807
ginger,131.67965698242188,257.22086
grapefruitetc,2.681943416595459,4.6116834
grape,435.99188232421875,1077.3925
greenbean,389.64678955078125,935.90405
greenbroadbean,45.58115768432617,116.186646
greencorn,5530.8701171875,13580.12
greenpea,1998.136962890625,4871.9116
groundnut,162694.5625,998289.3
jutelikefiber,1.7301055192947388,3.178846
legumenes,0.0,0.0
lemonlime,619.3720092773438,1578.347
lentil,0.10109511017799377,1.6202439
lettuce,0.01201875600963831,0.053449314
linseed,0.7853175401687622,1.4159918
maizefor,0.0,0.0
maize,936452.1875,4171160.0
mango,14133.232421875,34660.477
millet,27810.51171875,271269.5
nutmeg,641.6101684570312,1582.1549
nutnes,2425.94921875,5960.807
oats,4.577694892883301,7.8016386
oilpalm,2912.23388671875,5205.5654
oilseedfor,0.0,0.0
oilseednes,17156.986328125,43176.254
okra,0.7739750146865845,1.3850576
onion,7591.74609375,18728.031
orange,12877.3779296875,30351.281
papaya,10.058772087097168,17.23743
peachetc,0.0,0.0
pear,166.94076538085938,393.89404
pea,25138.19140625,63820.633
pepper,137.68466186523438,389.83362
pigeonpea,14688.513671875,129935.61
pimento,1993.519287109375,4901.2227
pineapple,5975.19677734375,14650.121
plantain,84176.4296875,302675.12
plum,119.68834686279297,204.27713
popcorn,0.0,0.0
potato,39519.31640625,118619.086
pulsenes,17516.634765625,44290.797
pumpkinetc,38.22538757324219,127.632744
pyrethrum,5960.5732421875,14629.086
rice,352752.3125,1556265.6
rootnes,197.2767333984375,337.13016
safflower,9906.7568359375,24323.021
sesame,333712.96875,864683.75
sisal,18697.54296875,46498.33
sorghumfor,0.0,0.0
sorghum,85694.234375,695707.44
soybean,2925.2373046875,18438.906
spicenes,2.5300936698913574,5.705744
spinach,2.1880760192871094,3.7576587
strawberry,0.0,0.0
sugarcane,9432.859375,51192.973
sunflower,146639.15625,1024092.6
sweetpotato,99892.1484375,605552.9
taro,26.522390365600586,194.81042
tea,13374.3681640625,21178.934
tobacco,38559.39453125,119858.836
tomato,14269.009765625,35008.723
tropicalnes,8034.5966796875,19756.557
tung,0.4723852574825287,2.158233
turnipfor,0.0,0.0
vanilla,0.0,0.20068903
vegetablenes,36051.953125,96285.16
vegfor,91680.9375,329008.66
watermelon,640.5567626953125,1090.707
wheat,24919.70703125,61095.168
yam,579.3024291992188,1219.0333
