Crop,clipped_PA_surf,total_surf
alfalfa,349.78265380859375,982.6106
almond,283.66204833984375,1635.0121
aniseetc,458.7691955566406,2598.7585
apple,15243.4287109375,86577.47
apricot,1280.42138671875,7289.5527
artichoke,0.013544340617954731,0.14126791
asparagus,0.2026793360710144,1.0718219
barley,470284.71875,2188748.2
bean,6798.04833984375,44919.543
beetfor,7118.54931640625,40621.18
berrynes,270.8615417480469,1574.0547
blueberry,7.606400489807129,97.30672
broadbean,278.42010498046875,2303.472
buckwheat,15689.693359375,88791.35
cabbagefor,0.0,0.0
cabbage,11403.400390625,67966.766
canaryseed,4.134263515472412,18.703041
carrotfor,0.0,0.0
carrot,7106.826171875,42360.01
castor,15.653971672058105,185.83858
cauliflower,243.89178466796875,1452.148
cerealnes,1024.1939697265625,5398.9414
cherry,1760.2452392578125,9987.837
chestnut,4.124608993530273,22.247385
chickpea,6.589468955993652,38.484383
chicory,10.944531440734863,143.37666
chilleetc,2577.6875,15409.348
clover,130.98013305664062,380.68896
cranberry,27.91564178466797,126.68984
cucumberetc,8990.3291015625,53742.742
currant,662.5211181640625,3737.3098
eggplant,847.978759765625,5085.3887
flax,44.83149719238281,339.061
fornes,19245.91015625,109432.12
fruitnes,41.43569564819336,322.40775
garlic,3907.55615234375,23390.812
gooseberry,148.3307647705078,876.30176
grape,6756.11767578125,38564.047
grassnes,359.7023620605469,956.34534
greenbean,11.380086898803711,40.00828
greenbroadbean,0.0,0.09608871
greencorn,342.7923583984375,1591.2903
greenonion,109.09154510498047,505.93048
greenpea,1014.0400390625,6029.1
hazelnut,29.358795166015625,169.26299
hempseed,200.37254333496094,1165.9984
hemp,259.966064453125,1498.4728
hop,59.3013916015625,418.12555
jutelikefiber,3.187816619873047,15.394532
legumenes,709.5604858398438,1608.6895
lentil,521.5703125,2448.2324
lettuce,9.779315948486328,28.354115
linseed,2499.91796875,13909.894
lupin,423.2421875,1340.4216
maizefor,110527.7265625,517101.56
maize,1008765.3125,4808261.0
melonetc,1695.2705078125,9376.725
millet,17363.3515625,154804.55
mixedgrain,711.7913208007812,1501.7059
mixedgrass,112376.4375,519391.84
mustard,4099.7900390625,23360.242
nutnes,2.284271478652954,26.75644
oats,46279.8515625,198962.73
oilseedfor,0.0,0.0
oilseednes,2501.8486328125,14253.631
onion,9023.8291015625,53831.1
peachetc,485.0223693847656,2762.0762
pear,2075.365966796875,11803.177
pea,41711.640625,232608.7
pimento,28.772472381591797,81.36822
plum,3013.770263671875,16906.025
popcorn,0.0,0.0
poppy,3.9811277389526367,14.695949
potato,244272.859375,1313369.1
pulsenes,1528.3431396484375,3880.4333
pumpkinetc,10203.955078125,62657.13
quince,64.8381576538086,209.46878
rapeseed,159893.953125,1089631.4
rasberry,906.4828491210938,5153.4365
rice,939.5077514648438,11054.264
ryefor,0.0,0.0
rye,34608.9921875,140117.7
safflower,11.425870895385742,55.901917
sorghumfor,0.0,0.0
sorghum,6642.15673828125,46337.46
sourcherry,3408.880126953125,19309.387
soybean,177560.71875,1327616.0
spicenes,0.1597868949174881,0.7206745
spinach,1.0407845973968506,6.2679234
stonefruitnes,278.1336669921875,637.65106
strawberry,1394.3531494140625,7860.333
sugarbeet,47737.27734375,216607.14
sunflower,1055961.0,5692590.0
tea,0.01100426446646452,0.1118435
tobacco,35.58509063720703,387.74115
tomato,12478.0146484375,74574.875
triticale,564.073486328125,1179.8997
tropicalnes,0.0,0.0
turnipfor,1.3256144523620605,5.9954166
vegetablenes,4084.291748046875,24004.623
vegfor,9938.068359375,48124.734
vetch,645.4849853515625,3446.7788
walnut,2312.615234375,13124.313
watermelon,7713.4951171875,46224.58
wheat,942176.9375,6468661.0
