Crop,clipped_PA_surf,total_surf
almond,0.4686393141746521,1.5958538
aniseetc,1286.660888671875,6261.498
apple,18.883752822875977,103.26297
apricot,0.539887547492981,1.5571759
areca,2.7447569370269775,9.300502
artichoke,0.23005779087543488,0.51411414
asparagus,39.46725082397461,118.680786
avocado,0.21362462639808655,0.5848563
banana,28326.45703125,124350.49
barley,16.740198135375977,87.02324
bean,23028.783203125,129822.625
beetfor,0.0,0.0
berrynes,2365.303955078125,11794.434
broadbean,16.955482482910156,88.14307
buckwheat,15.338658332824707,79.73654
cabbagefor,0.0,0.0
cabbage,7187.78173828125,34867.848
carrotfor,0.0,0.0
carrot,13.927984237670898,41.888298
cashew,56885.74609375,260512.34
cassava,101269.0390625,511798.4
castor,1519.1348876953125,7478.4014
cauliflower,1497.8123779296875,6848.7197
cerealnes,0.014042467810213566,0.1451925
cherry,0.044478099793195724,0.07635673
chestnut,5.7710442543029785,19.57565
chickpea,0.0924057736992836,0.25062236
chilleetc,33.85929870605469,92.45671
cinnamon,16603.599609375,77440.805
citrusnes,3.4498181343078613,11.722496
coconut,10985.4599609375,142129.1
coffee,180320.515625,627406.8
cotton,27.47721290588379,134.18896
cucumberetc,50.46706771850586,151.76581
date,0.15543407201766968,0.43277755
eggplant,31.92538833618164,96.00325
fibrenes,2464.364013671875,12217.369
fig,0.0,0.0
flax,5.426477432250977,18.407068
fornes,260.7049865722656,798.8728
fruitnes,50061.68359375,231488.34
garlic,24.076435089111328,72.39368
ginger,1.0230493545532227,3.4208875
grapefruitetc,11804.21484375,53035.48
grape,61.37214660644531,326.0564
greenbean,6.669589996337891,20.056305
greenbroadbean,0.4720405042171478,1.3568484
greenonion,0.6926387548446655,1.9921699
greenpea,7.916879653930664,23.793865
groundnut,34910.515625,161444.83
hazelnut,0.30017179250717163,0.96413827
hempseed,0.5675867795944214,1.9445196
hemp,2.194711446762085,9.221241
hop,0.36033618450164795,1.1599354
jutelikefiber,0.21750479936599731,0.5842504
jute,18.543426513671875,165.26785
legumenes,0.0,0.0
lemonlime,10.396060943603516,26.118298
lentil,1.9916445016860962,9.517265
lettuce,14.590225219726562,43.876755
linseed,27.554058074951172,93.4961
maizefor,0.0,0.0
maize,201491.234375,905097.56
mango,20367.634765625,98399.266
melonetc,28.573808670043945,73.808334
melonseed,1.529683232307434,5.183933
millet,315.8607177734375,1212.5801
mushroom,0.3127315938472748,0.8386327
mustard,1.6286070346832275,5.493234
nutmeg,39.962799072265625,83.42227
nutnes,638.9758911132812,3196.3882
oats,5.470137119293213,28.431929
oilpalm,174.07769775390625,23649.037
onion,18471.92578125,91757.164
orange,14047.91796875,70767.93
papaya,0.13113658130168915,0.36490646
peachetc,19.85744857788086,57.750076
pear,27.308879852294922,112.38895
pea,12.653947830200195,65.765854
pepper,21572.619140625,101910.31
persimmon,18.152660369873047,52.79014
pimento,8420.431640625,42585.18
pineapple,7415.56494140625,36993.227
pistachio,0.7513763904571533,2.5509622
plum,51.00792694091797,148.57172
popcorn,0.0,0.0
potato,2460.7333984375,18824.176
pulsenes,32999.34375,157171.86
pumpkinetc,10.748737335205078,32.328426
quince,0.3379281163215637,1.0097456
ramie,8.124980926513672,24.095882
rapeseed,41.44355010986328,108.52188
rice,878444.6875,6621824.5
rootnes,1.9470752477645874,14.914721
rubber,149774.65625,653626.0
ryefor,0.0,0.0
rye,7.577089309692383,39.309685
safflower,1.0201375484466553,3.411155
sesame,6293.224609375,31738.46
sisal,0.37271615862846375,1.19974
sorghumfor,0.0,0.0
sorghum,0.5266289710998535,4.7184677
soybean,9672.44921875,44683.098
spicenes,1.0601974725723267,3.566088
spinach,22.11347007751465,66.48173
stonefruitnes,6.88716459274292,14.609388
strawberry,0.0,0.0
stringbean,0.03140115365386009,0.031401154
sugarbeet,0.0,0.0
sugarcane,27018.84765625,179389.33
sunflower,0.03804703429341316,0.10087846
sweetpotato,20484.23828125,106676.89
tangetc,67.34854125976562,208.5112
taro,4.76450777053833,16.142078
tea,34288.09765625,105326.43
tobacco,2668.63818359375,12029.501
tomato,37.96876525878906,114.174866
triticale,2.3550636768341064,12.356986
tropicalnes,19.620624542236328,57.06012
tung,7.3045854568481445,24.787567
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,32169.87890625,146111.72
vegfor,178268.84375,759725.06
walnut,9.309375762939453,31.601002
watermelon,11654.8798828125,54879.395
wheat,36.45844268798828,131.93422
yam,4.693086624145508,23.949883
