Crop,clipped_PA_surf,total_surf
aniseetc,0.6556552648544312,0.88645196
apple,0.23709240555763245,0.34482586
avocado,5.617287635803223,16.700144
bambara,3.68115234375,11.0384445
banana,71.38443756103516,95.48972
barley,172.9110565185547,1248.1688
bean,1529.4683837890625,4390.9336
cabbagefor,0.0,0.0
cabbage,26.659027099609375,39.45852
cashew,28.602014541625977,130.94524
cassava,33185.29296875,133925.39
castor,5.928806781768799,12.578056
cerealnes,3.5350801944732666,16.666256
chickpea,99.69865417480469,176.0483
citrusnes,9.184758186340332,17.658741
clove,2.3615121841430664,10.227827
cocoa,5.851644515991211,26.853378
coconut,70.24398803710938,346.30072
coffee,1666.25830078125,6615.165
cotton,21082.796875,70129.63
cowpea,414.1098937988281,1337.5912
date,0.0,0.0
fruitnes,1767.00390625,4973.6055
garlic,0.055523212999105453,0.19307713
grapefruitetc,0.9985860586166382,3.5848808
grape,0.6757862567901611,2.4946344
greenbean,0.08796218037605286,0.30717266
greenbroadbean,0.025064121931791306,0.08735946
greencorn,1.9351768493652344,6.7933426
greenonion,4.523913860321045,6.9226255
greenpea,0.1828872561454773,0.73269653
groundnut,49658.3203125,187934.78
jutelikefiber,7.87302827835083,26.125937
jute,1.57862389087677,2.637439
legumenes,0.0,0.0
lemonlime,1.2741037607192993,3.0518153
lentil,4.00518798828125,6.759797
lettuce,0.17517045140266418,0.5706148
maizefor,0.0,0.0
maize,297640.5,1275428.6
mango,70.61473083496094,130.22102
melonseed,66.4236068725586,198.58725
millet,17301.525390625,61384.945
nutmeg,1.8381714820861816,3.9975235
nutnes,20.864152908325195,33.21707
oilpalm,0.05929058790206909,0.15483375
oilseedfor,0.0,0.0
oilseednes,38.53630065917969,160.20369
onion,783.07080078125,2381.0122
orange,285.0423583984375,889.6846
papaya,11.6453857421875,36.405025
pea,113.97514343261719,202.19385
pepper,22.193300247192383,32.409164
pigeonpea,890.4136962890625,1427.1122
pimento,177.26121520996094,513.8451
pineapple,9.5519437789917,30.208708
plantain,260.72869873046875,673.25653
popcorn,0.0,0.0
potato,694.2193603515625,2112.028
pulsenes,19186.869140625,59648.29
pumpkinetc,2.0627970695495605,6.3515167
pyrethrum,2.0585250854492188,8.916688
rice,10708.9365234375,23786.059
rootnes,9.935813903808594,37.847588
rubber,24.359283447265625,74.02546
safflower,2.52687931060791,10.943431
sesame,30.89844512939453,118.081726
sisal,13.488414764404297,47.107613
sorghumfor,0.0,0.0
sorghum,8938.2275390625,32458.229
soybean,44371.39453125,206300.08
spicenes,848.9852294921875,2621.9934
sugarcane,7563.6689453125,44692.13
sunflower,18077.265625,92663.375
sweetpotato,10846.6875,51360.203
tangetc,0.6133744716644287,1.0294173
taro,11.874621391296387,34.534416
tea,196.28125,442.95068
tobacco,2984.60888671875,15237.162
tomato,828.09765625,2497.173
tropicalnes,5983.947265625,18520.348
tung,29.934612274169922,42.48686
vanilla,0.6357147097587585,0.8595422
vegetablenes,10166.7978515625,31233.227
vegfor,15432.7783203125,49448.45
watermelon,0.0,0.0
wheat,4462.73876953125,25850.65
yam,6.097923278808594,18.407192
