Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact
AFG,1977914023.0277693,2685163.6567185363,vegetal,tonnes,Afghanistan,14502158192.0904,0.1363875636183958
AGO,4030895713.361867,7816698.771742517,vegetal,tonnes,Angola,104399746853.401,0.03861020581804748
ALB,751412656.7095213,1124304.3754262112,vegetal,tonnes,Albania,18916378860.5488,0.039722859340517634
ARE,418631060.788014,214293.2327104564,vegetal,tonnes,United Arab Emirates,507063968277.74,0.0008255981236645716
ARG,21871700950.40744,34206931.71783822,vegetal,tonnes,Argentina,631133384439.944,0.03465464114184988
ARM,710382089.9181505,1185209.6616457158,vegetal,tonnes,Armenia,19513474648.2429,0.03640469484414029
AUS,6288671677.887772,27872626.998844046,vegetal,tonnes,Australia,1692956646855.7,0.003714608811494149
AUT,1080429442.7955701,2255863.0055131456,vegetal,tonnes,Austria,470941926750.741,0.00229418826701199
AZE,717295579.9905618,1746291.2589665058,vegetal,tonnes,Azerbaijan,78807470588.2353,0.00910187288890912
BDI,1022770954.0297481,2336079.6283451794,vegetal,tonnes,Burundi,3338722827.65691,0.3063359873893817
BEL,953976961.214965,2135236.7375055095,vegetal,tonnes,Belgium,583613982019.263,0.0016346026493646922
BEN,1308187052.913883,3021632.1528209005,vegetal,tonnes,Benin,17425418044.2906,0.07507349606126136
BFA,1217312996.1925788,2284365.550437497,vegetal,tonnes,Burkina Faso,18820219331.2261,0.06468112697139716
BGD,12064609927.862034,19945633.024295766,vegetal,tonnes,Bangladesh,460131688909.301,0.02621990664555197
BGR,1910616476.6117706,4589205.658942872,vegetal,tonnes,Bulgaria,90346169914.9349,0.021147730760592336
BHR,8471374.136664195,5975.921647292449,vegetal,tonnes,Bahrain,44383297872.3404,0.0001908685145711883
BHS,7365622.648587674,11239.526489833665,vegetal,tonnes,Bahamas,13136400000.0,0.0005607032861809684
BIH,437597090.1259512,770509.7073371276,vegetal,tonnes,Bosnia and Herzegovina,24534663636.1778,0.017835870775121963
BLR,1128389989.6906142,4772598.632509748,vegetal,tonnes,Belarus,73775179924.603,0.015294981196166652
BLZ,211975252.91690165,1582467.9787765946,vegetal,tonnes,Belize,2830507575.6841,0.07488948439421496
BOL,1376943466.301766,3221233.283120123,vegetal,tonnes,Bolivia,44008282879.8842,0.03128827975542656
BRA,16816370650.133938,95926655.39347723,vegetal,tonnes,Brazil,1951923942083.32,0.008615279667191106
BRB,19354438.373143863,105370.22300962576,vegetal,tonnes,Barbados,5840673700.0,0.003313733888805304
BTN,181445798.20470512,173255.3335014926,vegetal,tonnes,Bhutan,2898227713.22315,0.062605777101937
BWA,191728128.24290648,148335.77708568168,vegetal,tonnes,Botswana,20321958850.0363,0.009434529892405721
CAF,363350723.4712086,765013.4154590241,vegetal,tonnes,Central African Republic,2382618615.01694,0.15250058115936663
CAN,10704259571.788319,25924341.82294116,vegetal,tonnes,Canada,2161483369422.01,0.004952274777228882
CHE,410594749.11269027,532586.8053671293,vegetal,tonnes,Switzerland,818426550206.45,0.0005016879633353987
CHL,3511692700.738896,4888733.428296562,vegetal,tonnes,Chile,302116539409.03,0.011623636056496993
CHN,335847099596.26013,411705687.7487896,vegetal,tonnes,China,17881783387000.9,0.01878152152544265
CIV,3769770112.415897,8035124.319031802,vegetal,tonnes,Cote d'Ivoire,70173140101.4315,0.0537209836550979
CMR,5394868048.273236,12068886.935494823,vegetal,tonnes,Cameroon,43644068310.851,0.12361056741660213
COD,5494359059.833046,17471049.31822481,vegetal,tonnes,Congo,65801547619.5974,0.0834989336663669
COG,220303321.5349541,617046.037339256,vegetal,tonnes,Congo,15817030156.9459,0.013928235537833249
COL,8698041365.906273,27199830.896441534,vegetal,tonnes,Colombia,345329875078.512,0.02518763070796797
CPV,9266209.853830438,11878.251770521918,vegetal,tonnes,Cabo Verde,2303738020.15148,0.004022249827357169
CRI,1770124309.7577202,3276103.9882492335,vegetal,tonnes,Costa Rica,69243626028.5936,0.025563714832420266
CUB,899998973.7695887,2241910.530841732,vegetal,tonnes,Cuba,,
CYP,57980650.73260916,90878.5924142907,vegetal,tonnes,Cyprus,29250532020.0746,0.0019822084156560682
CZE,942926517.002503,2583567.7687731464,vegetal,tonnes,Czechia,290565654835.809,0.0032451409907180047
DEU,12071484861.7925,31858774.656478196,vegetal,tonnes,Germany,4082469490797.68,0.0029569075504429143
DJI,13548413.80662481,15598.294406071083,vegetal,tonnes,Djibouti,3674298479.07676,0.00368734709054696
DMA,62408288.26492371,63145.66810272155,vegetal,tonnes,Dominica,607159259.259259,0.10278734502223108
DNK,1432695486.4388404,5140493.596387792,vegetal,tonnes,Denmark,400167196948.707,0.0035802422021675153
DOM,1086324618.5293248,2118830.221688374,vegetal,tonnes,Dominican Republic,113537368176.13,0.009567991895356552
DZA,8222489829.2212715,12577131.87931072,vegetal,tonnes,Algeria,225560256621.757,0.03645362863285619
ECU,1044316389.6448567,3112264.247104539,vegetal,tonnes,Ecuador,116586000000.0,0.008957476795197166
EGY,10790910628.061827,27901082.79517824,vegetal,tonnes,Egypt,476747720364.742,0.022634425225580734
ERI,137671681.08828938,266427.51856828603,vegetal,tonnes,Eritrea,,
ESP,14673153108.795603,23896098.39960617,vegetal,tonnes,Spain,1417800466262.65,0.010349237045657295
EST,182306168.7751209,407936.4565382267,vegetal,tonnes,Estonia,37921480881.5429,0.004807464385280712
ETH,7671801355.071619,11489576.268290665,vegetal,tonnes,Ethiopia,126772703047.701,0.06051619292352657
FIN,766071015.3912301,1617546.2862685812,vegetal,tonnes,Finland,281887430795.721,0.0027176487196635193
FRA,13288021196.217037,21879931.598690905,vegetal,tonnes,France,2779092236505.85,0.004781425035724634
GAB,290033885.61125886,323846.8250166342,vegetal,tonnes,Gabon,21071739227.9422,0.01376411707044377
GBR,4997428009.668678,11056257.406675337,vegetal,tonnes,United Kingdom,3088839763445.02,0.0016178981081540426
GEO,172145247.3290095,332731.119756956,vegetal,tonnes,Georgia,24984568959.605,0.006890062726610717
GHA,6127815006.389427,18324260.647724252,vegetal,tonnes,Ghana,74263364041.8742,0.08251464346449741
GIN,1991721904.6758232,3707629.2528427374,vegetal,tonnes,Guinea,20999229260.4995,0.09484738129995762
GMB,77344589.48260193,142779.5580967063,vegetal,tonnes,Gambia,2175099789.97829,0.03555909932912729
GNB,69919602.97960702,175133.754248459,vegetal,tonnes,Guinea-Bissau,1714166526.44573,0.040789270996081754
GNQ,74525105.04480463,93705.71165624868,vegetal,tonnes,Equatorial Guinea,13486788878.9757,0.005525785693952725
GRC,5529693375.742819,4816679.648940963,vegetal,tonnes,Greece,217581324512.059,0.02541437500733822
GRD,14839499.228143264,14241.82731660843,vegetal,tonnes,Grenada,1224577777.77778,0.012118053665053636
GTM,3868886343.282449,9113346.138732212,vegetal,tonnes,Guatemala,95003330315.8754,0.040723691795001675
GUY,959052991.9725989,2923753.4133764217,vegetal,tonnes,Guyana,14718388489.2086,0.06516019010340492
HKG,0.0,0.0,vegetal,tonnes,Hong Kong SAR,358696261481.16,0.0
HND,506986678.18542594,1646268.4760827576,vegetal,tonnes,Honduras,31426041806.7985,0.01613269279352094
HRV,626959984.182534,1753962.1155968914,vegetal,tonnes,Croatia,71997070660.4835,0.008708131850795546
HTI,410183856.35252213,1102751.7577097318,vegetal,tonnes,Haiti,20253551920.5516,0.02025244055766347
HUN,2341872805.567587,3916401.168698526,vegetal,tonnes,Hungary,177006128624.627,0.013230461700758084
IDN,26465388541.872055,74523519.84766273,vegetal,tonnes,Indonesia,1319076267310.16,0.0200635772151673
IND,132488640995.53946,313750441.0628237,vegetal,tonnes,India,3353470496885.95,0.039507919070279306
IRL,429036420.5038536,925342.9456920684,vegetal,tonnes,Ireland,533140011838.276,0.000804734987015003
IRN,11163612625.27694,26645789.48755309,vegetal,tonnes,Iran,413394567603.552,0.02700473953973898
IRQ,1297998598.663453,3523302.5532141444,vegetal,tonnes,Iraq,286640340965.517,0.004528317941191687
ISL,1295691.278336,1174.48448,vegetal,tonnes,Iceland,28701830401.6837,4.514315847465925e-05
ISR,1915613377.1398163,1483523.8181319942,vegetal,tonnes,Israel,525002447652.773,0.0036487703737464626
ITA,12774089250.911932,12395838.943119545,vegetal,tonnes,Italy,2066972096553.7,0.006180097579551462
JAM,401250690.03218406,552800.8149701147,vegetal,tonnes,Jamaica,17097760686.7775,0.02346802586507659
JOR,800157062.5167291,1395438.4580575833,vegetal,tonnes,Jordan,48653381830.9859,0.01644607286080025
JPN,13918348867.430145,8918474.510786904,vegetal,tonnes,Japan,4256410760723.75,0.003269973141657856
KAZ,2493609121.015146,8128540.978494775,vegetal,tonnes,Kazakhstan,225496328925.494,0.011058313600480195
KEN,3944228426.0982957,10100491.875055932,vegetal,tonnes,Kenya,113419826113.903,0.034775475869071294
KGZ,536048849.8705708,1220277.637224697,vegetal,tonnes,Kyrgyz Republic,12134931017.9465,0.0441740335464455
KHM,1873818454.7220736,3873683.962109066,vegetal,tonnes,Cambodia,29504829319.3169,0.06350887288459178
KOR,8791668835.566814,6307695.08584302,vegetal,tonnes,Korea,1673916511799.71,0.005252154915488861
LAO,1164900311.0914044,2296578.9867880447,vegetal,tonnes,Lao PDR,15468785203.7532,0.07530651539519496
LBN,600278481.6879185,824001.4925469449,vegetal,tonnes,Lebanon,20992421948.8081,0.028595008386919397
LBR,54246809.401346095,140554.7775909106,vegetal,tonnes,Liberia,4001047000.0,0.01355815350365694
LBY,0.0,0.0,vegetal,tonnes,Libya,55938727098.0174,0.0
LKA,1010405286.7947311,2180809.7408492863,vegetal,tonnes,Sri Lanka,74144875098.0587,0.013627446070391803
LSO,10665115.350308143,27222.671744972864,vegetal,tonnes,Lesotho,2289355249.40148,0.004658567233327544
LTU,418689173.7881161,929643.8442385012,vegetal,tonnes,Lithuania,71013953448.2085,0.005895871916122402
LUX,92549362.72452591,93969.74913772286,vegetal,tonnes,Luxembourg,81641807865.7591,0.0011336025639792514
LVA,426748486.6642532,1038273.2601363496,vegetal,tonnes,Latvia,40422521943.4418,0.010557195992406143
MAR,4782785654.289961,12202376.429353608,vegetal,tonnes,Morocco,130912558829.84,0.03653420036275221
MDA,366799139.78960836,1446488.2178082108,vegetal,tonnes,Moldova,14510490660.2516,0.025278203775312473
MDG,2281237030.97234,6098856.818377998,vegetal,tonnes,Madagascar,15302510500.0528,0.14907599840983407
MEX,8062373583.14138,30130494.979800206,vegetal,tonnes,Mexico,1463323889036.56,0.005509630262682022
MKD,537784079.8161669,958745.4427344492,vegetal,tonnes,North Macedonia,13711469681.1535,0.0392214760577675
MLI,3166059504.304083,7668701.154978104,vegetal,tonnes,Mali,18780322203.7584,0.16858387571595962
MLT,4278245.947650375,6853.824656064664,vegetal,tonnes,Malta,18357069272.7682,0.00023305713368946862
MMR,8346937981.390141,16932285.3411763,vegetal,tonnes,Myanmar,62253049891.6449,0.13408078794402006
MNE,61450400.62285472,83561.27236139665,vegetal,tonnes,Montenegro,6229801580.79157,0.009863941864910361
MNG,52990857.687105365,104037.85129420055,vegetal,tonnes,Mongolia,17146471713.748,0.0030904817371038163
MOZ,1281370187.8550253,2353849.054483765,vegetal,tonnes,Mozambique,18406835494.9468,0.06961382298477095
MRT,335304081.0649169,632218.15605774,vegetal,tonnes,Mauritania,9744039514.55646,0.034411198822009256
MUS,32478941.203393303,316340.8939994782,vegetal,tonnes,Mauritius,12927979286.0453,0.002512298363476779
MWI,2905907790.827508,6056185.00087859,vegetal,tonnes,Malawi,13129458325.7379,0.2213273174515515
MYS,3784811145.0590987,12886335.361382391,vegetal,tonnes,Malaysia,407027451714.616,0.009298663097821687
NAM,333606192.8963033,206296.63434019132,vegetal,tonnes,Namibia,12567271004.6761,0.026545635307154057
NER,1976118428.0208697,4740037.9595284965,vegetal,tonnes,Niger,15433852712.2963,0.12803792188884094
NGA,29110406240.350563,48856576.16048503,vegetal,tonnes,Nigeria,472624596925.938,0.06159308345289585
NIC,431458169.33190143,2344387.3716705055,vegetal,tonnes,Nicaragua,15649934214.9276,0.027569327986079167
NLD,1701234544.1044626,4831625.95675051,vegetal,tonnes,Netherlands,1009398719033.08,0.0016853939994436527
NOR,295467220.3052271,452262.18401860475,vegetal,tonnes,Norway,593726965415.619,0.0004976483089300062
NPL,2257255253.8356843,5389095.750469504,vegetal,tonnes,Nepal,41182939600.67,0.054810445192187335
NZL,535187889.873229,749395.1114691823,vegetal,tonnes,New Zealand,246733522841.353,0.0021690927268823096
OMN,1277183797.3336096,954204.2915736154,vegetal,tonnes,Oman,114667360208.062,0.011138163423455298
PAK,10497053090.527557,40925111.62311282,vegetal,tonnes,Pakistan,374787958882.308,0.028007978489575414
PAN,130812826.6597744,495577.08984440315,vegetal,tonnes,Panama,76522511780.6222,0.0017094685422087798
PER,3232222445.104975,8146825.746858709,vegetal,tonnes,Peru,246488757636.211,0.01311306234045515
PHL,4694600406.335917,16740534.552008074,vegetal,tonnes,Philippines,404353369604.631,0.011610142907739852
PNG,1177663222.8853824,3223811.891843252,vegetal,tonnes,Papua New Guinea,31603619036.6338,0.03726355584530609
POL,11026557866.299995,22666811.55526877,vegetal,tonnes,Poland,689763329458.441,0.015986001857995782
PRK,0.0,0.0,vegetal,tonnes,Korea,,
PRT,2764352543.5397944,2398477.1309463517,vegetal,tonnes,Portugal,255196659934.378,0.010832244216090556
PRY,2150963213.9899907,8022695.324333347,vegetal,tonnes,Paraguay,41952910858.0846,0.05127089324662405
QAT,2356087.332956504,3430.331921405459,vegetal,tonnes,Qatar,235770403734.9,9.993142886609663e-06
ROU,3924658775.273651,8052553.400025307,vegetal,tonnes,Romania,298891515898.026,0.01313071320703744
RUS,13539854365.71343,54240553.52353279,vegetal,tonnes,Russian Federation,2266029240645.34,0.005975145475994577
RWA,1469170941.932417,2559510.73674733,vegetal,tonnes,Rwanda,13316160803.5187,0.1103299189316037
SAU,3058785726.729751,1606970.7740720236,vegetal,tonnes,Saudi Arabia,1108571466666.67,0.002759213833932711
SDN,4757799716.401741,7696123.28510465,vegetal,tonnes,Sudan,51666875363.0963,0.09208607416193892
SEN,825219540.913469,3232114.170445026,vegetal,tonnes,Senegal,27619479059.6131,0.029878171819690682
SGP,6174450.037928985,5020.4495541985325,vegetal,tonnes,Singapore,498474540987.78,1.2386690854248362e-05
SLB,73211080.96272403,141142.54651534348,vegetal,tonnes,Solomon Islands,1566360686.10632,0.0467396057703115
SLE,463274264.7828275,1050173.6838466376,vegetal,tonnes,Sierra Leone,4094563859.43556,0.11314373903712674
SLV,444881914.78201723,2471697.135967951,vegetal,tonnes,El Salvador,31988920000.0,0.01390737526562376
SOM,141320778.90737236,383982.5491292217,vegetal,tonnes,Somalia,10419541202.0391,0.013563051977731604
SRB,916887304.387697,2586095.309653405,vegetal,tonnes,Serbia,63563410720.7093,0.014424765663006977
SSD,645230073.128136,1370146.5404735717,vegetal,tonnes,South Sudan,,
STP,3245748.130330417,4417.936010307312,vegetal,tonnes,Sao Tome and Principe,542686976.457587,0.005980884508261429
SUR,110403151.77090973,251890.88271229694,vegetal,tonnes,Suriname,3620987993.32637,0.03048978675830665
SVK,424519869.25780743,1286257.20198852,vegetal,tonnes,Slovak Republic,115584743573.553,0.0036728019298469254
SVN,284399378.68509567,466310.4684707595,vegetal,tonnes,Slovenia,60063475466.3446,0.004734980393275
SWE,683772034.5947216,2332328.3559891814,vegetal,tonnes,Sweden,590409594949.102,0.0011581316435984887
SWZ,105260903.05931282,2254742.9181835004,vegetal,tonnes,Eswatini,4790922788.70864,0.021970903665447124
SYR,0.0,0.0,vegetal,tonnes,Syrian Arab Republic,8980060818.72145,0.0
TCD,1089722498.6553037,1991271.3412607524,vegetal,tonnes,Chad,12396807590.173,0.0879034776275088
TGO,413412273.33345824,1335630.0240900842,vegetal,tonnes,Togo,8169476148.95692,0.05060450214867728
THA,7683124712.350156,39777491.13456159,vegetal,tonnes,Thailand,495645210972.751,0.015501258848585041
TJK,527921148.76069665,895457.8913283505,vegetal,tonnes,Tajikistan,10713525200.3998,0.04927613823515308
TKM,785877664.8330492,1304962.9124893595,vegetal,tonnes,Turkmenistan,56542857142.8571,0.013898796497805326
TLS,50648681.52079489,68090.88600430544,vegetal,tonnes,Timor-Leste,3204753000.0,0.015804238741892088
TUN,1123839380.5604773,3059049.3359351866,vegetal,tonnes,Tunisia,44579761022.8993,0.02520963223609912
TUR,24351489254.024143,36247446.2202017,vegetal,tonnes,Turkiye,907118435952.688,0.026844884073433415
TZA,5798216250.866233,10504420.776236238,vegetal,tonnes,Tanzania,75769974505.0106,0.07652393033975222
UGA,1859454096.3179135,6585520.277456169,vegetal,tonnes,Uganda,45565333216.4142,0.04080852624266718
UKR,6992235968.582275,30000979.094643246,vegetal,tonnes,Ukraine,161989520721.19,0.04316474261700568
URY,929801908.8162234,1956158.3741969462,vegetal,tonnes,Uruguay,70164683290.3776,0.013251708198670609
USA,70053830434.60934,158476484.286893,vegetal,tonnes,United States,25744100000000.0,0.002721160593480034
UZB,4862626045.920279,11433357.927852426,vegetal,tonnes,Uzbekistan,81140823252.4164,0.059928231573315574
VEN,2995391636.300454,5119345.175722114,vegetal,tonnes,Venezuela,482359318767.703,0.006209876164417981
VNM,9846075054.385729,21800536.810370706,vegetal,tonnes,Viet Nam,410324028883.325,0.023995852938910982
YEM,1369271661.9344091,1550476.9519075286,vegetal,tonnes,Yemen,21606160663.0318,0.0633741312623504
ZAF,3934477464.6209483,17929653.834109582,vegetal,tonnes,South Africa,405270850098.738,0.009708266616418066
ZMB,833456431.0734582,2551734.2110635675,vegetal,tonnes,Zambia,29163782140.4858,0.028578475420594905
ZWE,990821353.8924996,2317359.7194986176,vegetal,tonnes,Zimbabwe,27366627153.0954,0.036205461065757574
AFG,1067927307.6296799,12976.771457293002,animal,1000 heads,Afghanistan,14502158192.0904,0.07363919862714892
AGO,782848852.8685123,21646.534980705263,animal,1000 heads,Angola,104399746853.401,0.007498570412893771
ALB,279494488.5043334,3407.872179856,animal,1000 heads,Albania,18916378860.5488,0.014775263836951122
ARE,534644869.0047065,15429.808400070191,animal,1000 heads,United Arab Emirates,507063968277.74,0.0010543933358559197
ARG,8369650980.75942,53742.47311300001,animal,1000 heads,Argentina,631133384439.944,0.013261302899048024
ARM,327670577.6951193,1860.09300481,animal,1000 heads,Armenia,19513474648.2429,0.01679201595829703
AUS,7298225133.370695,57230.28439949999,animal,1000 heads,Australia,1692956646855.7,0.004310934451230967
AUT,1054227802.0697395,3428.27405257,animal,1000 heads,Austria,470941926750.741,0.0022385515966764167
AZE,770747324.635721,8739.822423399999,animal,1000 heads,Azerbaijan,78807470588.2353,0.00978013021966957
BDI,100692802.31689703,1968.873189819336,animal,1000 heads,Burundi,3338722827.65691,0.030159078041097073
BEL,2193860709.0007524,13452.681845896,animal,1000 heads,Belgium,583613982019.263,0.0037590955264816483
BEN,208242737.65281337,6002.321005554199,animal,1000 heads,Benin,17425418044.2906,0.011950516029143052
BFA,692764668.862339,19288.347508789062,animal,1000 heads,Burkina Faso,18820219331.2261,0.03680959592818979
BGD,3611101143.0163045,99384.4359870898,animal,1000 heads,Bangladesh,460131688909.301,0.007847973156502394
BGR,434709179.650555,4570.073522299999,animal,1000 heads,Bulgaria,90346169914.9349,0.004811595002420731
BHR,164022014.96775386,2472.575873046875,animal,1000 heads,Bahrain,44383297872.3404,0.0036955797074730698
BHS,4419354.060261543,603.7265600585938,animal,1000 heads,Bahamas,13136400000.0,0.00033642048508431097
BIH,139409998.54641998,3230.4257182617184,animal,1000 heads,Bosnia and Herzegovina,24534663636.1778,0.005682164655432723
BLR,1953870210.723501,9674.109643000002,animal,1000 heads,Belarus,73775179924.603,0.0264841131220598
BLZ,42165967.68385754,847.4361769540001,animal,1000 heads,Belize,2830507575.6841,0.014896963373668599
BOL,1736899427.6762254,61304.805028071,animal,1000 heads,Bolivia,44008282879.8842,0.039467557332716265
BRA,15618657881.497406,181458.62173999997,animal,1000 heads,Brazil,1951923942083.32,0.008001673397595277
BRB,45665122.919256866,2924.025528869629,animal,1000 heads,Barbados,5840673700.0,0.007818468427581713
BTN,24330131.28325459,325.2731231,animal,1000 heads,Bhutan,2898227713.22315,0.008394830803752406
BWA,100148471.5751617,1302.1783699645996,animal,1000 heads,Botswana,20321958850.0363,0.004928091446016426
CAF,243174117.65891358,4676.05685509491,animal,1000 heads,Central African Republic,2382618615.01694,0.1020617047672922
CAN,6973432076.80119,52214.877831,animal,1000 heads,Canada,2161483369422.01,0.0032262251819526683
CHE,897526753.8834448,2231.3482379999996,animal,1000 heads,Switzerland,818426550206.45,0.0010966491173301277
CHL,2958369157.1551933,54441.342562718724,animal,1000 heads,Chile,302116539409.03,0.009792145649960301
CHN,92698528295.33426,1254971.215,animal,1000 heads,China,17881783387000.9,0.0051839643892969385
CIV,187274969.30785036,19952.7487834363,animal,1000 heads,Cote d'Ivoire,70173140101.4315,0.0026687557238731863
CMR,954713771.0686502,29114.638508850097,animal,1000 heads,Cameroon,43644068310.851,0.021874994885187748
COD,169885165.45518005,9710.120638347627,animal,1000 heads,Congo,65801547619.5974,0.002581780696668354
COG,18624728.27966068,1185.2251064071656,animal,1000 heads,Congo,15817030156.9459,0.00117751108108508
COL,5979149481.580302,80243.33602999999,animal,1000 heads,Colombia,345329875078.512,0.017314312815307164
CPV,12320329.469187481,408.1421817626954,animal,1000 heads,Cabo Verde,2303738020.15148,0.005347973320498209
CRI,636678074.9392272,6195.182061889649,animal,1000 heads,Costa Rica,69243626028.5936,0.009194753531196014
CUB,387789383.6710534,7697.378624999999,animal,1000 heads,Cuba,,
CYP,218292569.5795657,1316.3683633422852,animal,1000 heads,Cyprus,29250532020.0746,0.007462858091940065
CZE,841587127.2804501,3978.6563550914,animal,1000 heads,Czechia,290565654835.809,0.0028963750989634642
DEU,17584209944.681526,76982.30681980001,animal,1000 heads,Germany,4082469490797.68,0.004307248341798561
DJI,27478646.386276416,413.93429231292004,animal,1000 heads,Djibouti,3674298479.07676,0.007478610282412595
