Crop,clipped_PA_surf,total_surf
aniseetc,208.60049438476562,771.9633
apricot,0.591447651386261,2.0127907
areca,75863.6953125,330230.06
banana,18233.47265625,50924.582
barley,18.143447875976562,198.69661
bean,26817.291015625,76185.23
berrynes,371.0803527832031,1752.601
cabbagefor,0.0,0.0
cabbage,5076.45263671875,21932.209
carrotfor,0.0,0.0
carrot,23.661436080932617,82.36656
cashew,29.129133224487305,104.37805
cassava,110.33232879638672,368.30383
castor,107.77900695800781,491.90747
cauliflower,6357.44140625,26505.914
cerealnes,8.238309860229492,12.573568
chickpea,2571.235107421875,5629.184
chilleetc,5.129704475402832,17.818573
citrusnes,8.054709434509277,30.112062
coconut,13346.421875,40498.94
coffee,1.3059476613998413,31.20169
cotton,3933.215576171875,20522.617
cowpea,157.109130859375,187.12056
cucumberetc,2979.93212890625,13368.158
eggplant,496.4024963378906,1772.7188
fibrenes,393.17218017578125,1915.3394
fig,0.7119512557983398,2.534474
fornes,1393.52734375,6366.879
fruitnes,16040.3505859375,71461.195
garlic,14138.318359375,61446.094
ginger,2429.246826171875,11038.936
grapefruitetc,2430.76611328125,11095.51
grape,2.644347667694092,11.79534
grassnes,76.18551635742188,104.48466
greenbean,6281.57275390625,28113.21
greenpea,359.5042724609375,1255.4812
groundnut,9100.095703125,32356.215
jutelikefiber,267.95953369140625,1255.2969
jute,160506.578125,575263.06
legumenes,0.0,0.0
lemonlime,11610.5869140625,48814.32
lentil,28244.50390625,121004.97
lettuce,1661.091064453125,7853.467
linseed,1248.8809814453125,7022.518
maizefor,0.0,0.0
maize,70271.21875,325560.5
mango,24260.015625,109832.36
melonetc,3205.908203125,15055.868
millet,4577.56982421875,13432.537
mustard,12.839164733886719,17.701712
nutmeg,18.151927947998047,69.09218
oilseedfor,0.0,0.0
oilseednes,520.2075805664062,2251.289
okra,227.54493713378906,811.8291
onion,35293.08984375,154123.92
orange,361.94976806640625,1636.385
papaya,6867.630859375,29907.885
peachetc,5.883968353271484,21.849796
pear,6.666738510131836,24.931705
pea,2244.65771484375,11095.104
pigeonpea,223.71864318847656,603.8932
pimento,20831.630859375,91343.805
pineapple,3346.05224609375,15669.52
plantain,5214.84033203125,9653.286
plum,4.299646377563477,16.055119
popcorn,0.0,0.0
potato,62445.28515625,431950.28
pulsenes,46593.07421875,185979.44
pumpkinetc,12264.05078125,55501.035
rapeseed,62730.25,286106.75
rice,2436827.5,10797466.0
rubber,42835.87890625,185297.16
sesame,9333.6328125,44015.594
sorghumfor,0.0,0.0
sorghum,166.5794219970703,1471.781
soybean,59692.59375,69862.13
spicenes,10831.189453125,48214.844
spinach,1150.12353515625,5555.4434
sugarcane,13223.40234375,85726.43
sugarnes,1778.6507568359375,8935.696
sunflower,83.53377532958984,175.69778
sweetpotato,9338.990234375,24493.566
tangetc,721.1170043945312,3078.0564
tea,15954.037109375,69533.96
tobacco,5370.82373046875,38661.156
tomato,9191.2529296875,36898.21
tropicalnes,20782.689453125,92364.89
turnipfor,0.0,0.0
vegetablenes,20678.875,91279.12
vegfor,63530.875,241138.17
walnut,5.138312339782715,19.570084
watermelon,55.94438934326172,197.462
wheat,54045.69140625,336428.06
yam,17.48835563659668,21.077885
