Crop,clipped_PA_surf,total_surf
alfalfa,3706.5947265625,14123.223
almond,455.9972229003906,1134.1042
aniseetc,8245.0791015625,24194.223
apple,1633.96923828125,4447.7666
apricot,818.850830078125,2247.8887
artichoke,120.71927642822266,181.26306
asparagus,792.482177734375,2251.8003
avocado,4.251473426818848,4.409136
banana,0.5389688611030579,0.58319336
barley,44971.7578125,129936.984
bean,616.3617553710938,1604.7496
beetfor,642.5778198242188,1911.3547
berrynes,296.5389404296875,904.6697
blueberry,10.45671558380127,30.296257
broadbean,25.312646865844727,36.164734
cabbagefor,0.0,0.0
cabbage,691.1119995117188,1893.5236
carob,28.167993545532227,31.265215
carrotfor,0.0,0.0
carrot,545.379150390625,1167.8816
cauliflower,320.7182922363281,605.98065
cerealnes,2553.53271484375,8436.568
cherry,3676.891845703125,10702.754
chestnut,34.96202087402344,39.10115
chickpea,477.9248046875,1437.7709
chicory,0.03878945857286453,0.26969096
chilleetc,1305.0380859375,3592.4873
clover,355.6697998046875,849.69617
cotton,1065.7420654296875,1515.3802
cowpea,16.750516891479492,29.863369
cucumberetc,555.3795166015625,1625.7975
currant,104.52021026611328,179.37979
date,1.1772609949111938,1.177261
eggplant,699.421630859375,1354.6853
fig,49.899539947509766,57.03289
flax,7.9673237800598145,24.375278
fornes,6.147032737731934,12.516347
fruitnes,4429.9404296875,13667.182
garlic,195.00347900390625,535.1247
grapefruitetc,1.9430161714553833,1.9747268
grape,7633.04541015625,29256.172
grassnes,20721.32421875,60972.04
greenbean,215.36746215820312,678.24927
greenbroadbean,187.92977905273438,550.84
greencorn,2331.7080078125,10632.553
greenonion,360.13720703125,1059.7546
greenpea,328.16363525390625,956.02484
groundnut,5807.37158203125,8705.832
hazelnut,1142.7431640625,1149.3337
hempseed,3.471562147140503,7.289489
hemp,181.4834747314453,689.1903
hop,112.36847686767578,336.17108
kiwi,31.255582809448242,35.384396
legumenes,1311.6864013671875,2478.473
lemonlime,30.742599487304688,32.650978
lentil,686.306396484375,2190.4143
lettuce,73.20863342285156,187.13684
linseed,38.85490036010742,117.71277
lupin,86.10114288330078,86.56093
maizefor,17943.3046875,53429.848
maize,190171.796875,619246.2
melonetc,725.5164184570312,1748.2395
melonseed,3.875094175338745,4.2602005
millet,1226.240234375,3911.7783
mixedgrain,5.822795391082764,6.0367446
mixedgrass,481.05609130859375,1002.7125
mustard,1030.10888671875,3122.776
nutnes,275.4112854003906,735.20337
oats,3474.63427734375,8023.458
oilseedfor,0.0,0.0
oilseednes,2070.7314453125,7125.0146
okra,2.4719367027282715,2.4719367
olive,4161.39794921875,4535.162
onion,1100.9703369140625,3134.3398
orange,114.28646850585938,125.429886
peachetc,889.79736328125,2300.2158
pear,221.4773712158203,576.81714
pea,3120.1953125,14161.296
pimento,108.020263671875,262.2217
pistachio,101.08503723144531,102.40874
plum,3334.98046875,9667.02
popcorn,0.0,0.0
poppy,21.8220157623291,30.959656
potato,4576.6708984375,11067.899
pulsenes,2289.334228515625,10684.84
pumpkinetc,675.0388793945312,1913.2693
quince,117.68818664550781,341.37268
rapeseed,34591.0703125,124578.03
rasberry,591.9771728515625,1797.1661
rice,3245.701171875,12370.55
ryefor,0.0,0.0
rye,1200.3289794921875,4070.6768
sesame,11.895101547241211,11.936977
sorghumfor,1.6408567428588867,1.7937124
sorghum,1105.06494140625,3345.4521
sourcherry,572.6226196289062,1508.0717
soybean,2782.8134765625,5152.777
spicenes,255.85049438476562,727.2732
spinach,101.51829528808594,231.28003
stonefruitnes,2.50331711769104,2.7375937
strawberry,334.1300048828125,912.9795
stringbean,2.8096513748168945,2.8096514
sugarbeet,574.39453125,1953.1615
sunflower,221934.203125,836161.4
tangetc,42.226348876953125,44.519844
tea,6.033123970031738,6.033124
tobacco,1567.3955078125,4283.5244
tomato,1525.6302490234375,4136.2354
triticale,18011.080078125,22952.71
tropicalnes,2.8311750888824463,2.831175
turnipfor,0.0,0.0
vegetablenes,6319.60205078125,18710.387
vegfor,523.04638671875,1261.0088
vetch,182.6565704345703,478.2935
walnut,2597.458984375,7424.074
watermelon,4913.37939453125,10243.679
wheat,343302.8125,1235132.5
