Crop,clipped_PA_surf,total_surf
almond,340.8025817871094,661.88684
avocado,1331.330810546875,4810.9136
bambara,30.785743713378906,93.87675
banana,3542.0908203125,13950.311
bean,9720.68359375,49421.484
beetfor,0.0,0.0
cashew,474827.84375,1788408.2
cassava,309086.4375,1148400.2
cerealnes,0.0,5.438925
chilleetc,1135.9405517578125,4108.495
citrusnes,978.3768920898438,3568.7202
cocoa,1728277.75,4740742.5
coconut,11973.3447265625,42397.375
coffee,211278.734375,736854.44
cotton,60834.109375,431374.25
cowpea,895.106689453125,3315.2612
cucumberetc,72.28990936279297,1078.9863
eggplant,6099.9384765625,22378.273
fonio,2361.12939453125,18315.783
fruitnes,1066.388427734375,3757.3306
ginger,61.473541259765625,245.36267
grapefruitetc,402.82293701171875,743.53217
greenbean,213.61932373046875,678.20984
greencorn,19453.669921875,73282.27
greenonion,429.61077880859375,1673.1836
groundnut,43819.4375,157777.3
jutelikefiber,0.20381906628608704,1.7870703
karite,6498.99267578125,23580.941
kolanut,22630.0,85209.33
legumenes,0.0,0.0
lemonlime,5.0832061767578125,15.768453
maizefor,0.0,0.0
maize,86923.265625,557734.5
mango,40330.1875,146457.47
melonetc,0.7897641658782959,3.374914
melonseed,0.4002488851547241,4.341461
millet,7569.5009765625,83809.62
nutnes,2269.480712890625,8236.241
oilpalm,89163.8671875,363867.78
oilseedfor,0.0,0.0
oilseednes,2227.744140625,8054.0527
okra,8580.576171875,29059.445
onion,4.072488784790039,19.078632
orange,2696.4794921875,10589.49
papaya,1563.551513671875,6052.4653
pepper,35.73778533935547,134.92819
pimento,3009.211669921875,10921.357
pineapple,292.90179443359375,1072.2456
plantain,115791.15625,506918.12
popcorn,0.0,0.0
potato,2.532741069793701,23.61635
pulsenes,5627.439453125,20769.68
rice,145460.359375,525085.1
rootnes,601.4071655273438,2178.7607
rubber,140712.71875,527929.9
sesame,4126.64892578125,14830.865
sisal,4.813026428222656,20.396957
sorghumfor,0.0,0.0
sorghum,9537.0341796875,103741.82
soybean,101.33401489257812,358.77228
spicenes,312.89068603515625,1133.6107
sugarbeet,0.2117137908935547,1.8444316
sugarcane,5867.27490234375,26185.25
sweetpotato,6870.408203125,32409.41
taro,20216.779296875,76389.125
tea,0.01906268298625946,0.17869258
tobacco,2908.83642578125,15777.046
tomato,1389.3304443359375,5119.5186
tropicalnes,9650.4873046875,34898.82
vegetablenes,3472.003173828125,12642.554
vegfor,4283.87939453125,20745.45
wheat,0.0,9.071846
yam,348012.9375,1201925.2
