Crop,clipped_PA_surf,total_surf
abaca,5629.43359375,26978.7
agave,636.3095703125,3066.8208
alfalfa,83.1662826538086,168.2566
aniseetc,13.434179306030273,86.21457
apple,297.46124267578125,1439.5804
apricot,10.278095245361328,70.50268
artichoke,0.6286735534667969,2.0968032
asparagus,112.6918716430664,479.27432
avocado,566.262939453125,4888.4717
banana,30343.515625,175633.6
barley,1705.0274658203125,11600.453
bean,3747.74951171875,18918.627
beetfor,0.0,0.0
berrynes,714.1762084960938,3464.6025
brazil,3.3334367275238037,8.996495
broadbean,152.6715545654297,1888.3362
cabbagefor,0.0,0.0
cabbage,410.57470703125,1952.6523
carrotfor,0.0,0.0
carrot,1320.665283203125,6371.8623
cashew,0.11902686208486557,0.37722218
cassava,1493.8328857421875,15209.175
castor,412.0054931640625,2001.6536
cauliflower,2658.931884765625,12835.934
cerealnes,5.995091438293457,12.3458
chestnut,0.046053167432546616,0.060015406
chickpea,0.8748224973678589,1.1266563
chilleetc,443.2333679199219,2138.4473
citrusnes,1673.68505859375,9813.507
cocoa,57025.2890625,524958.2
coconut,373.0539245605469,2112.7483
coffee,4604.478515625,30484.076
cotton,392.3211669921875,3087.3857
cowpea,29.12104034423828,51.58798
cucumberetc,101.0987777709961,519.83154
fig,2.754153251647949,25.649872
fruitnes,4244.44775390625,20318.143
garlic,163.9896697998047,809.4594
grapefruitetc,85.43677520751953,422.8261
grape,25.185028076171875,102.2352
greenbean,814.394287109375,6929.201
greenbroadbean,427.78564453125,5139.8384
greencorn,1012.0370483398438,10330.198
greenonion,792.7078857421875,10938.227
greenpea,651.3492431640625,5512.379
groundnut,2550.670654296875,18911.082
legumenes,0.0,0.0
lemonlime,583.0667114257812,5776.1436
lentil,212.59739685058594,3582.1406
lettuce,518.9883422851562,2250.6653
linseed,29.044939041137695,166.27615
lupin,736.3828735351562,3555.3118
maizefor,0.0,0.0
maize,67971.0390625,317319.5
mango,898.2384643554688,14873.61
melonetc,342.6757507324219,1660.3442
nutnes,0.2682785391807556,0.6358613
oats,279.8493957519531,1190.0446
oilpalm,17892.58984375,188026.94
olive,8.23562240600586,20.124176
onion,15.831430435180664,30.933266
orange,1232.0885009765625,14044.631
papaya,767.6408081054688,3700.4329
peachetc,291.75238037109375,1411.7325
pear,472.975341796875,2293.947
pea,162.4729461669922,1522.8267
pepper,440.24578857421875,2119.6213
pimento,1.386317491531372,2.821212
pineapple,140.07749938964844,3248.1653
plantain,8675.3173828125,127078.78
plum,248.84445190429688,1209.2739
popcorn,0.0,0.0
potato,3759.8916015625,25484.049
pulsenes,0.8370770215988159,1.6494228
pumpkinetc,245.20860290527344,1180.6857
pyrethrum,54.38601303100586,279.512
quince,0.2033132016658783,0.49749672
quinoa,425.5498046875,5243.266
rice,33517.94921875,315180.3
rootnes,2011.95703125,9384.912
rubber,2615.052490234375,13152.599
ryefor,0.0,0.0
rye,21.908693313598633,125.68311
sesame,2.6481313705444336,22.040375
sorghumfor,0.0,0.0
sorghum,1035.4814453125,8275.829
soybean,2046.0235595703125,19276.443
spicenes,180.49630737304688,1055.618
spinach,0.5549710392951965,1.3224964
strawberry,16.326759338378906,97.92909
stringbean,5.2891974449157715,11.225136
sugarbeet,127.04456329345703,725.9217
sugarcane,11959.89453125,136700.47
sunflower,31.23992156982422,130.15079
sweetpotato,221.02777099609375,2253.7534
tangetc,1419.651123046875,6842.628
tea,111.7530288696289,628.1754
tobacco,696.1868286132812,6278.471
tomato,200.20986938476562,2665.1494
tropicalnes,1585.8345947265625,6965.6426
turnipfor,0.0,0.0
vegetablenes,457.9950866699219,2214.636
vegfor,847.49365234375,3930.8958
watermelon,967.4212036132812,4670.626
wheat,1258.9053955078125,6793.5083
yam,5251.20751953125,29966.357
yautia,2.7556142807006836,3.7111504
