Crop,clipped_PA_surf,total_surf
alfalfa,5502.5654296875,14270.279
almond,363.8482666015625,482.37817
aniseetc,14916.970703125,27177.562
apple,7424.1748046875,15607.476
apricot,1970.5821533203125,4301.989
artichoke,5670.9990234375,12646.817
avocado,0.22444121539592743,1.7593907
banana,13287.888671875,21580.863
barley,12623.7744140625,25869.219
bean,10418.3369140625,26384.576
beetfor,0.0,0.0
berrynes,26.770965576171875,47.269886
broadbean,10304.8291015625,19714.67
cabbagefor,0.0,0.0
cabbage,8611.3369140625,14532.476
carob,0.11291982233524323,0.3417795
carrotfor,0.0,0.0
carrot,2875.203857421875,5247.4043
cauliflower,1636.5107421875,3301.2417
cherry,1.0303223133087158,2.5004115
chickpea,900.6834716796875,2158.9255
chilleetc,777.1649169921875,1174.0491
citrusnes,138.63526916503906,253.2545
clover,24456.337890625,50972.062
cotton,26514.640625,51692.83
cowpea,804.0224609375,1926.0338
cucumberetc,9919.283203125,20173.072
date,16320.2099609375,41112.496
eggplant,17988.7265625,35397.97
fig,9714.9775390625,16598.877
flax,3807.63525390625,6877.549
fruitnes,13194.201171875,23921.938
garlic,5568.25244140625,12122.022
grapefruitetc,49.74313735961914,103.99977
grape,20868.59765625,43401.688
greenbean,7882.0205078125,14623.142
greenbroadbean,1186.694580078125,2016.9376
greencorn,0.054285015910863876,0.466192
greenonion,1085.6990966796875,2038.2244
greenpea,8036.525390625,15311.031
groundnut,20606.50390625,41028.098
jute,472.71331787109375,858.6277
legumenes,0.0,0.0
lemonlime,5709.6376953125,11297.167
lentil,359.7997131347656,575.0577
lettuce,2398.025634765625,4338.491
linseed,4168.25,7484.1196
lupin,31.566509246826172,96.72403
maizefor,0.0,0.0
maize,559246.4375,1046568.94
mango,35429.15234375,82208.56
melonetc,4194.97998046875,8110.7656
mixedgrass,4.522660255432129,9.195513
nutnes,832.8611450195312,1503.2046
oats,0.0642053484916687,0.19930497
oilseedfor,0.0,0.0
oilseednes,0.1408984661102295,0.6763664
okra,2549.5224609375,4606.473
olive,22670.01171875,43130.973
onion,29826.154296875,60941.1
orange,38565.546875,81764.89
peachetc,5772.93310546875,10728.304
pear,2000.6802978515625,3620.6582
pea,60.32356262207031,75.92529
persimmon,349.37841796875,754.22406
pimento,7102.61083984375,12904.658
plum,965.797607421875,1222.6647
popcorn,0.0,0.0
poppy,0.15833254158496857,0.32186309
potato,60070.46875,119185.12
pulsenes,1687.7625732421875,3068.5156
pumpkinetc,7746.49560546875,14585.574
rice,284567.0625,507227.06
rootnes,447.700439453125,816.669
ryefor,0.0,0.0
rye,14108.4716796875,25911.438
sesame,11491.3369140625,24320.598
sorghumfor,0.0,0.0
sorghum,57213.2890625,126827.664
soybean,2248.67724609375,8347.467
spicenes,0.011729552410542965,0.028103206
spinach,941.86474609375,1724.2046
stonefruitnes,63.180946350097656,114.46891
strawberry,6467.56103515625,12559.149
sugarbeet,51382.3515625,96847.83
sugarcane,41813.60546875,83107.75
sunflower,3714.683837890625,8351.75
sweetpotato,5846.67578125,11069.604
tangetc,14495.3515625,30097.361
taro,2269.126708984375,3069.5027
tomato,48772.4140625,103765.13
tropicalnes,991.8814086914062,1822.2517
turnipfor,0.0,0.0
vegetablenes,13152.9375,23897.438
vegfor,40453.5859375,82920.62
vetch,361.80950927734375,657.4907
walnut,1882.5977783203125,3439.3652
watermelon,13434.244140625,28688.418
wheat,211578.859375,484805.53
