Crop,clipped_PA_surf,total_surf
alfalfa,85257.6875,218536.44
almond,279166.65625,690069.0
aniseetc,613.4178466796875,1578.3773
apple,11654.9384765625,29744.846
apricot,7757.611328125,19837.494
artichoke,5434.361328125,13899.899
asparagus,5560.25927734375,14219.626
avocado,5968.4345703125,15180.705
banana,3803.091064453125,8976.213
barley,926388.875,2750613.8
bean,2660.912841796875,7300.746
beetfor,1447.0699462890625,3699.855
berrynes,88.04676055908203,240.91794
broadbean,9349.0537109375,20895.455
buckwheat,1.8225362300872803,2.0296452
cabbagefor,2488.76806640625,6361.5503
cabbage,4788.37158203125,12197.058
carob,25581.72265625,65391.734
carrotfor,61.77742004394531,172.69617
carrot,2677.099609375,6826.6714
cauliflower,15684.5302734375,40082.637
cherry,10823.703125,27659.17
chestnut,13304.66796875,33422.203
chickpea,11858.509765625,30541.83
chicory,82.85447692871094,227.28616
chilleetc,8496.5458984375,21729.668
citrusnes,508.1131591796875,1323.7784
clover,851.1842651367188,2177.1199
cotton,21863.671875,62457.938
cucumberetc,3006.2177734375,7687.5815
currant,4.874502182006836,5.5414443
date,255.9757537841797,670.4532
eggplant,1445.610595703125,3699.1367
fig,6002.14892578125,15078.11
flax,17141.224609375,44891.3
fornes,692.3748168945312,1108.8057
fruitnes,4360.05078125,11143.287
garlic,10826.787109375,27685.773
grapefruitetc,966.8621215820312,2483.3545
grape,358765.1875,883062.44
grassnes,98731.1953125,252553.1
greenbean,3062.100830078125,7834.0654
greenbroadbean,3141.6083984375,8021.6255
greencorn,16839.908203125,50521.164
greenonion,773.0531616210938,1983.7206
greenpea,6082.48828125,15533.345
groundnut,6.135586261749268,7.986682
hazelnut,5226.7763671875,13371.917
hempseed,0.53425133228302,0.6086993
hemp,238.91358947753906,630.3509
hop,237.5512237548828,622.6634
kiwi,586.9320068359375,1509.5891
legumenes,38969.80078125,99711.125
lemonlime,18819.041015625,48125.332
lentil,11729.53515625,30220.607
lettuce,13405.32421875,34266.484
linseed,18.220787048339844,49.955666
lupin,1417.786376953125,2367.3582
maizefor,34291.23828125,87114.32
maize,82725.84375,334192.5
melonetc,7445.30322265625,19045.285
millet,181.14337158203125,495.2105
mixedgrain,17098.123046875,43714.715
mixedgrass,85546.15625,218801.2
mushroom,195.3268585205078,525.5831
mustard,0.0,0.0
nutnes,16447.33984375,41169.387
oats,300211.875,463530.66
oilseedfor,3.3949971199035645,3.7643979
oilseednes,0.0,0.0
olive,1049841.25,2351334.8
onion,9808.7138671875,25059.08
orange,54791.28125,140142.84
peachetc,28108.521484375,71859.234
pear,8059.201171875,20588.172
pea,46972.265625,115536.0
pimento,1275.0675048828125,3265.055
pineapple,0.48757311701774597,0.6198596
plum,5678.759765625,14516.515
popcorn,0.0,0.0
poppy,1.0989255905151367,1.2302192
potato,21373.34375,64784.723
pulsenes,85570.5234375,218894.45
pumpkinetc,5816.75,14863.668
quince,265.8624267578125,694.5826
rapeseed,23317.337890625,68595.445
rasberry,975.24609375,2521.553
rice,43328.80078125,99021.68
rootnes,122.25531005859375,329.74158
ryefor,16036.0791015625,40906.48
rye,20155.755859375,116209.97
safflower,26.017597198486328,71.28358
sorghumfor,2612.669921875,6606.1553
sorghum,1936.951171875,5316.7026
sourcherry,25.21627426147461,36.59782
soybean,788.2026977539062,1412.5575
spicenes,926.666259765625,2376.4893
spinach,1852.6944580078125,4734.5186
stonefruitnes,65.78511047363281,95.68781
strawberry,2894.23291015625,7398.6665
stringbean,3.57535457611084,3.964439
sugarbeet,10410.3369140625,27686.014
sugarcane,422.95697021484375,1093.3586
sunflower,241564.59375,644953.6
sweetpotato,620.9052734375,1278.5929
tangetc,40807.69140625,104408.21
tea,0.0,0.026499903
tobacco,4692.58544921875,7954.6665
tomato,21661.0546875,55335.33
triticale,69450.796875,158487.19
tropicalnes,12125.4248046875,31002.672
turnipfor,3574.514892578125,9142.272
vegetablenes,9639.8505859375,24481.285
vegfor,3115.07421875,8339.497
vetch,70533.546875,180614.45
walnut,4541.02392578125,11567.727
watermelon,8372.9677734375,21410.635
wheat,684829.5625,1914437.8
yam,0.0,6.1339464
