Crop,clipped_PA_surf,total_surf
aniseetc,0.06364157795906067,0.65049994
apple,174.11517333984375,915.2609
apricot,0.04108161851763725,0.04108162
barley,18233.48828125,129213.875
bean,26.008182525634766,175.19725
beetfor,0.0,0.0
berrynes,183.2513427734375,1054.541
broadbean,1366.280517578125,13373.171
buckwheat,44.023929595947266,223.42743
cabbagefor,0.0,0.0
cabbage,202.255859375,1167.0781
carrotfor,0.0,0.0
carrot,80.2523422241211,461.21667
cauliflower,19.614044189453125,66.79277
cerealnes,661.8143310546875,1461.9387
cherry,107.89945983886719,613.4916
cranberry,2.15791392326355,3.601077
cucumberetc,17.208580017089844,101.758575
currant,77.655517578125,397.733
flax,20.948123931884766,122.394966
fornes,4.704241752624512,25.217827
fruitnes,0.109592504799366,0.13126042
garlic,12.834823608398438,71.99445
gooseberry,77.63468933105469,443.62515
grape,0.23844587802886963,0.29845735
greenpea,43.93516159057617,258.3914
hemp,0.0,0.05434669
jutelikefiber,0.046133510768413544,0.3260735
legumenes,0.0,0.0
linseed,4.478820323944092,82.05575
maizefor,70.81069946289062,386.97333
maize,8374.68359375,44147.977
mixedgrain,179.1020050048828,746.5256
mixedgrass,6476.9365234375,30655.441
mustard,0.4255335032939911,2.465275
oats,5432.388671875,33542.24
oilseedfor,0.0,0.0
oilseednes,453.43902587890625,5251.0596
onion,6.442521095275879,38.056633
peachetc,0.011610296554863453,0.011610297
pear,0.1703154444694519,0.26695114
pea,5240.10693359375,33635.266
plum,5.273837566375732,32.902355
popcorn,0.0,0.0
potato,588.3411865234375,3290.838
pulsenes,2.4146108627319336,60.070084
rapeseed,7695.3037109375,67390.47
rasberry,82.90907287597656,211.02194
rice,0.0,0.026710283
ryefor,0.0,0.0
rye,2629.0712890625,14807.359
sorghumfor,0.0,0.0
sorghum,0.035120997577905655,0.15168616
sourcherry,0.18929120898246765,0.23324022
soybean,6.756527900695801,21.752628
strawberry,219.06536865234375,856.4394
sugarbeet,35.281227111816406,184.35533
sunflower,435.1383361816406,1468.7593
tomato,2.2439451217651367,12.4302635
triticale,605.24267578125,2614.08
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,411.154541015625,2335.7114
vegfor,438.814453125,3217.4927
vetch,0.9878481030464172,1.5943834
walnut,0.015811722725629807,0.20005968
wheat,31566.05078125,133525.38
