Crop,clipped_PA_surf,total_surf
almond,1.6725659370422363,4.901036
avocado,725.0595703125,1900.4111
bambara,14.44637680053711,1177.8995
banana,3642.26220703125,7944.5225
bean,37127.4296875,139900.52
cabbagefor,0.0,0.0
cabbage,0.2540336847305298,0.5446852
cashew,48492.9296875,137829.89
cassava,352605.625,946261.9
castor,4.557538032531738,14.575955
cerealnes,24.025270462036133,80.67111
chickpea,10.142274856567383,43.017685
chilleetc,4201.7275390625,14758.269
citrusnes,2.3418428897857666,5.5643377
cocoa,563184.25,1434940.8
coconut,36127.4765625,76005.09
coffee,649.2078857421875,1197.5476
cotton,3645.162109375,15767.947
cowpea,23159.251953125,146376.06
eggplant,2082.864013671875,5924.7295
fonio,0.0,14.186566
fruitnes,6122.712890625,15706.201
ginger,30.177520751953125,97.8116
greenbean,863.8085327148438,2520.6301
greencorn,62.380043029785156,140.1572
greenonion,1.3742753267288208,3.5982378
groundnut,94809.2890625,331742.94
karite,10754.8232421875,31487.285
kolanut,26972.87109375,83880.68
legumenes,0.0,0.0
lemonlime,2682.71875,7017.6523
maizefor,0.0,0.0
maize,489314.34375,1534812.2
mango,2516.221923828125,6568.9204
millet,34830.23046875,165999.98
nutmeg,0.09966614842414856,0.1417349
nutnes,3514.38330078125,10002.828
oats,17.294496536254883,40.92487
oilpalm,143096.921875,359634.44
oilseedfor,0.0,0.0
oilseednes,1.8184908628463745,4.9183826
okra,1261.7418212890625,6082.8354
onion,2861.515380859375,8147.626
orange,6878.1845703125,18559.754
papaya,9.015445709228516,1210.7577
pepper,1899.03759765625,5405.943
pimento,5501.9248046875,15924.701
pineapple,4004.4111328125,10425.835
plantain,164072.28125,412454.3
popcorn,0.0,0.0
potato,0.19568154215812683,0.45131856
pulsenes,63751.640625,248588.25
rice,108698.78125,329374.25
rootnes,10.181169509887695,29.157347
rubber,18911.099609375,54548.688
sesame,34.341575622558594,151.53159
sorghumfor,0.0,0.0
sorghum,57186.13671875,300190.53
soybean,30022.7578125,102555.65
spicenes,4.352461814880371,12.703253
sugarcane,3080.7861328125,6525.287
sweetpotato,35099.0234375,72998.8
tangetc,0.0,0.0
taro,61868.18359375,177526.05
tobacco,1193.1842041015625,6002.7266
tomato,15445.8095703125,45929.03
tropicalnes,2.5533292293548584,9.42281
vegetablenes,149.91717529296875,584.1756
vegfor,701.1408081054688,2740.6597
yam,147415.296875,467722.97
