Crop,clipped_PA_surf,total_surf
avocado,0.1378834992647171,0.5724456
bambara,94.26255798339844,202.58342
banana,8959.28125,43540.676
bean,30.375402450561523,69.71586
beetfor,0.0,0.0
broadbean,6.481266498565674,19.284582
cashew,3582.131591796875,11525.418
cassava,96408.734375,279729.62
cerealnes,75.40156555175781,187.4891
chilleetc,10.203471183776855,17.075346
citrusnes,15060.3642578125,43160.863
cocoa,2518.29345703125,33492.242
coconut,596.9356079101562,14031.248
coffee,17958.11328125,90244.78
cotton,10712.0234375,44607.594
cowpea,60.37904739379883,380.6211
eggplant,119.26074981689453,127.25616
fonio,234818.5,558961.06
fruitnes,45.766334533691406,358.51685
greencorn,44941.390625,124470.77
greenonion,37.85286331176758,38.91267
groundnut,274924.71875,966891.06
jutelikefiber,0.8641569018363953,1.3765388
karite,36.49917221069336,79.12088
kolanut,238.02381896972656,857.2193
legumenes,0.0,0.0
lemonlime,1.7060716152191162,5.1265817
maizefor,0.0,0.0
maize,250894.859375,657066.56
mango,31697.9453125,87231.45
melonetc,1062.6573486328125,1562.8083
melonseed,2.5871787071228027,4.5925436
millet,32876.515625,174044.72
nutnes,6.562328338623047,32.776367
oilpalm,28646.9921875,318043.03
oilseedfor,0.0,0.0
oilseednes,0.9476694464683533,3.9738805
onion,2.0720396041870117,3.957529
orange,348.2204284667969,378.97473
papaya,46.8978157043457,48.415382
pea,15.455768585205078,45.850063
pepper,0.01046342309564352,0.17256218
pimento,13.537527084350586,45.33152
pineapple,10186.013671875,29828.947
plantain,15802.443359375,93320.69
popcorn,0.0,0.0
potato,4028.6669921875,12097.011
pulsenes,26394.6640625,61176.594
rice,586442.3125,1991437.2
rootnes,35.908607482910156,168.21915
rubber,3853.6279296875,11595.049
sesame,1253.322021484375,8213.06
sisal,709.7725219726562,1977.0984
sorghumfor,0.0,0.0
sorghum,15609.2001953125,46967.535
soybean,17.363243103027344,127.28943
spicenes,2.7892301082611084,9.644282
sugarbeet,0.3401302099227905,0.7174079
sugarcane,1256.5804443359375,6467.824
sweetpotato,17936.078125,57162.04
taro,10350.38671875,24584.656
tea,0.0,0.055154815
tobacco,637.3409423828125,1964.8138
tomato,26.503324508666992,79.79109
tropicalnes,2745.922119140625,8356.377
vegetablenes,9610.0625,27247.682
vegfor,12916.9765625,73707.21
wheat,9.850183486938477,13.428595
yam,5022.3857421875,20436.87
