Crop,clipped_PA_surf,total_surf
alfalfa,700.781494140625,4732.9424
almond,328.7862548828125,836.32837
aniseetc,11.37506103515625,14.767505
apple,1903.6558837890625,4688.179
apricot,151.2037811279297,350.26657
asparagus,48.90989303588867,102.78926
barley,18284.64453125,67595.13
bean,526.561767578125,1610.6852
beetfor,2342.1923828125,5926.9434
berrynes,676.80859375,1560.376
broadbean,53.382896423339844,1028.8074
buckwheat,25.949665069580078,48.161453
cabbagefor,0.0,0.0
cabbage,777.289306640625,1954.8782
canaryseed,55.18909454345703,71.63474
carob,211.61468505859375,538.1854
carrotfor,8.473844528198242,13.2304125
carrot,174.9971160888672,404.0321
cauliflower,52.19426345825195,138.30325
cherry,415.7961120605469,1018.1786
chestnut,59.94458770751953,152.97758
chickpea,15.794259071350098,45.247204
chicory,52.40604019165039,133.47296
chilleetc,367.48309326171875,893.95044
clover,8655.8125,24206.6
cowpea,50.48421096801758,93.69194
cucumberetc,268.8045959472656,736.2833
currant,5.064548015594482,7.119673
fig,267.80426025390625,676.7322
fruitnes,13.1024169921875,18.454475
garlic,167.82110595703125,388.31366
gooseberry,8.768651962280273,11.384584
grape,1953.2744140625,19540.102
grassnes,679.2909545898438,1031.2655
greenbean,440.5013427734375,1124.989
greencorn,688.2257080078125,4668.0137
greenonion,1.1924530267715454,1.5241044
greenpea,371.5972900390625,823.28253
hazelnut,2404.950927734375,6401.978
hempseed,2.481294631958008,3.3811772
hemp,1.697789192199707,2.3597226
hop,117.53072357177734,164.42517
legumenes,489.85223388671875,683.9596
lentil,8.008207321166992,31.722351
lettuce,212.53677368164062,470.36874
linseed,0.3508177101612091,1.3105112
lupin,0.5053231716156006,1.1469618
maizefor,5137.2529296875,13039.17
maize,89663.15625,295528.53
melonetc,40.12739944458008,86.76834
millet,72.56979370117188,200.11452
mixedgrain,930.3826904296875,2680.1797
mixedgrass,258.59857177734375,427.58215
oats,3627.923583984375,11376.614
oilseedfor,0.0,0.0
oilseednes,568.262939453125,5496.541
olive,8928.345703125,16785.81
onion,372.5257873535156,879.44183
orange,43.46912384033203,97.84725
peachetc,349.24951171875,859.7821
pear,332.0279846191406,815.90643
pea,98.22457122802734,861.1884
pimento,74.45391845703125,143.34999
plum,1695.51611328125,4528.2896
popcorn,0.0,0.0
poppy,34.70797348022461,73.62067
potato,2660.56787109375,9646.032
pulsenes,55.67186737060547,241.41084
pumpkinetc,119.10624694824219,253.887
quince,40.868263244628906,100.08566
rapeseed,11943.068359375,46123.086
rasberry,92.83063507080078,209.92531
rice,0.0,0.104158804
ryefor,0.0,0.0
rye,578.9264526367188,993.851
safflower,1.6750136613845825,2.1544418
sorghumfor,0.0,0.0
sorghum,208.89999389648438,521.45306
sourcherry,927.4205932617188,2278.7888
soybean,24641.486328125,79303.08
spicenes,2.0944557189941406,2.7039642
spinach,2.4053022861480713,3.2547688
strawberry,155.25909423828125,370.20847
sugarbeet,4125.52587890625,11343.723
sunflower,14279.439453125,42832.508
tangetc,830.0020141601562,2105.7903
tea,0.0,0.0
tobacco,991.688232421875,3628.7117
tomato,253.38504028320312,606.9979
triticale,2484.330810546875,6853.1455
tropicalnes,0.0,0.0
turnipfor,63.262542724609375,94.25118
vegetablenes,1247.0067138671875,3196.06
vegfor,396.75225830078125,1240.0884
vetch,283.39044189453125,710.44244
walnut,2653.4384765625,6707.951
watermelon,272.4036560058594,658.8037
wheat,38976.6171875,161874.11
