Crop,clipped_PA_surf,total_surf
abaca,149.6027374267578,667.7775
areca,35134.16796875,134714.19
avocado,11877.421875,45674.508
banana,41631.30078125,151999.61
bean,55587.640625,191757.7
cabbagefor,0.0,0.0
cabbage,16920.337890625,65373.613
carrotfor,0.0,0.0
carrot,10387.3193359375,39661.797
cashew,131444.3125,507820.94
cassava,168699.359375,668337.9
castor,880.3766479492188,3456.6262
chilleetc,80236.8203125,306366.6
cinnamon,28235.240234375,108262.06
citrusnes,1.2874445915222168,3.1101327
clove,137837.5,537033.25
cocoa,551958.1875,1536138.5
coconut,846399.75,2648919.8
coffee,365557.40625,1250157.6
cotton,1165.9290771484375,2991.8386
cucumberetc,10602.2939453125,40873.375
eggplant,12036.8427734375,46267.344
fruitnes,26237.052734375,99708.95
garlic,3280.767333984375,12622.336
ginger,1935.5455322265625,7541.3413
grapefruitetc,1.6909420490264893,4.1144605
greenbean,34697.3984375,119845.96
greencorn,28273.84765625,108250.24
groundnut,76173.5,336608.97
jutelikefiber,1410.6868896484375,5440.1904
kapokfiber,59816.3125,233586.17
kapokseed,41133.99609375,161558.08
legumenes,0.0,0.0
lemonlime,2.861609935760498,6.306897
maizefor,0.0,0.0
maize,1127729.875,3846340.2
mango,69819.234375,267638.47
nutmeg,59473.7265625,225156.3
nutnes,55977.61328125,213287.78
oilpalm,1087500.0,14429778.0
oilseedfor,0.0,0.0
oilseednes,374.19305419921875,791.86035
onion,47251.79296875,180384.94
orange,18368.642578125,70958.37
papaya,2933.69384765625,11319.862
pepper,50040.1796875,190881.98
pimento,3.1907379627227783,7.104182
pineapple,5014.01416015625,19695.633
popcorn,0.0,0.0
potato,31144.81640625,64450.348
pulsenes,641.4439697265625,2404.8765
pumpkinetc,2100.669921875,8054.5337
pyrethrum,7.656405448913574,11.734426
rice,3144032.0,10131600.0
rootnes,20246.8671875,77469.28
rubber,930005.4375,3435144.8
sisal,53.56074523925781,285.66196
sorghumfor,0.0,0.0
sorghum,1.808508276939392,2.1198046
soybean,170736.265625,668688.2
spicenes,1964.9736328125,7409.13
spinach,12003.720703125,43191.977
sugarcane,92370.6796875,405347.9
sugarnes,19024.833984375,73303.375
sweetpotato,28951.109375,71556.41
taro,166.81631469726562,255.66566
tea,70113.421875,108067.15
tobacco,55113.73828125,208536.27
tomato,14692.3173828125,56338.93
tropicalnes,42562.4375,164546.75
turnipfor,0.0,0.0
vanilla,3872.470458984375,14292.091
vegetablenes,12913.33203125,49531.63
vegfor,21865.53125,63799.25
watermelon,7635.150390625,21534.678
yam,143.96324157714844,187.72427
