Crop,clipped_PA_surf,total_surf
alfalfa,95752.7734375,284902.56
almond,27508.00390625,77041.016
aniseetc,2531.192626953125,6962.896
apple,43469.76171875,121351.71
apricot,21289.71484375,58781.562
artichoke,344.18670654296875,948.33093
asparagus,304.5091247558594,837.2217
banana,1183.505126953125,4043.6047
barley,684657.0625,2037886.1
bean,20636.9921875,82974.35
beetfor,0.758941113948822,0.91239023
berrynes,2237.232666015625,6216.9175
broadbean,1293.1455078125,2613.2856
cabbagefor,0.0,0.0
cabbage,2711.654052734375,7433.5293
carob,0.27147817611694336,0.28733075
carrotfor,0.0,0.0
carrot,4166.82421875,11562.975
castor,1.1959422826766968,1.1959423
cauliflower,740.0132446289062,1996.0156
cerealnes,1.411885380744934,1.4118854
cherry,8666.634765625,24070.658
chestnut,6.917208671569824,9.734745
chickpea,193318.578125,515673.0
chilleetc,2708.618408203125,7278.304
citrusnes,8454.357421875,23572.193
cotton,17841.841796875,55910.992
cowpea,0.0,0.12815155
cranberry,40.12491226196289,43.28146
cucumberetc,18200.08984375,49207.832
currant,0.9891976118087769,2.0710201
date,62144.1875,174265.31
eggplant,7816.220703125,21211.43
fig,5947.7861328125,16395.664
fornes,70586.3046875,203800.69
fruitnes,50769.96484375,139913.2
garlic,1899.8155517578125,5226.4004
grapefruitetc,1328.0206298828125,3691.2417
grape,58691.7890625,168225.78
greenbean,2833.72802734375,7821.5083
greenbroadbean,255.32275390625,700.6665
greenonion,3.0219614505767822,3.6080556
greenpea,917.525634765625,2529.4443
groundnut,774.2882690429688,2307.1116
hazelnut,8288.431640625,22530.305
hempseed,96.88358306884766,114.863464
jutelikefiber,0.02863062359392643,0.028630624
kiwi,3217.576171875,8957.814
legumenes,58.89311981201172,72.33713
lemonlime,11165.0537109375,30685.113
lentil,43075.984375,130589.09
lettuce,5224.35888671875,14379.859
linseed,62.10430145263672,148.58662
maizefor,65.68229675292969,154.24731
maize,67916.375,206241.31
mango,1395.5989990234375,3879.0054
melonetc,23231.55078125,63858.133
millet,2281.259033203125,7348.0625
mixedgrain,2.5564019680023193,3.1093898
mixedgrass,961.1104125976562,2026.1068
nutnes,771.1777954101562,2043.9305
oats,6.0373640060424805,8.069438
oilseedfor,0.0,0.0
oilseednes,156.77056884765625,380.09674
okra,2.2140586376190186,2.6723974
olive,14899.587890625,38833.855
onion,18872.197265625,53809.594
orange,34640.125,92747.73
papaya,0.2308657169342041,0.23086572
peachetc,13611.5859375,37806.465
pear,2482.50244140625,6685.617
pea,14.391377449035645,33.75724
persimmon,639.6468505859375,1711.649
pimento,474.87677001953125,1312.301
pistachio,30697.361328125,150427.72
plum,7207.96142578125,19865.229
popcorn,0.0,0.0
poppy,11.074112892150879,13.364981
potato,40047.51953125,131263.53
pulsenes,8683.271484375,24177.227
pumpkinetc,11093.5400390625,30316.271
quince,2999.062255859375,8325.322
rapeseed,52521.8984375,159779.56
rasberry,2.878415822982788,5.8694134
rice,229922.375,428249.7
rootnes,0.30558398365974426,0.30558398
ryefor,0.0,0.0
rye,99.41018676757812,179.09087
safflower,1348.284912109375,3574.5908
sesame,15874.525390625,43776.0
sorghumfor,0.0,0.0
sorghum,1.8510510921478271,5.603115
sourcherry,8837.2822265625,24635.9
soybean,19952.201171875,59196.86
spicenes,12.97001838684082,15.816567
spinach,1712.2547607421875,4702.8228
stonefruitnes,6425.85546875,17912.83
strawberry,1507.31201171875,4189.4688
stringbean,2.4132437705993652,2.9604673
sugarbeet,29548.845703125,94042.89
sugarcane,26783.6484375,89211.6
sunflower,19783.341796875,60874.35
tangetc,7160.359375,19831.328
tea,11167.486328125,15391.527
tobacco,3838.732666015625,9598.577
tomato,49775.83203125,138182.78
tropicalnes,14543.3583984375,17016.352
turnipfor,0.0,0.0
vegetablenes,27141.953125,75937.63
vegfor,20208.443359375,65291.69
vetch,13.949113845825195,15.68564
walnut,21599.115234375,59991.004
watermelon,32857.76171875,103866.68
wheat,2404053.5,7542847.0
