Crop,clipped_PA_surf,total_surf
alfalfa,16.275991439819336,19.965433
almond,405.01177978515625,538.09863
aniseetc,111.1044921875,125.20492
apple,678.5014038085938,1125.9584
apricot,1034.5272216796875,1776.3987
artichoke,4.53021240234375,8.092429
asparagus,0.48635366559028625,0.8801054
avocado,41.963443756103516,74.81303
banana,726.6088256835938,771.036
barley,26270.18359375,44834.61
bean,1.4161474704742432,1.735924
beetfor,0.0,0.0
berrynes,7.721941947937012,13.766418
broadbean,44.367244720458984,56.274445
cabbagefor,0.0,0.0
cabbage,154.49073791503906,664.8046
carob,21.08616065979004,37.592487
carrotfor,0.0,0.0
carrot,401.2450256347656,528.2013
cauliflower,467.6354064941406,1392.4448
cerealnes,0.476349800825119,0.86200255
cherry,134.26136779785156,170.65839
chickpea,549.6873779296875,894.95416
chilleetc,1791.8948974609375,2340.8833
citrusnes,49.183074951171875,70.58469
clover,1047.306396484375,1406.1941
cotton,161.898681640625,201.93109
cowpea,0.13197627663612366,0.1738132
cucumberetc,466.6829528808594,1996.2678
date,970.2777709960938,2676.5535
eggplant,329.94195556640625,1613.5787
fig,131.04820251464844,179.60832
fornes,1391.1962890625,1834.0895
fruitnes,1177.5399169921875,1546.1772
garlic,67.02581024169922,123.80356
grapefruitetc,467.3533630371094,622.28143
grape,2050.47900390625,3188.439
grassnes,48.28033447265625,57.051193
greenbean,460.5373840332031,615.6201
greenbroadbean,508.14404296875,1103.8231
greencorn,10.109478950500488,18.02298
greenonion,108.376220703125,397.66895
greenpea,249.49014282226562,340.88562
groundnut,37.08049011230469,51.98712
kiwi,2.1259243488311768,3.789808
legumenes,10.840538024902344,12.809923
lemonlime,1686.7010498046875,2221.568
lentil,45.536014556884766,59.422173
lettuce,772.1494140625,1013.472
lupin,0.010716326534748077,0.010716327
maizefor,4.013803005218506,4.7430143
maize,367.4933776855469,839.42065
mango,11.452740669250488,20.417784
melonetc,1047.5760498046875,1385.6237
millet,10.341196060180664,12.781922
mixedgrass,226.9322509765625,398.13757
nutnes,8.459650039672852,12.581581
oats,10.687176704406738,20.077831
oilseedfor,0.0,0.0
oilseednes,26.323883056640625,46.930428
okra,851.9014282226562,1119.5112
olive,33778.58203125,54974.934
onion,1360.6431884765625,1792.8529
orange,2248.326904296875,2976.7942
papaya,0.047437384724617004,0.08189611
peachetc,1365.4517822265625,3117.2793
pear,217.78533935546875,290.6857
pea,9.894804954528809,13.0292
persimmon,31.9283447265625,56.92221
pimento,0.036448296159505844,0.036448296
pineapple,0.6646552085876465,1.1921675
pistachio,144.00286865234375,199.80127
plum,269.8399963378906,406.9167
popcorn,0.0,0.0
poppy,29.58761978149414,52.749104
potato,4118.541015625,4839.0776
pulsenes,4.986048698425293,6.315319
pumpkinetc,601.387451171875,2171.2366
quince,3.3203482627868652,4.9772973
rootnes,1.6375526189804077,2.9254827
safflower,0.1669529229402542,0.30922127
sesame,19.312881469726562,35.31686
sorghumfor,0.0,0.0
sorghum,24.458030700683594,177.06136
soybean,5.182839393615723,5.1828394
spicenes,11.00171947479248,13.763781
spinach,76.59880065917969,102.17442
stonefruitnes,1.5049269199371338,1.5221494
strawberry,90.60781860351562,120.014015
sugarbeet,29.868221282958984,36.984272
sunflower,47.70410919189453,60.438583
sweetpotato,23.320354461669922,29.625462
tangetc,1055.1976318359375,1443.8469
taro,0.05945228785276413,0.10539655
tobacco,364.37841796875,655.45026
tomato,4192.45556640625,8594.265
tropicalnes,171.32302856445312,234.87488
turnipfor,0.0,0.0
vegetablenes,1463.53515625,1958.5771
vegfor,2477.7421875,4376.752
vetch,131.21176147460938,188.3884
walnut,0.9712040424346924,1.2134383
watermelon,1253.67822265625,1862.898
wheat,9330.046875,12724.56
