Crop,clipped_PA_surf,total_surf
apple,6381.2197265625,30507.707
barley,11007.1005859375,32847.0
bean,1522.7779541015625,4536.786
buckwheat,441.633544921875,1520.8611
cabbagefor,0.0,0.0
cabbage,12960.927734375,32592.688
carrotfor,0.0,0.0
carrot,937.0462646484375,2927.213
cerealnes,2924.47412109375,9107.105
chestnut,10153.189453125,31568.305
chilleetc,7384.7841796875,32420.465
citrusnes,58.870849609375,182.86682
cotton,4.002093315124512,37.008465
cucumberetc,1585.686767578125,4388.1636
eggplant,86.81436920166016,272.14206
fornes,10933.017578125,33964.65
fruitnes,9552.296875,29856.018
garlic,8012.0283203125,25003.611
ginger,913.6806640625,2851.216
grape,5119.63623046875,12228.713
greenonion,4773.4306640625,15041.354
groundnut,847.5242309570312,3647.669
hemp,0.47815072536468506,2.1058652
hop,0.5951811075210571,3.2534585
kiwi,170.12803649902344,531.8249
legumenes,0.0,0.0
lettuce,1197.489990234375,3538.0266
maizefor,0.0,0.0
maize,5166.60498046875,13072.974
melonetc,528.4613037109375,3186.8079
millet,349.537109375,747.58276
mushroom,52.44689178466797,162.76263
nutnes,2784.0166015625,8680.107
oats,1.5135350227355957,8.280576
oilseedfor,0.0,0.0
oilseednes,11175.521484375,35145.04
onion,4580.1357421875,14338.855
peachetc,9060.5732421875,19216.184
pear,3306.437744140625,8395.347
persimmon,6650.302734375,20485.17
pineapple,10.151887893676758,31.113228
plum,2554.25,6809.462
popcorn,0.0,0.0
potato,6623.353515625,22417.686
pulsenes,1777.6644287109375,5548.748
pumpkinetc,3309.119140625,8863.147
rapeseed,355.1060791015625,962.1575
rice,201239.75,650674.25
ryefor,0.0,0.0
rye,0.010208811610937119,0.07358351
sesame,8146.5615234375,21346.715
sorghumfor,0.0,0.0
sorghum,584.8741455078125,1480.0842
soybean,16826.703125,52700.062
spinach,2089.203857421875,4260.5005
strawberry,1270.2049560546875,5397.3267
sweetpotato,8024.8603515625,20901.516
tangetc,4437.916015625,18355.525
tea,1035.635009765625,1956.3964
tobacco,3651.41748046875,10941.888
tomato,1688.416259765625,5197.21
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,16360.134765625,51364.094
vegfor,19980.26953125,66162.266
walnut,178.24484252929688,555.55725
watermelon,3581.22998046875,10966.957
wheat,1897.853515625,5069.2812
