Crop,clipped_PA_surf,total_surf
alfalfa,0.6615405082702637,4.768937
almond,100473.703125,199360.25
aniseetc,12468.501953125,25122.736
apple,24642.33984375,49684.82
apricot,5287.1669921875,10670.606
artichoke,1418.544189453125,2862.4272
asparagus,0.5973753333091736,1.0136187
avocado,3023.61865234375,6094.915
banana,4329.48193359375,8404.474
barley,645398.625,1282496.9
bean,0.5798430442810059,2.9302619
beetfor,0.022514216601848602,0.19209705
berrynes,111.54209899902344,225.6138
broadbean,51529.8125,104877.266
cabbagefor,0.0,0.0
cabbage,1105.632568359375,2231.937
carob,5116.75537109375,10313.424
carrotfor,0.0,0.0
carrot,11368.86328125,22926.684
castor,131.7205352783203,266.06818
cauliflower,1206.8531494140625,2436.5574
cerealnes,1779.9019775390625,3587.1035
cherry,1423.504638671875,2874.224
chickpea,26162.974609375,54398.88
chilleetc,2098.13232421875,4236.9697
citrusnes,951.2683715820312,1917.1458
clover,0.45948725938796997,3.3114376
cotton,41.64670944213867,104.412155
cucumberetc,629.275146484375,1271.7555
date,29575.9765625,59574.008
eggplant,1201.7340087890625,2424.9272
fig,30520.0859375,61486.47
fornes,51807.390625,101905.61
fruitnes,3767.386962890625,7601.465
garlic,1120.993896484375,2267.6025
grapefruitetc,52.19109344482422,106.35204
grape,19619.951171875,39584.44
greenbean,4506.0546875,9098.855
greenbroadbean,4826.435546875,9745.242
greenonion,929.5678100585938,1873.4448
greenpea,7141.12158203125,14409.124
groundnut,6760.35888671875,13662.359
legumenes,0.0,0.0
lemonlime,1529.008056640625,3090.1519
lentil,21711.853515625,40666.64
lettuce,129.1555938720703,260.85953
lupin,38675.234375,77939.266
maizefor,0.5870378017425537,4.2315164
maize,39873.21484375,68939.875
melonetc,8449.80859375,17024.168
millet,1067.9071044921875,2562.1292
oats,7043.193359375,15334.3125
oilseedfor,0.0,0.0
oilseednes,113.32568359375,229.51982
olive,438963.9375,930949.1
onion,15602.849609375,31456.525
orange,29066.86328125,58581.723
peachetc,6526.31591796875,13191.309
pear,1830.3607177734375,3701.3125
pea,21023.23828125,41385.504
peppermint,1266.27392578125,2551.9873
pimento,611.3819580078125,1235.1582
plum,7589.66162109375,15315.488
popcorn,0.0,0.0
potato,39931.58984375,56869.25
pulsenes,14083.3076171875,28369.762
pumpkinetc,3529.246826171875,7120.9014
quince,1670.89453125,3368.5938
rapeseed,530.92529296875,1876.3336
rice,3183.159912109375,5787.2993
ryefor,10.490120887756348,75.666855
rye,1809.298583984375,3646.6152
sesame,442.37286376953125,891.32886
sisal,2134.267578125,4301.7188
sorghumfor,0.0,0.0
sorghum,2126.50244140625,4649.1875
soybean,301.12493896484375,743.9832
spicenes,2512.06884765625,5063.117
stonefruitnes,1.4617993831634521,10.562632
strawberry,1566.697509765625,3157.7373
stringbean,2924.623779296875,5894.104
sugarbeet,29680.83203125,55900.383
sugarcane,7275.67431640625,11764.146
sunflower,8645.974609375,18812.453
sweetpotato,229.73681640625,848.7634
tangetc,32116.28515625,64748.57
tobacco,252.4100341796875,480.45657
tomato,7463.236328125,15044.212
triticale,0.0,0.0
tropicalnes,32.71334457397461,67.565895
turnipfor,0.0,0.0
vegetablenes,10663.0830078125,21508.223
vegfor,5786.6318359375,10550.845
vetch,1948.113037109375,3923.3718
walnut,3384.990234375,6822.484
watermelon,8109.77978515625,16370.582
wheat,1417328.0,2842808.2
