Crop,clipped_PA_surf,total_surf
alfalfa,403.1558837890625,667.9355
almond,119.62408447265625,426.8092
aniseetc,12.944879531860352,24.853863
apple,13845.7119140625,49699.17
apricot,976.9138793945312,3567.7144
barley,18463.703125,62697.27
bean,5239.9951171875,17496.418
beetfor,18.851919174194336,84.566795
berrynes,0.9392194151878357,3.376376
blueberry,0.499308705329895,0.89355063
buckwheat,173.51766967773438,469.3008
cabbagefor,0.0,0.0
cabbage,724.5885620117188,2535.5964
carrotfor,0.0,0.0
carrot,2212.41845703125,5664.793
castor,0.0,0.04702986
cauliflower,328.7506103515625,710.85803
cerealnes,9.594452857971191,31.861156
cherry,1098.8115234375,4016.4675
chickpea,239.59197998046875,796.4363
chicory,0.013147464022040367,0.11519499
chilleetc,627.4749755859375,2253.1553
clover,173.70233154296875,293.80438
cranberry,0.0,0.0
cucumberetc,1680.3087158203125,6100.486
currant,159.734619140625,582.8841
eggplant,1058.406005859375,2468.7441
flax,4.499652862548828,15.984549
fornes,53.74402618408203,231.3219
fruitnes,91.14337921142578,316.4344
garlic,1083.5504150390625,3957.3955
gooseberry,13.550085067749023,49.21267
grape,28884.90234375,103739.58
grassnes,385.861083984375,641.93286
greenbean,132.75543212890625,463.6751
greencorn,402.098388671875,1465.1732
greenpea,509.783935546875,1852.0115
hazelnut,379.4871826171875,1031.3822
hempseed,2.443340539932251,5.8346376
hemp,2.3826935291290283,6.140298
hop,0.6350349187850952,2.0731897
legumenes,635.173095703125,1044.3748
lentil,2.1471126079559326,8.947147
lettuce,1.724168300628662,2.0393064
linseed,10.631135940551758,39.35694
maizefor,9074.26953125,32174.992
maize,99898.71875,359660.94
melonetc,1481.507080078125,5127.0146
millet,99.57455444335938,494.64215
mixedgrain,219.1754150390625,776.39575
mixedgrass,971.259765625,3270.0388
mustard,27.39141845703125,81.314186
nutnes,54.8951301574707,187.1528
oats,644.3355712890625,1868.4434
oilseedfor,0.0,0.0
oilseednes,5.50417423248291,26.744513
onion,2048.002685546875,7401.86
peachetc,1643.2388916015625,5962.5576
pear,665.2919921875,2421.3203
pea,4911.66796875,14831.337
pimento,37.55998229980469,63.528454
plum,6035.9130859375,21602.104
popcorn,0.0,0.0
poppy,3.9704811573028564,6.714006
potato,16330.5791015625,27578.4
pulsenes,9.17294979095459,10.446247
pumpkinetc,1083.23046875,3971.2148
quince,322.78314208984375,1172.656
rapeseed,7659.04052734375,33299.63
rasberry,269.61578369140625,992.14246
rice,3.342266321182251,25.560654
ryefor,0.0,0.0
rye,285.57562255859375,1017.7879
sorghumfor,0.0,0.0
sorghum,1332.3126220703125,4722.368
sourcherry,1422.81982421875,4663.897
soybean,10982.8486328125,36036.75
strawberry,496.19342041015625,1804.8926
sugarbeet,4886.52978515625,14562.814
sunflower,92337.2421875,333238.84
tobacco,202.3258819580078,724.48975
tomato,1555.2216796875,5564.9873
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1275.232666015625,4540.167
vegfor,1522.8909912109375,5577.9536
vetch,48.473121643066406,158.4247
walnut,4936.76025390625,18123.275
watermelon,2941.81640625,8291.651
wheat,89719.140625,328217.8
