Crop,clipped_PA_surf,total_surf
agave,2580.431396484375,15547.312
alfalfa,21902.486328125,142308.12
almond,0.2621194124221802,33.732777
aniseetc,108.9041748046875,6588.3096
apple,8619.3701171875,54794.92
apricot,20.617855072021484,204.37183
artichoke,54.855262756347656,265.1281
asparagus,3583.074951171875,30486.09
avocado,45725.484375,208775.61
banana,20764.208984375,74328.22
barley,55945.66796875,274018.28
bean,292509.40625,1535233.9
beetfor,0.0,0.0
berrynes,2654.820068359375,8270.063
blueberry,359.794921875,4552.3984
broadbean,4861.53564453125,23118.025
buckwheat,0.16394996643066406,1.0814381
cabbagefor,0.0,0.0
cabbage,1004.1903076171875,7348.4653
canaryseed,0.5153450965881348,1.8506852
carob,0.8976147174835205,84.45462
carrotfor,0.0,0.0
carrot,2105.90673828125,12088.0205
cashew,181.0946807861328,1568.918
cassava,331.07769775390625,1965.8965
castor,249.2010955810547,986.4682
cauliflower,3358.510986328125,33830.523
cherry,1.3647152185440063,48.179115
chickpea,8052.0703125,62775.367
chilleetc,36328.60546875,153837.64
citrusnes,16997.982421875,65446.758
clover,10.935944557189941,44.66332
cocoa,6460.07958984375,59581.31
coconut,57363.609375,120900.22
coffee,276524.53125,633409.2
cotton,10348.068359375,145285.52
cowpea,9.740204811096191,70.92129
cranberry,0.032112814486026764,0.15053354
cucumberetc,4382.943359375,15719.761
date,198.89202880859375,2961.7085
eggplant,211.3872833251953,1712.4928
fig,272.46722412109375,1808.4271
fornes,5665.87744140625,21722.498
fruitnes,13801.7998046875,69787.445
garlic,391.16741943359375,6804.7915
grapefruitetc,3525.881591796875,19691.432
grape,2257.864990234375,33754.047
grassnes,72154.9765625,288476.25
greenbean,1351.1298828125,10354.882
greenbroadbean,2649.929443359375,8284.992
greencorn,14026.60546875,67874.84
greenonion,2381.73779296875,9135.852
greenpea,3380.954833984375,12950.031
groundnut,12856.56640625,57608.54
jutelikefiber,0.3742600381374359,1.5762564
legumenes,0.0,0.0
lemonlime,41873.203125,177680.83
lentil,843.9805908203125,9021.493
lettuce,3889.406982421875,25650.148
linseed,0.0,7.785681
maizefor,19860.203125,141926.86
maize,1586393.5,6081975.5
mango,51245.88671875,202280.03
melonetc,2628.4228515625,18923.67
melonseed,14.521646499633789,24.52069
millet,4.675110340118408,23.52745
mixedgrass,778.950439453125,3863.784
nutmeg,55.47880554199219,213.51038
nutnes,16749.9921875,64317.14
oats,4881.57421875,29578.12
oilpalm,34132.62109375,100202.46
okra,204.0576171875,4214.689
olive,436.42254638671875,8030.5654
onion,5687.28466796875,48527.137
orange,47472.1171875,302299.22
papaya,4095.30224609375,18785.031
peachetc,4720.79345703125,26136.064
pear,773.3856811523438,3676.293
pea,454.5161437988281,1812.0198
pepper,950.8524780273438,3676.3264
persimmon,0.3936208188533783,13.981123
pimento,280.6579895019531,2823.851
pineapple,5176.85888671875,24430.486
pistachio,17.117490768432617,275.14774
plantain,47.426544189453125,231.85626
plum,2894.55419921875,15985.013
popcorn,0.0,0.0
potato,23635.310546875,60159.883
pulsenes,56.161197662353516,227.77742
pumpkinetc,5177.8916015625,33808.453
quince,79.15568542480469,677.44196
rapeseed,155.7916717529297,3062.2148
rasberry,702.5852661132812,7731.123
rice,12402.61328125,46887.51
rootnes,2017.719970703125,7746.4873
rubber,6586.1279296875,31312.361
ryefor,2888.734375,15952.744
rye,4.563046932220459,34.09126
safflower,3645.22412109375,46918.098
sesame,17049.349609375,76492.05
sisal,2334.798828125,9025.565
sorghumfor,14430.9873046875,91757.836
sorghum,236648.859375,1488349.8
soybean,85639.9765625,152033.42
spicenes,127.86924743652344,553.058
spinach,508.447509765625,3100.8428
strawberry,3359.21875,12929.109
stringbean,3131.533203125,11987.148
sugarbeet,94.18989562988281,190.32085
sugarcane,177238.578125,699336.06
sunflower,833.0418090820312,6078.5107
sweetpotato,901.7990112304688,3742.47
tangetc,5103.1708984375,34952.504
tea,1.6828458309173584,2.4334424
tobacco,4766.69970703125,6462.9937
tomato,14036.943359375,81730.766
triticale,4500.30859375,8603.3545
tropicalnes,7400.22607421875,42851.016
turnipfor,53.291900634765625,655.66284
vanilla,481.8843994140625,1051.2999
vegetablenes,12174.8427734375,46704.95
vegfor,23746.962890625,102111.016
vetch,2334.584716796875,8941.661
walnut,20837.390625,92518.86
watermelon,5693.18701171875,38642.29
wheat,45203.3671875,551091.4
yam,2269.934814453125,7684.694
yautia,97.63707733154297,525.03845
