Crop,clipped_PA_surf,total_surf
apricot,0.176092267036438,0.23526043
avocado,45.32453536987305,67.29243
bambara,32.144622802734375,51.80003
banana,934.0946655273438,1074.9879
bean,1938.5802001953125,3613.9272
cabbagefor,0.0,0.0
cabbage,41.3121223449707,120.010086
carrotfor,0.0,0.0
carrot,7224.76171875,26265.383
cashew,37997.453125,143734.64
cassava,1971223.125,7493969.0
castor,2.69769287109375,7.992675
cerealnes,6.626266002655029,21.937344
chickpea,1.0502376556396484,3.2171297
chilleetc,16649.90625,40990.41
citrusnes,211875.03125,797285.4
cocoa,458993.8125,1239346.9
coconut,11574.2275390625,29486.277
coffee,578.183349609375,1432.5073
cotton,102186.6875,362895.4
cowpea,1178041.25,4464414.5
cucumberetc,284.2219543457031,454.77185
date,5.00751256942749,22.159008
eggplant,0.7195895910263062,1.1258857
fig,0.011010919697582722,0.01101092
fonio,23907.177734375,63325.3
fruitnes,46861.31640625,174768.7
garlic,21.207868576049805,68.13446
ginger,23471.03515625,87276.07
greenbean,16.693313598632812,52.003372
greenbroadbean,3.586498260498047,11.861987
greencorn,53385.45703125,196848.61
greenonion,3740.98486328125,13570.849
groundnut,914316.9375,3952134.0
jutelikefiber,231.0803680419922,851.0772
jute,0.34026432037353516,0.5187224
karite,102409.6328125,380640.1
kolanut,66297.421875,239117.33
legumenes,0.0,0.0
lettuce,10.964929580688477,36.449223
maizefor,0.0,0.0
maize,1737568.375,6659437.0
mango,35490.0078125,128677.26
melonetc,13.62490177154541,22.115894
melonseed,225370.671875,839098.44
millet,518383.0,1962610.0
nutnes,819.5015869140625,2843.929
oilpalm,1341964.875,3545414.5
oilseedfor,0.0,0.0
oilseednes,1.1137837171554565,3.3210328
okra,391288.75,1451758.2
onion,159193.09375,571241.4
orange,4.070573329925537,13.618571
papaya,25110.3203125,89914.09
peachetc,0.1597558706998825,0.2027531
pea,4.885810852050781,16.23952
pepper,8.884592056274414,29.769924
pimento,7965.03564453125,25632.121
pineapple,49057.203125,175815.34
plantain,105110.1171875,482821.47
plum,0.13028046488761902,0.16639176
popcorn,0.0,0.0
potato,165002.953125,317205.22
pulsenes,36676.94140625,141286.77
pumpkinetc,269.53900146484375,420.60864
rice,1308496.375,5088136.0
rootnes,10.417333602905273,16.936213
rubber,112619.6328125,306103.7
sesame,125320.578125,573484.3
sorghumfor,0.0,0.0
sorghum,1290576.125,5075550.5
soybean,144973.15625,646405.94
spicenes,1091.10205078125,3956.338
stonefruitnes,3.1711277961730957,4.639631
sugarcane,10383.90234375,83912.86
sweetpotato,514434.75,1506011.9
taro,182490.171875,705589.8
tea,68.4766845703125,68.476685
tobacco,2140.6494140625,8196.618
tomato,116575.65625,254529.8
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,93935.765625,354833.56
vegfor,302018.875,814884.56
watermelon,3.0632717609405518,4.9648256
wheat,17932.951171875,50259.1
yam,1373504.875,6162480.5
