Crop,clipped_PA_surf,total_surf
almond,2.294933795928955,11.044823
aniseetc,45.362266540527344,183.54529
apple,1062.2747802734375,5079.6914
apricot,19.86179542541504,90.33509
areca,632.356689453125,794.5425
asparagus,0.32169023156166077,0.32169023
banana,2762.200439453125,6697.866
barley,4723.4931640625,23822.482
bean,2774.298583984375,20575.326
broadbean,1045.446533203125,1196.7473
buckwheat,1684.1842041015625,1928.1201
cabbagefor,0.0,0.0
cabbage,40.132659912109375,125.12195
carrotfor,0.0,0.0
carrot,5.111347198486328,14.289176
cashew,4.463306427001953,6.9691315
cassava,210.2079620361328,950.4759
castor,0.5216971635818481,0.61795235
cauliflower,11.50866985321045,42.438553
cerealnes,0.0,0.0
cherry,0.12206415832042694,0.38546082
chestnut,0.16900238394737244,0.20468992
chickpea,1616.6767578125,9682.708
chilleetc,2085.550537109375,10052.832
cinnamon,0.0,0.0
citrusnes,119.76378631591797,480.4425
coconut,111.29728698730469,314.6166
coffee,381.02862548828125,2623.9058
cotton,1.6362556219100952,133.07787
cucumberetc,4.1484856605529785,10.88616
eggplant,100.73660278320312,289.286
fig,0.2733376920223236,0.98315436
flax,0.14877046644687653,0.17234924
fornes,733.977294921875,3407.4292
fruitnes,6662.85546875,31249.273
garlic,1801.358642578125,8479.062
ginger,4446.2431640625,21343.434
grapefruitetc,0.8342399001121521,3.4724236
grassnes,1659.1038818359375,7915.658
greenbean,15.181343078613281,40.978043
greenpea,62.25469970703125,175.24883
groundnut,38.642887115478516,156.12491
jutelikefiber,43.16361618041992,166.94344
jute,1495.9332275390625,7021.7207
legumenes,0.0,0.0
lemonlime,205.70623779296875,1491.728
lentil,39669.76953125,200486.66
lettuce,97.44182586669922,291.10736
linseed,2110.40283203125,10003.146
maizefor,0.0,0.0
maize,175938.4375,923701.94
mango,3126.53076171875,14128.336
melonetc,6.689929008483887,18.727882
melonseed,0.0,0.0
millet,39489.80078125,259813.66
mustard,41511.03515625,176650.97
nutmeg,3286.49462890625,15717.226
oats,6.228028297424316,7.1058645
oilpalm,0.011081709526479244,0.0110817095
oilseedfor,0.0,0.0
oilseednes,1557.582763671875,5983.2344
okra,73.43561553955078,278.73953
onion,17.762474060058594,81.3615
orange,898.5564575195312,4240.003
papaya,119.65250396728516,380.95148
peachetc,121.4373550415039,543.4824
pear,167.70220947265625,750.1725
pea,230.18963623046875,802.89545
pigeonpea,3937.820068359375,16462.666
pimento,3382.672607421875,16039.655
pineapple,134.4416046142578,337.3586
plum,127.56716918945312,572.9827
popcorn,0.0,0.0
potato,36261.3359375,180464.48
pulsenes,14155.544921875,67322.164
pumpkinetc,76.33207702636719,215.21326
ramie,0.16024291515350342,0.18399751
rapeseed,39324.37109375,193489.16
rice,360858.03125,1383560.4
rootnes,6166.45654296875,29527.152
rubber,0.973192572593689,1.154353
ryefor,0.0,0.0
rye,8.611648559570312,9.83598
safflower,0.0,0.0
sesame,32.06079864501953,102.687416
sorghumfor,0.0,0.0
sorghum,7.833979606628418,50.660267
soybean,4811.1708984375,28972.322
spicenes,488.1960754394531,2214.8555
spinach,0.1679874062538147,0.1679874
sugarcane,14138.1318359375,60107.242
sunflower,39.594749450683594,139.78452
sweetpotato,9.366056442260742,33.407448
tangetc,2120.775634765625,2560.1042
taro,0.13086600601673126,0.14255029
tea,9105.8837890625,26465.572
tobacco,173.44454956054688,833.77203
tomato,1.8685612678527832,5.920365
triticale,2.658820629119873,2.988678
tropicalnes,22.09661865234375,97.70433
tung,0.22371366620063782,0.26867354
turnipfor,0.0,0.0
vegetablenes,13626.95703125,58079.395
vegfor,53436.51171875,243828.64
walnut,174.7278289794922,716.37067
watermelon,4.768860340118408,12.265069
wheat,166705.5,661797.9
yam,4809.2734375,22088.807
