Crop,clipped_PA_surf,total_surf
alfalfa,2095.22998046875,23971.8
apple,967.2823486328125,10508.572
apricot,49.6541862487793,567.58795
asparagus,112.66905212402344,1286.5421
avocado,231.529296875,2642.35
barley,3256.185302734375,31329.178
beetfor,1634.5294189453125,17860.486
berrynes,19.51910972595215,224.64006
blueberry,33.82685852050781,387.32037
cabbagefor,1498.1124267578125,16275.67
cabbage,81.62361907958984,933.3067
carrotfor,0.0,0.0
carrot,155.75624084472656,1776.5548
cauliflower,146.74969482421875,1675.7527
cerealnes,252.0565948486328,2872.621
cherry,52.23625183105469,597.3068
chilleetc,7.636017322540283,87.721886
citrusnes,69.69721221923828,796.7669
currant,66.63319396972656,761.70355
fibrenes,532.1729125976562,5909.421
fornes,2161.78271484375,24853.695
fruitnes,86.66902160644531,990.87744
garlic,20.55702781677246,236.7563
grapefruitetc,5.075136184692383,58.00501
grape,1301.8536376953125,14158.251
greenbean,72.75233459472656,831.63324
greenbroadbean,10.49498462677002,120.7282
greencorn,459.712158203125,5058.007
greenonion,494.96685791015625,5485.4927
greenpea,650.594970703125,7078.425
hop,29.72014045715332,340.28714
kiwi,1003.9277954101562,10922.407
legumenes,0.0,0.0
lemonlime,26.949880599975586,308.88095
lentil,355.3208312988281,943.19324
lettuce,119.77790832519531,1367.6461
linseed,64.13844299316406,733.0658
maizefor,464.8396301269531,5169.191
maize,2043.06591796875,14221.592
melonetc,10.324331283569336,118.785126
mushroom,1.1297533512115479,12.917865
oats,555.537841796875,6068.7153
orange,55.32921600341797,632.7021
peachetc,90.01388549804688,1028.3446
pear,60.4625244140625,691.05505
pea,914.916015625,9926.03
persimmon,21.404560089111328,246.64478
plum,30.956954956054688,354.39713
popcorn,0.0,0.0
potato,1891.790771484375,9414.676
pumpkinetc,582.4170532226562,6414.2295
quince,6.115115165710449,70.273994
rapeseed,197.7318115234375,1367.7041
rasberry,14.839085578918457,171.02075
sorghumfor,9.89882755279541,113.71224
sorghum,0.0,0.0
spinach,34.60298538208008,395.98172
stonefruitnes,7.972930431365967,91.58778
strawberry,21.454387664794922,247.25052
sugarbeet,0.0,0.0
swedefor,1597.48486328125,17411.578
sweetpotato,105.25248718261719,798.95154
tangetc,64.76216888427734,740.2175
tomato,65.36479187011719,747.107
tropicalnes,45.31975173950195,518.3859
turnipfor,2273.044921875,26313.02
vegetablenes,393.75775146484375,4420.903
vegfor,823.0821533203125,8283.613
watermelon,19.864410400390625,228.71075
wheat,3129.78173828125,30190.152
