Crop,clipped_PA_surf,total_surf
alfalfa,1468.9217529296875,1980.4489
almond,0.38681498169898987,1.1264503
banana,1050.1444091796875,1584.2968
barley,697.6773681640625,1178.8247
cabbagefor,0.0,0.0
cabbage,5.167452335357666,18.64447
carrotfor,0.0,0.0
carrot,0.17634367942810059,0.9876798
cauliflower,4.244854927062988,12.652781
cerealnes,385.83612060546875,605.96924
chilleetc,1.1963587999343872,4.190876
citrusnes,2.7625365257263184,8.729311
cucumberetc,5.118363380432129,14.313565
date,18426.53515625,23075.875
eggplant,5.173214912414551,14.5581665
fig,0.7422016859054565,2.1883585
fruitnes,47.029518127441406,86.478325
grape,0.16375848650932312,0.5990339
grassnes,23.147825241088867,79.65201
greenbean,1.068755865097046,3.1996834
greenonion,10.114910125732422,31.191744
legumenes,0.0,0.0
lemonlime,1210.01708984375,1636.4502
lettuce,0.2419947236776352,0.9146007
maizefor,0.0,0.0
maize,0.0,636.10724
mango,1043.868896484375,1440.7023
melonetc,2.0916357040405273,13.954235
onion,242.91485595703125,413.66998
papaya,195.8505096435547,269.4732
popcorn,0.0,0.0
potato,401.62841796875,567.93616
pumpkinetc,7.654319763183594,25.205242
sorghumfor,0.0,0.0
sorghum,2901.561767578125,3397.7625
spinach,1.3554409742355347,6.3333573
sugarcane,97.87431335449219,126.1015
tobacco,141.94503784179688,246.08957
tomato,2314.6357421875,3024.6472
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,1113.9310302734375,1539.5947
vegfor,8055.6240234375,11450.548
watermelon,666.03369140625,932.95483
wheat,773.3522338867188,1048.2771
