Crop,clipped_PA_surf,total_surf
abaca,19.849430084228516,31.170288
agave,2.447766065597534,4.0218935
alfalfa,18555.076171875,82712.57
almond,0.25369197130203247,0.81107545
aniseetc,11.528491020202637,18.698381
apple,996.9370727539062,7948.6934
apricot,17.55019760131836,70.629
artichoke,699.1110229492188,3166.1982
asparagus,7244.7841796875,32077.137
avocado,10288.7177734375,45520.395
banana,14286.734375,99524.23
barley,24559.908203125,116829.586
bean,11139.5126953125,68066.45
beetfor,0.0,0.0
berrynes,3.108318328857422,4.8785367
brazil,2270.7080078125,10100.465
broadbean,11744.150390625,52655.777
buckwheat,0.0,0.34264687
cabbagefor,0.03195647522807121,0.067757376
cabbage,514.0471801757812,2278.4524
carrotfor,0.0,0.0
carrot,1840.5784912109375,8128.678
cashewapple,0.0,4.545642
cashew,129.78273010253906,592.7583
cassava,22993.7265625,105926.06
castor,5.388009071350098,8.693611
cauliflower,1044.5618896484375,4623.8823
cerealnes,2114.434326171875,9357.461
cherry,0.1515214741230011,0.4277757
chestnut,25.545547485351562,120.09953
chickpea,176.851318359375,456.9026
chilleetc,1960.2498779296875,8985.942
citrusnes,764.49169921875,3373.5945
clover,0.13475783169269562,0.43345934
cocoa,26313.375,155381.05
coconut,284.8598327636719,2420.5505
coffee,80006.90625,395001.12
cotton,1132.1834716796875,7823.095
cowpea,3654.1923828125,12255.858
cucumberetc,546.7974243164062,2437.6206
date,27.15334701538086,120.91725
eggplant,0.0,0.0
fig,105.9590835571289,477.7258
flax,0.09282884746789932,0.28013864
fornes,0.3648957908153534,1.1770375
fruitnes,3235.93994140625,14185.48
garlic,1579.9974365234375,7586.0474
grapefruitetc,170.39170837402344,775.6105
grape,7363.9072265625,32597.188
grassnes,21.491321563720703,86.78393
greenbean,971.372314453125,4277.701
greenbroadbean,2943.36865234375,12996.162
greencorn,9635.484375,43375.477
greenonion,15.141437530517578,24.616486
greenpea,7717.529296875,34276.566
groundnut,778.5504150390625,3006.2246
hempseed,0.04856591671705246,0.12902316
hemp,0.18695701658725739,0.59919184
jutelikefiber,0.44045397639274597,1.4194112
jute,30.295217514038086,152.77255
legumenes,0.0,0.0
lemonlime,4659.71533203125,25822.715
lentil,334.085205078125,2816.101
lettuce,1305.1612548828125,5785.5483
linseed,237.8405303955078,1074.2524
lupin,2494.176513671875,11020.51
maizefor,0.8658246397972107,2.783905
maize,104205.4375,429988.97
mango,7118.98388671875,31449.568
melonetc,259.3505554199219,1161.7319
mixedgrass,4.375766754150391,25.592812
nutnes,171.53578186035156,777.203
oats,3479.27783203125,15391.622
oilpalm,10819.7822265625,69355.375
olive,4531.419921875,20071.59
onion,3416.344482421875,15115.31
orange,5398.6044921875,29035.107
papaya,2789.443359375,12329.454
peachetc,1110.7181396484375,4910.7295
pear,85.6959228515625,386.83203
pea,9325.7177734375,41747.637
pepper,21.065275192260742,34.09132
pimento,472.46881103515625,2101.7354
pineapple,3326.80078125,14722.741
plantain,23577.05859375,151619.72
plum,177.13072204589844,791.79315
popcorn,0.0,0.0
potato,88732.546875,328004.44
pulsenes,265.1669921875,1186.6674
pumpkinetc,1746.1292724609375,7725.6636
pyrethrum,0.024559471756219864,0.06271047
quince,144.41796875,656.1559
quinoa,14319.990234375,63813.383
rapeseed,0.692715048789978,2.3893933
rice,121756.640625,411318.1
rootnes,9202.93359375,41480.2
rubber,5.1948466300964355,8.065221
ryefor,0.0,0.0
rye,6.8925557136535645,27.502663
sesame,59.51981735229492,346.89493
sorghumfor,0.0,0.0
sorghum,1.2711281776428223,14.0609255
soybean,141.75912475585938,612.44727
spicenes,198.643310546875,899.91437
spinach,318.7814636230469,1436.8491
strawberry,274.865966796875,1229.492
stringbean,2035.598388671875,9011.42
sugarbeet,0.31061217188835144,0.49400666
sugarcane,16822.916015625,78101.15
sunflower,0.0,0.063374825
sweetpotato,4239.29736328125,14187.32
tangetc,3845.86328125,16971.31
tea,427.36175537109375,2058.2734
tobacco,43.859275817871094,199.66042
tomato,1370.63623046875,4830.603
tropicalnes,5669.22119140625,25022.408
turnipfor,0.0,0.0
vegetablenes,584.0234985351562,2587.0464
vegfor,885.2332153320312,3849.7986
walnut,10.034225463867188,45.145348
watermelon,924.6212768554688,4103.359
wheat,23303.888671875,106585.91
yam,8.306779861450195,8.730503
yautia,67.3773422241211,306.36926
