Crop,clipped_PA_surf,total_surf
almond,8.167455673217773,12.724829
aniseetc,11545.3388671875,56354.49
apple,44810.88671875,219479.11
apricot,2655.56689453125,12126.124
areca,7.9060187339782715,13.173269
artichoke,0.0,0.0
asparagus,13.34819507598877,21.01077
avocado,0.0,0.0
barley,1572354.5,8189916.5
bean,758.6408081054688,3594.5999
beetfor,23.367050170898438,125.56081
berrynes,144.4635772705078,291.71503
blueberry,95.71503448486328,160.34856
broadbean,827.85888671875,4129.632
buckwheat,170376.984375,814363.5
cabbagefor,0.0,0.0
cabbage,15639.91015625,75760.45
carrotfor,0.0,0.0
carrot,9348.447265625,45707.152
cashew,0.07655646651983261,0.2025662
cassava,38.57828903198242,61.841053
castor,41.46855545043945,197.10246
cauliflower,372.95684814453125,1938.3529
cerealnes,8097.3623046875,39504.477
cherry,2368.119384765625,10799.474
chestnut,989.9614868164062,4869.3325
chickpea,56671.19140625,310640.2
chicory,0.0,0.55630386
chilleetc,21.747995376586914,64.18017
cinnamon,5.529097080230713,9.299615
citrusnes,10.510412216186523,18.457851
coconut,3.3299472332000732,5.33076
coffee,0.8518833518028259,1.4199733
cotton,2.8399667739868164,6.5528994
cranberry,3.6966092586517334,46.496502
cucumberetc,8663.9365234375,40826.06
currant,15370.1904296875,70084.086
date,0.0,0.0
eggplant,23.878808975219727,44.507893
flax,7416.158203125,43954.848
fornes,286964.0625,1421301.8
fruitnes,357.0379943847656,1637.5204
garlic,4483.0615234375,21085.871
ginger,2.5523805618286133,4.6997004
gooseberry,3163.572509765625,14500.684
grapefruitetc,6.30536413192749,11.081896
grape,16056.01953125,71885.8
grassnes,103.79092407226562,197.01312
greenbean,1.9783276319503784,3.8733275
greenbroadbean,0.4257192015647888,1.1509864
greenonion,0.6532723903656006,0.6532724
greenpea,5482.60205078125,26436.232
groundnut,18.99136734008789,47.614452
hazelnut,274.451904296875,883.8868
hempseed,1289.15478515625,6536.283
hemp,718.0155029296875,3605.4404
hop,15.40503978729248,124.03721
jutelikefiber,4393.87744140625,21457.81
legumenes,145.69288635253906,149.40393
lemonlime,5.803860664367676,10.62504
lentil,22090.591796875,119271.92
lettuce,4.455679893493652,7.019178
linseed,180991.9375,880651.8
lupin,10533.708984375,51014.918
maizefor,415816.03125,1976645.0
maize,573154.4375,2703257.8
mango,1.5498489141464233,2.300676
melonetc,8.955799102783203,20.116539
melonseed,4.1626715660095215,6.92819
millet,43836.6171875,359961.9
mixedgrain,183.09205627441406,265.9832
mixedgrass,456567.375,2098645.0
mushroom,16476.419921875,24703.318
mustard,34047.59765625,166022.98
nutnes,1216.291748046875,6116.9233
oats,484522.4375,2305382.8
oilpalm,6.981060981750488,11.266227
oilseedfor,0.0,0.0
oilseednes,6929.5732421875,34867.312
olive,1.839585304260254,1.9119911
onion,12801.005859375,61373.39
orange,5.406871795654297,11.2094145
papaya,0.0,0.0
peachetc,1367.3502197265625,6134.12
pear,1974.3968505859375,8996.188
pea,256545.421875,1251303.6
pepper,1.4132978916168213,2.4120908
persimmon,21.846403121948242,22.966768
pimento,5.1172943115234375,8.57762
pineapple,0.10845988988876343,0.1710108
pistachio,1.7417622804641724,3.039592
plum,9235.9169921875,42121.305
popcorn,0.0,0.0
potato,277053.375,1206426.2
pulsenes,599.5498657226562,3189.3025
pumpkinetc,7677.77001953125,28722.443
quince,137.7967071533203,651.3023
ramie,16.13136100769043,26.174847
rapeseed,281974.96875,1421151.1
rasberry,5295.19091796875,24138.113
rice,64664.03125,192064.16
rubber,68.29573822021484,117.084595
ryefor,0.0,0.0
rye,206377.828125,976383.3
safflower,25975.888671875,129168.44
sesame,1.3093620538711548,1.6976036
sisal,0.7249227166175842,1.1960617
sorghumfor,0.0,0.0
sorghum,9490.5517578125,48389.395
sourcherry,8871.7265625,40463.875
soybean,495475.09375,2614821.8
spicenes,14.168648719787598,16.204218
spinach,7.214152812957764,11.316232
stonefruitnes,0.788123607635498,0.808061
strawberry,6916.6484375,31741.967
sugarbeet,174230.03125,920009.75
sunflower,1132579.75,8327686.5
swedefor,7.531632900238037,42.06283
sweetpotato,28.59604835510254,45.398552
tangetc,156.41098022460938,272.3842
taro,14.045662879943848,23.55548
tea,448.46612548828125,487.30508
tobacco,21.518993377685547,35.449657
tomato,17481.88671875,82733.766
triticale,9564.8662109375,35161.03
tropicalnes,1.971073865890503,3.2401102
tung,21.687177658081055,36.46366
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,38357.13671875,186474.56
vegfor,23980.275390625,103947.28
vetch,20945.60546875,98142.5
walnut,2928.822021484375,14121.116
watermelon,21656.26171875,100466.02
wheat,5198572.5,28485592.0
