Crop,clipped_PA_surf,total_surf
alfalfa,59283.484375,223571.12
almond,13425.291015625,48902.914
aniseetc,18916.509765625,69171.08
apple,44698.78125,165768.61
apricot,34513.8515625,128572.96
artichoke,796.428466796875,2964.5056
asparagus,85.60868072509766,117.176926
avocado,300.5419006347656,1101.6213
banana,8212.8798828125,10053.041
barley,752252.0625,3032463.0
bean,30469.205078125,102035.18
beetfor,751.1490478515625,2810.1003
berrynes,885.361328125,3298.1045
broadbean,970.1817626953125,3589.9407
buckwheat,0.06195422261953354,0.09577639
cabbagefor,0.0,0.0
cabbage,7307.48779296875,27026.863
canaryseed,1109.85693359375,4261.0264
carob,251.73309326171875,933.8969
carrotfor,0.0,0.0
carrot,2637.88623046875,9823.971
cauliflower,3582.88671875,13280.692
cerealnes,78.40103149414062,103.49713
cherry,21229.771484375,78687.46
chestnut,3711.346435546875,13833.378
chickpea,155554.546875,504037.66
chilleetc,24172.294921875,90361.15
citrusnes,51.918983459472656,122.28203
clover,1.182786464691162,2.2155123
cotton,118652.84375,335690.7
cowpea,0.5089771151542664,0.7759516
cranberry,197.7815399169922,197.78154
cucumberetc,10269.5771484375,38161.867
currant,0.09826228022575378,0.09826228
date,944.0322875976562,3392.4434
eggplant,6279.56494140625,23408.982
fig,14294.68359375,53288.39
flax,2.19877552986145,3.1658735
fornes,661.8601684570312,969.6356
fruitnes,7290.07763671875,23896.012
garlic,856.414794921875,3173.513
grapefruitetc,1320.4129638671875,4947.224
grape,102681.0625,396352.94
grassnes,632.1990966796875,971.1444
greenbean,10545.78515625,39365.848
greenbroadbean,1526.35400390625,5657.594
greenonion,2182.70458984375,8130.36
greenpea,2890.728759765625,10760.563
groundnut,26019.666015625,52516.97
hazelnut,186538.234375,713320.25
hempseed,3.1239562034606934,8.672885
hop,0.6639578938484192,0.7324855
kiwi,852.0853271484375,3168.9014
legumenes,56309.23046875,212283.9
lemonlime,12127.8701171875,45065.1
lentil,75176.75,240609.23
lettuce,6302.6865234375,23520.854
linseed,55.60894012451172,217.08527
lupin,0.7748472094535828,1.1504307
maizefor,7127.2744140625,26350.543
maize,205688.859375,652585.5
mango,0.4881340265274048,0.63698936
melonetc,20378.08984375,76216.22
melonseed,3.3159027099609375,4.7593966
millet,469.891845703125,1815.6447
mixedgrain,2406.1484375,8998.69
mixedgrass,31.03458023071289,31.03458
mustard,4.490854263305664,4.544345
nutnes,262.35272216796875,879.8665
oats,30373.68359375,112169.25
oilseedfor,0.0,0.0
oilseednes,6.369606971740723,6.446553
okra,2067.72314453125,7684.7974
olive,275528.875,837302.5
onion,18111.71484375,70007.12
orange,12150.734375,44824.21
peachetc,12265.533203125,45079.18
pear,6991.6484375,25939.975
pea,145.9952850341797,545.90875
persimmon,0.0,0.0
pimento,1878.6947021484375,7027.2246
pistachio,94898.6640625,353260.56
plum,5702.263671875,21109.664
popcorn,0.0,0.0
poppy,9421.8291015625,35220.375
potato,38312.34765625,145383.64
pulsenes,932.9321899414062,3459.1887
pumpkinetc,29902.125,111231.64
quince,2072.9150390625,7737.1606
rapeseed,16060.8837890625,32724.72
rasberry,1.795548439025879,1.8157551
rice,35687.82421875,118704.84
ryefor,0.0,0.0
rye,22518.541015625,104080.93
safflower,3338.648193359375,12836.517
sesame,6912.68017578125,25750.145
sorghumfor,1.4369945526123047,2.065063
sorghum,0.1887834370136261,0.2613275
sourcherry,5437.5986328125,20272.105
soybean,12356.5068359375,34325.844
spicenes,12862.1884765625,48043.68
spinach,4929.958984375,18421.715
stonefruitnes,70.58984375,264.93326
strawberry,4697.810546875,17556.41
stringbean,2492.40478515625,9334.414
sugarbeet,81007.0,333789.72
sugarcane,12.389838218688965,17.76426
sunflower,152398.25,700322.8
sweetpotato,0.21104714274406433,0.3127464
tangetc,15562.041015625,58091.953
tea,47450.03125,81917.1
tobacco,17850.5703125,74454.35
tomato,48078.47265625,180726.17
triticale,23958.671875,24643.812
tropicalnes,2182.5947265625,8156.5273
turnipfor,0.0,0.0
vegetablenes,4120.99560546875,14994.987
vegfor,8539.01953125,31613.531
vetch,478.2667236328125,1621.7001
walnut,36818.97265625,137429.05
watermelon,21038.1875,78585.6
wheat,1755785.625,6854157.5
