Crop,clipped_PA_surf,total_surf
agave,9.32058048248291,10.915221
alfalfa,2217015.25,8447945.0
almond,190240.6875,513451.88
aniseetc,57.59762954711914,87.13668
apple,41617.390625,121671.56
apricot,1955.6710205078125,3164.7207
artichoke,881.7822265625,2132.022
asparagus,3571.052734375,7181.5845
avocado,19872.955078125,21415.936
banana,286.9415283203125,325.191
barley,289480.875,866431.75
bean,159389.203125,673587.0
beetfor,0.0,0.0
berrynes,718.3804931640625,3356.131
blueberry,7105.00439453125,38194.777
broadbean,9.366231918334961,18.587727
buckwheat,26567.396484375,72749.92
cabbagefor,0.0,0.0
cabbage,9240.767578125,22588.828
canaryseed,1.5363404750823975,16.232231
carrotfor,0.0,0.0
carrot,14011.412109375,27780.34
cashew,3.31670880317688,3.8198047
castor,2.0365796089172363,2.3452895
cauliflower,29384.59765625,52877.164
cherry,11736.8154296875,35884.004
chickpea,11182.1337890625,108251.14
chilleetc,7796.365234375,19074.164
citrusnes,288.54376220703125,336.13947
clover,19280.87109375,65840.11
coffee,2318.22265625,2685.2913
cotton,1244430.75,3570191.8
cowpea,3371.512939453125,7736.6763
cranberry,9175.611328125,13581.357
cucumberetc,6880.90576171875,36521.06
date,3516.094970703125,5616.238
eggplant,611.196044921875,2403.7395
fibrenes,23.4107608795166,112.06277
fig,883.6188354492188,2031.697
fornes,22.08202362060547,25.971132
garlic,6673.00927734375,10044.998
grapefruitetc,4821.21044921875,17181.783
grape,156668.0,374375.97
grassnes,341.82806396484375,402.21085
greenbean,4743.9267578125,9983.33
greencorn,51604.69921875,154450.56
greenonion,109.7837142944336,438.46707
greenpea,13416.0439453125,53677.684
groundnut,232851.203125,654107.9
hazelnut,9637.0888671875,24002.998
hop,15197.3251953125,23950.924
kiwi,714.5602416992188,1689.6879
legumenes,0.0,0.0
lemonlime,11329.7353515625,20046.97
lentil,27369.76171875,211356.44
lettuce,83960.296875,93213.06
linseed,20823.1640625,119947.91
maizefor,112630.84375,458385.53
maize,5918963.5,33542168.0
mango,11.474047660827637,43.105946
melonetc,14419.2216796875,18705.754
millet,32233.455078125,192789.14
mixedgrain,80.22994995117188,383.4972
mixedgrass,713631.875,3125882.2
mustard,5867.6455078125,36876.99
nutnes,36309.703125,166369.33
oats,96402.4375,413998.78
oilseedfor,0.0,0.0
oilseednes,0.0,0.0
okra,575.1013793945312,1279.6523
olive,3193.564208984375,14911.661
onion,25493.24609375,53693.117
orange,143780.328125,206627.58
papaya,27.451251983642578,226.27907
peachetc,10385.498046875,29499.637
pear,8517.625,17723.705
pea,67902.4375,395749.9
peppermint,8642.2529296875,24799.553
pepper,1.5294615030288696,1.741052
persimmon,73.89280700683594,202.60214
pimento,1.0872246026992798,3.6765013
pistachio,75614.6171875,153345.28
plum,6196.046875,21801.168
popcorn,10580.3828125,76310.02
potato,143072.984375,370312.66
pumpkinetc,12164.9638671875,43421.8
quince,4.308231353759766,9.703113
rapeseed,139508.703125,732436.25
rasberry,2171.66162109375,6460.914
rice,442605.4375,1202831.1
rootnes,2.865166664123535,3.293819
rubber,12.276507377624512,14.408564
ryefor,36433.48828125,173946.36
rye,22792.541015625,137405.38
safflower,11680.53515625,51990.94
sisal,47.94562530517578,56.383953
sorghumfor,60676.87890625,274515.3
sorghum,623807.5625,2030554.0
sourcherry,4682.5068359375,12435.957
soybean,6136164.0,33396038.0
spicenes,0.129634290933609,0.12963429
spinach,14590.65234375,21463.188
strawberry,5405.54736328125,15581.43
stringbean,10921.7939453125,49839.414
sugarbeet,83723.6796875,462455.38
sugarcane,150840.296875,385489.66
sunflower,120720.5,663155.56
sweetpotato,18851.310546875,62973.438
tangetc,6119.37548828125,20889.885
tobacco,22778.34375,78526.5
tomato,55943.77734375,110411.805
triticale,89350.8359375,329714.4
turnipfor,39.60670852661133,330.6013
vegetablenes,3705.79443359375,16943.516
vegfor,3472.627685546875,13564.117
vetch,581.8734741210938,2059.9553
walnut,48772.0625,155572.8
watermelon,17430.154296875,37553.38
wheat,2937989.0,14988982.0
yam,2.6304092407226562,2.9516206
