Crop,clipped_PA_surf,total_surf
alfalfa,122.84049987792969,174.08534
almond,4278.13134765625,6001.171
aniseetc,426.0671691894531,1172.7765
apple,6447.01513671875,9298.334
apricot,4104.8466796875,5826.899
artichoke,0.17832188308238983,0.23620692
asparagus,0.1583477407693863,0.21006258
banana,16.80793571472168,17.712723
barley,24252.115234375,96544.5
bean,174.5313720703125,325.16797
beetfor,3.5174036026000977,4.4703245
berrynes,454.76373291015625,828.3183
broadbean,2.388747215270996,3.6360507
buckwheat,1.124093770980835,1.4306772
cabbagefor,0.0,0.0
cabbage,55.87362289428711,83.74726
carrotfor,0.0,0.0
carrot,89.19943237304688,122.267815
castor,0.34184324741363525,0.50409776
cauliflower,4.191122531890869,7.919676
cerealnes,2.5018727779388428,3.7664943
cherry,10.6080904006958,14.866257
chickpea,19.34918785095215,44.082577
chilleetc,1.4633705615997314,2.0471659
citrusnes,18.571069717407227,42.17724
cotton,20493.10546875,70721.81
cucumberetc,84.55677032470703,113.18953
date,48.968505859375,69.43313
eggplant,5.896189212799072,9.852764
fig,205.8212890625,366.3661
fornes,477.9244079589844,617.05707
fruitnes,2314.953125,3265.7988
garlic,8.17702865600586,11.621388
grapefruitetc,0.7788588404655457,1.0840821
grape,19612.607421875,28846.172
grassnes,314.9901123046875,398.69583
greenbean,26.535551071166992,34.060677
greenbroadbean,0.23044481873512268,0.30553976
greenpea,10.64000415802002,20.96961
groundnut,72.2500228881836,120.65146
hazelnut,12.625358581542969,16.834112
jutelikefiber,0.9266886115074158,1.6728994
jute,1.072269082069397,1.604837
kiwi,1.4557913541793823,2.1277158
legumenes,0.0,0.0
lemonlime,16.635343551635742,24.849228
lentil,63.65730285644531,91.38467
lettuce,2.2714591026306152,3.3364172
linseed,5394.28564453125,8397.591
maizefor,320.8549499511719,488.28308
maize,27018.912109375,143388.0
mango,9.536398887634277,14.784206
melonetc,8893.8857421875,14374.831
millet,1373.250244140625,3112.7178
mixedgrass,516.9102783203125,959.82526
nutnes,391.65399169921875,552.1099
oats,1.2443647384643555,1.5589007
oilseedfor,0.0,0.0
oilseednes,0.252711683511734,0.33563802
okra,8.73681926727295,17.45304
olive,441.835205078125,2190.9854
onion,5087.23046875,7601.439
orange,234.16140747070312,380.91556
papaya,0.46740520000457764,0.90679085
peachetc,1769.9931640625,2480.3652
pear,262.13909912109375,459.91068
pea,800.6201782226562,2942.671
pepper,7.097338676452637,9.011294
pimento,27.36552619934082,52.368107
pistachio,35.13416290283203,317.62036
plum,915.2909545898438,1292.3502
popcorn,0.0,0.0
potato,8245.556640625,51687.855
pulsenes,13892.9013671875,57149.54
pumpkinetc,18.007888793945312,30.543783
quince,3.095541477203369,4.2317743
rapeseed,394.8387756347656,537.83105
rice,25931.4921875,151391.34
rootnes,8.560079574584961,16.484615
ryefor,0.0,0.0
rye,2.4774534702301025,3.3570914
safflower,32.768333435058594,43.109974
sesame,13972.3349609375,21947.246
sorghumfor,0.0,0.0
sorghum,9.563148498535156,15.0637865
sourcherry,6.213066577911377,8.916769
soybean,33.46485900878906,37.140472
spicenes,671.6201171875,1035.6982
spinach,3.1207854747772217,5.659625
stonefruitnes,179.71835327148438,458.76437
strawberry,1.1987123489379883,1.6314101
sugarbeet,211.7872314453125,649.2134
sugarcane,532.6265258789062,1681.9014
sunflower,323.6138000488281,506.71582
sweetpotato,3.206427574157715,3.4691129
tangetc,25.808958053588867,46.311134
tea,2.2906599044799805,2.9489262
tobacco,0.2863686978816986,0.96663916
tomato,130.74929809570312,203.6352
tropicalnes,24.713747024536133,48.22566
turnipfor,0.0,0.0
vegetablenes,100.79335021972656,156.2694
vegfor,27808.6953125,156152.44
walnut,399.16656494140625,745.4596
watermelon,13642.857421875,22069.822
wheat,532923.4375,2661830.2
yam,9.868077278137207,14.840271
