Crop,clipped_PA_surf,total_surf
avocado,4.15292501449585,8.849474
banana,43344.796875,171844.98
barley,0.06180519610643387,0.81137925
bean,211994.40625,687475.5
cabbagefor,0.0,0.0
cabbage,0.6454839110374451,1.3788847
cashew,132.64901733398438,11330.766
cassava,108352.453125,323329.88
castor,1.0986684560775757,10.09752
cerealnes,8.047683715820312,854.5817
chickpea,0.0,20.87643
citrusnes,2.164435386657715,19.173119
clove,1.1177208423614502,12.616158
cocoa,3.2891933917999268,9.601834
coconut,0.0,72.60133
coffee,7487.5888671875,25902.707
cotton,458.7009582519531,2510.8877
cowpea,6.6698198318481445,53.119175
fruitnes,7319.4853515625,23264.166
garlic,0.24773311614990234,1.995347
grapefruitetc,0.31839582324028015,0.6865274
grape,0.1784597635269165,2.1410065
greenbean,0.6368588209152222,2.1913574
greenbroadbean,0.027425643056631088,0.19554304
greencorn,2.1979787349700928,19.295486
greenpea,0.7863638401031494,6.2774653
groundnut,9651.126953125,23117.18
jutelikefiber,3.6182217597961426,7.7251444
legumenes,0.0,0.0
lemonlime,0.5159169435501099,2.8593066
lettuce,0.20548224449157715,0.45382333
maizefor,0.0,0.0
maize,79926.59375,224484.25
mango,13.930744171142578,67.23329
melonseed,54.875343322753906,116.76559
millet,1449.548095703125,9588.518
nutmeg,0.25884824991226196,2.7787309
nutnes,0.9628519415855408,9.427222
oilpalm,2726.387451171875,9215.565
oilseedfor,0.0,0.0
oilseednes,6.891371726989746,64.722
onion,8.192439079284668,40.504406
orange,10.154573440551758,45.745758
papaya,6.2419562339782715,13.325277
pea,1789.1002197265625,5508.038
pigeonpea,563.584228515625,2862.6836
pimento,4.5970377922058105,16.075966
pineapple,6.190145015716553,29.399242
plantain,2670.5205078125,19795.213
popcorn,0.0,0.0
potato,11611.900390625,28469.01
pulsenes,49.79001998901367,166.0214
pumpkinetc,702.9910278320312,1054.8549
pyrethrum,48.55295181274414,91.505035
rice,18265.45703125,59144.78
rootnes,46.816551208496094,95.26941
rubber,24.4183292388916,51.8089
safflower,3.9349184036254883,34.77169
sesame,166.79302978515625,1280.5602
sisal,7.76972770690918,74.92622
sorghumfor,0.0,0.0
sorghum,17025.404296875,50598.656
soybean,1940.109130859375,5719.532
spicenes,0.6030967831611633,0.8964025
sugarcane,2182.3759765625,5749.102
sunflower,0.7602955102920532,7.9503503
sweetpotato,30852.01953125,90752.05
taro,4236.8203125,12497.519
tea,4245.29541015625,11356.093
tobacco,411.5349426269531,1692.8933
tomato,8.84962272644043,56.547768
tropicalnes,22.198833465576172,59.548637
vegetablenes,3545.09326171875,11685.463
vegfor,18410.6328125,52489.207
wheat,6226.728515625,11633.121
yam,334.91558837890625,700.06836
