Crop,clipped_PA_surf,total_surf
almond,0.14014911651611328,0.1553872
aniseetc,1.055918574333191,8.604249
apple,7871.89208984375,51122.203
apricot,1.9130607843399048,4.0565805
barley,84146.40625,399111.47
bean,11923.4833984375,84945.31
beetfor,10.191573143005371,13.304359
berrynes,9.859212875366211,15.867863
blueberry,5.349606513977051,10.043405
broadbean,223.74777221679688,267.23264
buckwheat,4175.3818359375,27168.547
cabbagefor,0.0,0.0
cabbage,1626.0780029296875,10189.291
carrotfor,0.0,0.0
carrot,1421.3536376953125,8982.474
castor,0.0,0.042506155
cauliflower,5.486499786376953,10.151175
cerealnes,8358.7607421875,24836.555
cherry,111.09062957763672,630.6055
chestnut,0.05366397649049759,1.0539063
chickpea,0.591478705406189,10.188503
chilleetc,2.705864191055298,3.3816667
cranberry,97.26683044433594,360.06528
cucumberetc,934.7306518554688,5932.6978
currant,23.74153709411621,46.707943
eggplant,0.9291601181030273,1.3724525
flax,4446.849609375,49363.19
fornes,2873.6162109375,18554.027
fruitnes,4.727415084838867,16.346241
garlic,233.827392578125,971.57733
gooseberry,2.784775972366333,6.291613
grape,1454.9014892578125,3918.191
grassnes,35.78983688354492,118.31802
greenpea,204.9759979248047,896.4054
hazelnut,1345.771728515625,4259.599
hempseed,0.08766740560531616,0.6568086
hemp,0.6135694980621338,2.039825
hop,0.8490905165672302,1.5270559
jutelikefiber,0.3492308259010315,5.4287405
legumenes,262.76885986328125,480.15103
lentil,0.1542668342590332,3.012065
linseed,3669.46826171875,25470.074
lupin,339.60723876953125,1609.2687
maizefor,31488.373046875,158845.94
maize,40033.8671875,220507.84
millet,1697.8486328125,10089.772
mixedgrain,669.8991088867188,1214.6445
mixedgrass,34782.08984375,164804.45
mustard,9.941421508789062,45.66512
nutnes,133.86387634277344,895.3736
oats,30036.72265625,157831.12
oilseedfor,0.0,0.0
oilseednes,25.371612548828125,40.862316
onion,1693.7852783203125,10933.079
peachetc,0.7534012198448181,1.7214684
pear,851.75830078125,5571.1484
pea,5810.59326171875,36530.812
plum,1177.5870361328125,7654.9854
popcorn,0.0,0.0
potato,39491.765625,261823.06
pulsenes,53.43303680419922,97.84716
pumpkinetc,10.859026908874512,13.568892
quince,195.78439331054688,1059.3933
rapeseed,53883.7265625,356789.72
rasberry,9.971467018127441,18.961048
rice,0.06965906918048859,0.165241
ryefor,0.0,0.0
rye,69815.1171875,345670.44
safflower,1.4308487176895142,16.226717
sorghumfor,0.0,0.0
sorghum,11.346017837524414,22.094135
sourcherry,997.5477294921875,6341.6636
soybean,222.65887451171875,659.36346
stonefruitnes,1.6480178833007812,2.8716
strawberry,1436.9554443359375,9000.967
sugarbeet,9041.470703125,84539.01
sunflower,1852.0269775390625,4195.8545
tea,0.0,0.011242334
tobacco,1.8014061450958252,10.655197
tomato,1128.75048828125,7138.164
triticale,72532.203125,462336.25
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,2958.51171875,18885.15
vegfor,2891.003173828125,16092.538
vetch,1234.3665771484375,8684.087
walnut,995.837890625,5734.14
watermelon,9.325145721435547,23.089283
wheat,141431.34375,675940.75
