Crop,clipped_PA_surf,total_surf
apricot,43.34518051147461,169.64136
avocado,3839.29345703125,16358.748
bambara,3812.728515625,43759.24
banana,69224.5625,96138.0
bean,174214.515625,312999.84
cabbagefor,0.0,0.0
cabbage,448.4566955566406,2602.1812
carrotfor,0.0,0.0
carrot,7.189749240875244,37.539196
cashew,55.45349884033203,265.59808
cassava,70385.4296875,343606.06
cerealnes,199.03515625,363.20422
chilleetc,4295.0244140625,25971.957
citrusnes,192.8634490966797,1062.2887
cocoa,178139.71875,698023.25
coconut,1297.9063720703125,1400.4076
coffee,21992.935546875,119518.69
cotton,20889.673828125,258102.2
cowpea,28128.548828125,242918.5
cucumberetc,51698.6015625,306369.78
date,47.44989776611328,171.48413
eggplant,55.414554595947266,329.00778
fig,3.3452818393707275,27.202263
fruitnes,5996.1103515625,25369.443
ginger,1840.1544189453125,5670.9062
grapefruitetc,0.046401504427194595,3.3691432
greenbean,134.45260620117188,786.85345
greencorn,51.7679557800293,274.90366
greenonion,3.314528465270996,17.884499
groundnut,50153.7109375,477033.47
jutelikefiber,0.25279322266578674,2.6911304
jute,44.38595962524414,263.47552
karite,95.18533325195312,509.0556
kolanut,18019.599609375,104749.414
legumenes,0.0,0.0
lemonlime,0.043539103120565414,2.3223298
maizefor,0.0,0.0
maize,155712.875,1227915.6
mango,50.837379455566406,289.70767
melonetc,866.631591796875,5043.6616
melonseed,20095.787109375,117343.71
millet,9241.4892578125,80032.445
nutnes,84.33702087402344,338.25204
oilpalm,49628.890625,167975.6
okra,977.8488159179688,29955.705
onion,2752.7734375,26329.504
orange,0.2934751510620117,31.47422
papaya,18.833908081054688,100.40072
peachetc,36.88733673095703,144.68842
pepper,47.06592559814453,277.37772
pimento,729.3261108398438,4231.827
pineapple,3639.387939453125,8374.669
plantain,122048.625,321836.78
plum,29.34871482849121,115.115486
popcorn,0.0,0.0
potato,15883.9423828125,22925.871
pulsenes,513.511474609375,3081.2305
pumpkinetc,24663.052734375,144088.19
rice,98493.9765625,301060.12
rootnes,950.04736328125,5176.529
rubber,10676.6162109375,49771.965
sesame,9505.328125,53365.207
sisal,0.11332525312900543,4.115509
sorghumfor,0.0,0.0
sorghum,51970.54296875,776138.7
soybean,8611.2578125,16209.941
spicenes,0.8769111037254333,4.769087
stonefruitnes,319.74603271484375,1366.7529
sugarcane,13941.3388671875,140076.77
sweetpotato,28743.646484375,96080.555
taro,64060.9765625,175016.34
tea,1948.455322265625,2148.0737
tobacco,561.0543823242188,4315.0723
tomato,59825.1171875,126814.41
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,6565.56396484375,35468.03
vegfor,23488.369140625,85489.02
watermelon,478.9391784667969,2810.123
wheat,286.9092712402344,495.51392
yam,22286.9765625,63921.695
