Crop,clipped_PA_surf,total_surf
apple,71.00847625732422,653.7635
apricot,0.0,0.20797503
barley,38525.51171875,398013.22
beetfor,0.0,0.0
berrynes,35.841033935546875,338.29117
broadbean,0.0,3138.6116
cabbagefor,0.0,0.0
cabbage,90.33625030517578,817.88135
carrotfor,0.0,0.0
carrot,190.22708129882812,1712.1287
cauliflower,59.905670166015625,550.6152
cerealnes,0.020049959421157837,545.17847
cherry,0.0,0.24933766
cucumberetc,24.68906021118164,235.86848
currant,211.17532348632812,1900.4755
fornes,0.7263209819793701,22.818455
fruitnes,0.0,0.34795967
garlic,0.0,29.68077
gooseberry,0.5222089886665344,15.161213
grape,0.03217414394021034,1.0989467
greenbean,0.6913468837738037,29.007036
greenpea,548.895751953125,4935.171
jutelikefiber,0.011461122892796993,0.22832759
legumenes,0.0,0.0
linseed,0.42579415440559387,321.56476
maizefor,1.7231254577636719,54.1361
maize,63943.0234375,345534.66
mixedgrain,1789.644287109375,16256.281
mixedgrass,8147.70166015625,62849.65
mustard,0.08175428956747055,2.1416464
oats,21967.12109375,292840.8
onion,133.58082580566406,1204.7948
peachetc,0.0,0.06099537
pear,0.0,27.958405
pea,2043.89501953125,18375.271
plum,0.01906714402139187,0.7398747
popcorn,0.0,0.0
potato,1792.0672607421875,20922.709
rapeseed,1499.3726806640625,24736.05
rasberry,38.734458923339844,360.60587
rice,9.302425384521484,13.027851
ryefor,0.0,0.0
rye,1111.874755859375,14368.47
sorghumfor,0.0,0.0
sorghum,0.0,0.040235568
sourcherry,0.018396053463220596,0.7660288
soybean,244.87059020996094,595.9455
strawberry,495.70220947265625,4458.344
sugarbeet,177.2139129638672,10743.901
sunflower,239.75518798828125,970.33044
swedefor,2656.318603515625,24398.15
tomato,8.830592155456543,100.15939
triticale,0.667262077331543,52.137047
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,200.58106994628906,1804.8666
vegfor,196.3946533203125,9510.727
vetch,0.0,0.14036264
walnut,0.0,0.11740649
watermelon,0.0,0.37597618
wheat,8575.4921875,200564.77
