Crop,clipped_PA_surf,total_surf
alfalfa,52838.87109375,285601.47
almond,431.1375427246094,1449.3068
apple,8775.169921875,50563.582
apricot,2129.468994140625,12292.722
artichoke,831.3170776367188,4789.575
asparagus,877.1971435546875,4983.4385
avocado,175.30039978027344,175.4167
banana,4238.04443359375,5532.876
barley,343909.3125,1945131.0
bean,460.9721374511719,2904.81
beetfor,4724.5546875,27206.469
berrynes,0.31541988253593445,1.2515858
blueberry,226.81765747070312,345.20135
broadbean,11969.0595703125,76004.66
buckwheat,3100.898193359375,17914.736
cabbagefor,5453.23828125,31497.861
cabbage,1213.30322265625,6940.2065
carob,13.705921173095703,14.463109
carrotfor,0.0,0.0
carrot,2206.908203125,12697.03
cauliflower,3176.579833984375,18208.727
cerealnes,14805.5419921875,21061.705
cherry,1285.918212890625,7385.8403
chestnut,1476.476318359375,8490.636
chickpea,0.13362914323806763,0.36989242
chicory,661.9495239257812,3742.2131
chilleetc,196.76712036132812,1137.9327
clover,7330.17578125,41893.934
cucumberetc,294.1048278808594,1730.8533
currant,474.0567321777344,2706.3135
eggplant,130.40313720703125,797.0687
fig,71.29290008544922,440.34253
flax,29195.8671875,131030.984
fornes,137.20123291015625,424.2193
fruitnes,3.0957202911376953,5.347046
garlic,574.3720703125,3300.393
gooseberry,6.7721052169799805,11.741274
grapefruitetc,55.18999099731445,367.56262
grape,170764.109375,765718.2
grassnes,63047.9140625,321121.6
greenbean,5630.93505859375,32388.443
greenbroadbean,96.03839111328125,581.22394
greencorn,32899.5078125,174623.81
greenonion,388.0505676269531,2268.4375
greenpea,7760.6298828125,44676.168
hazelnut,924.4239501953125,5342.4287
hempseed,1101.3070068359375,6371.8574
hemp,3381.14208984375,15827.222
hop,81.8433609008789,501.11957
kiwi,653.865234375,3784.5515
legumenes,5643.697265625,32442.533
lemonlime,360.6056213378906,912.14874
lentil,1672.5953369140625,11918.699
lettuce,3133.59765625,17994.809
linseed,5160.1650390625,31913.781
lupin,1291.23974609375,5841.027
maizefor,83175.265625,382282.8
maize,244712.84375,1687078.0
melonetc,2289.8076171875,13208.813
millet,1413.662353515625,10965.361
mixedgrain,18044.02734375,104280.34
mixedgrass,83552.03125,383545.62
mushroom,2706.85595703125,2706.856
mustard,144.43785095214844,862.1
nutnes,5.898461818695068,6.2364974
oats,22750.419921875,79073.34
oilseedfor,5952.92822265625,32853.477
oilseednes,0.022669361904263496,0.64976853
olive,2696.30615234375,9437.807
onion,3043.6318359375,17455.584
orange,550.1991577148438,809.28156
peachetc,1655.8115234375,9519.97
pear,959.9620361328125,5516.402
pea,37922.8828125,222815.0
pimento,0.4443185031414032,0.4697343
plum,2592.3408203125,14961.074
popcorn,0.0,0.0
poppy,1960.9970703125,11324.041
potato,29171.201171875,206054.39
pulsenes,19255.716796875,64263.82
pumpkinetc,2765.8857421875,10349.731
quince,5.1789679527282715,58.68063
rapeseed,158664.96875,1132950.1
rasberry,116.17512512207031,698.56006
rice,13870.5458984375,14386.243
ryefor,71962.8984375,348373.06
rye,8581.3134765625,30085.646
sorghumfor,1940.330322265625,11204.626
sorghum,15861.888671875,111267.766
sourcherry,264.87066650390625,581.05396
soybean,17174.09765625,186294.03
spicenes,0.29798001050949097,0.3166185
spinach,928.9174194335938,5336.7124
strawberry,581.680419921875,3351.2244
stringbean,5840.1904296875,33739.508
sugarbeet,53139.421875,421009.4
sunflower,110425.96875,783255.56
tangetc,390.75494384765625,2178.3372
tobacco,372.0912170410156,1745.2948
tomato,1054.4549560546875,6009.3247
triticale,23867.263671875,215941.14
tropicalnes,3953.94287109375,3996.5972
turnipfor,235.91903686523438,1388.9293
vegetablenes,34898.5078125,200892.73
vegfor,781.4161987304688,4538.248
vetch,37.41899871826172,39.08228
walnut,4220.06494140625,24363.018
watermelon,149.21395874023438,949.5669
wheat,717430.6875,4541928.0
