Crop,clipped_PA_surf,total_surf
apple,2840.08544921875,15196.3545
asparagus,422.5171813964844,2269.6448
barley,229499.28125,1341516.9
bean,0.0,0.0
beetfor,1749.7913818359375,9326.503
berrynes,276.99102783203125,1500.5844
broadbean,31378.505859375,167831.7
cabbagefor,3347.316650390625,17916.54
cabbage,1698.0142822265625,9084.566
carrotfor,0.0,0.0
carrot,2556.56494140625,13673.603
cauliflower,3309.609375,17702.23
cherry,133.9408416748047,737.88965
chilleetc,8.648436546325684,78.69169
cucumberetc,15.5814847946167,109.43136
currant,490.1572570800781,2623.947
flax,1906.0745849609375,10212.468
fruitnes,1.390004277229309,1.9676094
gooseberry,44.31180191040039,264.0753
grape,82.93082427978516,460.00247
greenbean,644.27783203125,3446.4487
greenbroadbean,387.3736267089844,2075.5452
greenonion,292.1365051269531,1567.2134
greenpea,7746.3828125,41461.418
hop,54.42612075805664,314.02008
legumenes,0.0,0.0
lettuce,889.8853149414062,4765.234
linseed,6322.98828125,33717.945
maizefor,18970.470703125,97101.01
maize,153273.0625,817310.8
mixedgrain,1573.705322265625,8417.468
mixedgrass,34736.69140625,145807.7
oats,24545.912109375,177840.72
onion,1675.851318359375,8970.931
pear,275.41082763671875,1477.8947
pea,9891.71875,52091.56
plum,98.89851379394531,543.74554
popcorn,0.0,0.0
potato,16737.30859375,140640.2
pulsenes,9730.75,50617.633
rapeseed,44855.69921875,377578.3
rasberry,260.3509521484375,1396.5999
rice,4.248371601104736,27.289467
ryefor,0.0,0.0
rye,4113.078125,26400.307
soybean,159.3250274658203,1089.5974
strawberry,889.8019409179688,4758.913
sugarbeet,6747.443359375,110265.1
sunflower,4979.37109375,30221.28
tomato,31.313045501708984,189.61256
triticale,1314.6651611328125,10529.785
tropicalnes,0.0,0.0
turnipfor,6042.560546875,32336.91
vegetablenes,7792.10595703125,41713.15
vegfor,2148.589599609375,13264.272
wheat,159853.140625,1384340.5
