Crop,clipped_PA_surf,total_surf
banana,149.82359313964844,602.61
cashew,43535.7109375,229854.66
cassava,930.7328491210938,5231.4497
cerealnes,1092.139892578125,4718.0283
citrusnes,20.559612274169922,57.820366
cocoa,31.690658569335938,34.66362
coconut,4618.974609375,10367.126
coffee,0.0,13.636505
cotton,875.5382080078125,4873.417
cowpea,805.146728515625,4575.1265
fonio,237.09158325195312,1047.3569
fruitnes,864.3729248046875,3268.3826
greenbean,0.6923310160636902,4.558438
greencorn,62.860260009765625,164.20831
groundnut,6679.35205078125,42571.496
legumenes,0.0,0.0
lemonlime,191.4749755859375,685.2274
maizefor,0.0,0.0
maize,1581.3631591796875,9316.055
mango,252.3809051513672,949.1653
melonetc,0.3303207755088806,0.9016737
melonseed,5.3934245109558105,35.53754
millet,3780.52587890625,18454.125
nutnes,1.257101058959961,8.3166485
oilpalm,1396.490478515625,9685.537
onion,6.510121822357178,42.3672
orange,374.08709716796875,1374.0048
papaya,82.17410278320312,294.1744
pimento,2.120344638824463,14.166733
pineapple,16.97100067138672,59.902874
plantain,3715.328125,16299.833
popcorn,0.0,0.0
potato,0.0,10.908592
pulsenes,1004.7227783203125,5194.0146
rice,18766.353515625,113728.516
rootnes,2451.796630859375,12357.5625
rubber,6.7487921714782715,19.05293
sisal,1.350653886795044,3.8010612
sorghumfor,0.0,0.0
sorghum,6884.658203125,20383.242
sugarcane,117.90211486816406,232.75818
sweetpotato,40.8353271484375,121.21304
taro,1.245851993560791,3.8647006
tobacco,1.0686454772949219,3.9062355
tomato,0.0,0.16663381
tropicalnes,5.374300003051758,24.092249
vegetablenes,812.8155517578125,3633.1985
vegfor,782.590087890625,6223.02
yam,10.206668853759766,26.239758
