Crop,clipped_PA_surf,total_surf
aniseetc,230.54214477539062,779.8938
apple,20.537363052368164,59.549187
asparagus,13.84886646270752,36.947678
avocado,7903.564453125,22695.69
banana,32821.83203125,75060.19
barley,7135.333984375,11119.152
bean,352824.0,1157475.5
berrynes,75.16116333007812,217.37172
broadbean,6.69263219833374,25.986542
cabbagefor,0.0,0.0
cabbage,11397.1083984375,33357.17
carrotfor,0.0,0.0
carrot,1894.932861328125,5452.1636
cashew,7712.201171875,21896.605
cassava,17004.94140625,66606.99
castor,4907.41015625,14095.146
cauliflower,28.748699188232422,90.85813
cerealnes,33.3414421081543,111.47538
chickpea,815.7758178710938,4117.074
chilleetc,183.2784881591797,584.7508
citrusnes,4744.5751953125,13623.166
clove,728.5455322265625,2086.9553
cocoa,7.8042378425598145,22.283056
coconut,50800.40625,87253.14
coffee,39168.18359375,123069.34
cotton,3352.39404296875,14326.725
cowpea,44901.140625,238919.39
cucumberetc,156.57583618164062,453.83575
date,156.2954864501953,464.4863
eggplant,1.442383885383606,5.5765834
fibrenes,28.99131202697754,83.84769
fornes,13.998152732849121,61.401466
fruitnes,3588.621337890625,10426.216
garlic,85.96614837646484,249.07591
ginger,136.53582763671875,495.56174
grapefruitetc,78.21734619140625,235.65158
grape,1.4697365760803223,3.5796127
greenbean,1446.6846923828125,4192.214
greenbroadbean,0.038508832454681396,0.1837746
greencorn,9.718581199645996,26.775574
greenonion,0.14607471227645874,0.45669597
greenpea,3200.7685546875,9234.176
groundnut,3441.44287109375,16095.992
jutelikefiber,0.11685274541378021,0.31744823
legumenes,0.0,0.0
lemonlime,1252.9600830078125,3627.2544
lentil,110.87113952636719,2005.5277
lettuce,13.085060119628906,40.982094
linseed,276.556396484375,814.5096
maizefor,0.0,0.0
maize,587849.25,2207966.0
mango,21713.759765625,62127.656
melonetc,0.19622361660003662,0.7880378
millet,14938.8125,119571.61
mustard,0.24035175144672394,0.7584622
nutmeg,32.293609619140625,92.713585
nutnes,1376.9698486328125,3957.7927
oats,1392.9935302734375,4008.9368
oilpalm,1.680250883102417,1.6802509
oilseedfor,0.0,0.0
oilseednes,40070.20703125,116618.984
okra,596.98828125,1716.3949
onion,3829.357421875,11038.18
orange,5313.95654296875,16064.573
papaya,2745.0576171875,7901.089
peachetc,5.7203826904296875,16.835617
pear,96.1819076538086,309.4635
pea,97.22864532470703,272.12735
pepper,173.29168701171875,544.3187
pigeonpea,21143.392578125,134217.89
pimento,1568.601806640625,4521.2173
pineapple,3523.769775390625,10140.44
plantain,919.347900390625,7791.444
plum,117.73579406738281,401.27136
popcorn,0.0,0.0
potato,109135.9453125,179353.8
pulsenes,66572.6015625,190755.39
pumpkinetc,0.6029818058013916,2.4816678
pyrethrum,1010.8574829101562,2935.7393
rapeseed,0.0,0.0
rice,5754.41162109375,28821.498
rootnes,881.2025756835938,2640.7544
safflower,26.498865127563477,74.21457
sesame,11121.197265625,32046.336
sisal,8724.890625,24924.438
sorghumfor,0.0,0.0
sorghum,54590.00390625,222568.84
soybean,130.43972778320312,2477.1597
spicenes,326.4770202636719,944.5828
spinach,3169.22900390625,9099.497
strawberry,15.923722267150879,55.028713
sugarcane,13440.9404296875,90790.7
sunflower,2397.26513671875,5725.6606
sweetpotato,20036.328125,56489.816
tangetc,152.01528930664062,445.352
tea,85856.921875,268026.78
tobacco,1446.7635498046875,15894.444
tomato,12192.828125,35121.164
tropicalnes,1378.6480712890625,3964.1091
turnipfor,0.0,0.0
vanilla,7.834602355957031,22.042265
vegetablenes,16909.8828125,48651.098
vegfor,25051.44921875,89811.336
vetch,24.13443374633789,73.61375
watermelon,5614.59814453125,16436.943
wheat,70577.6875,132544.77
yam,250.29595947265625,1046.4056
