Crop,clipped_PA_surf,total_surf
almond,4.974740982055664,9.152004
avocado,0.1971370279788971,0.272159
bambara,36799.6015625,52130.832
banana,3949.2138671875,5828.788
barley,15.409762382507324,30.973942
bean,4888.755859375,8945.867
beetfor,0.0,0.0
cabbagefor,0.0,0.0
cabbage,1396.6494140625,1762.051
carrotfor,0.0,0.0
carrot,287.0643615722656,361.9437
cashew,6322.9013671875,11286.34
cassava,5097.8896484375,9092.087
cerealnes,97.04879760742188,332.5489
chickpea,0.014985392801463604,0.014985393
chilleetc,4257.4833984375,6984.8364
citrusnes,79.2773208618164,83.031136
cocoa,273.1738586425781,417.92822
coconut,0.3551012873649597,0.3551013
coffee,25.066875457763672,52.90735
cotton,36451.86328125,169959.14
cowpea,96848.4140625,391070.06
date,81.65486145019531,150.72209
eggplant,963.7078857421875,1767.0614
fonio,27679.203125,61292.215
fruitnes,127.99000549316406,212.62291
garlic,316.0430908203125,398.19775
grapefruitetc,0.0,6.1831574
greenbean,237.07421875,372.6328
greenbroadbean,0.2900790572166443,0.32641166
greencorn,193.06153869628906,222.00475
greenonion,3280.19580078125,6021.781
groundnut,163537.0,456398.5
jutelikefiber,1101.4273681640625,1787.7668
karite,38784.0703125,63282.523
kolanut,42.00502014160156,72.83358
legumenes,0.0,0.0
lemonlime,163.45718383789062,587.74414
lettuce,1960.30029296875,2471.447
maizefor,0.0,0.0
maize,362086.5,1148384.6
mango,22215.216796875,35284.176
melonetc,764.7857666015625,802.91046
melonseed,2170.7080078125,3507.4968
millet,895233.4375,2111015.8
nutnes,1160.203125,1883.514
oilpalm,0.6551854014396667,0.72664446
oilseedfor,0.0,0.0
oilseednes,0.902235209941864,1.4004562
okra,6542.07421875,12044.385
onion,2433.961181640625,3942.9407
orange,3282.333984375,6236.537
papaya,374.7115478515625,681.5803
pea,382.24359130859375,574.87695
pepper,0.8389865756034851,0.99326336
pimento,2918.04443359375,4729.1313
pineapple,40.41383361816406,43.38138
plantain,45.18727111816406,53.558643
popcorn,0.0,0.0
potato,2627.19970703125,9727.6455
pulsenes,573.3827514648438,866.83276
rice,360993.46875,879072.7
rootnes,0.5583862066268921,0.9576067
rubber,55.96954345703125,74.19629
sesame,13631.2099609375,40199.555
sisal,2.0933597087860107,2.1852403
sorghumfor,0.0,0.0
sorghum,593021.125,1802299.9
soybean,5079.0400390625,21880.402
spicenes,7.649674415588379,13.554626
sugarbeet,184.43844604492188,532.91235
sugarcane,1187.7713623046875,4805.6343
sweetpotato,10253.369140625,39287.727
tangetc,224.12925720214844,776.728
taro,104.02915954589844,169.82915
tea,32.37034225463867,88.79057
tobacco,158.68862915039062,437.7969
tomato,7158.8525390625,11629.0
tropicalnes,16.716333389282227,19.87873
turnipfor,0.0,0.0
vegetablenes,23725.41796875,39236.68
vegfor,25227.962890625,60797.227
wheat,5616.3818359375,6908.753
yam,2831.568359375,5446.0107
