Crop,clipped_PA_surf,total_surf
almond,730.8843994140625,7843.5967
aniseetc,16.720027923583984,132.08424
apple,8810.568359375,58683.137
apricot,1590.884521484375,14449.163
banana,11547.8583984375,32510.22
barley,15957.994140625,48677.74
bean,78226.6171875,225612.2
beetfor,0.0,0.0
berrynes,51.395259857177734,227.72813
cabbagefor,0.0,0.0
cabbage,1401.5745849609375,5490.265
carrotfor,0.0,0.0
carrot,4341.44970703125,16955.15
cassava,0.0,8.275564
castor,462.0585021972656,3005.2615
cauliflower,2546.51708984375,10108.353
cherry,236.3002166748047,941.53156
chickpea,440189.96875,934833.1
chilleetc,7483.31103515625,34479.504
citrusnes,0.33314260840415955,3.196169
coconut,297.19976806640625,1409.7798
cotton,365299.53125,2084229.1
cucumberetc,563.1661376953125,2181.4565
date,23759.814453125,100069.37
eggplant,1761.0634765625,7038.4326
fig,10.832520484924316,64.41312
fornes,391.5936279296875,2727.5981
fruitnes,40717.1875,155817.6
garlic,1286.236572265625,9108.098
grapefruitetc,0.24950066208839417,2.4604886
grape,1638.94921875,14428.588
greenbean,473.8614196777344,1882.8031
greenpea,7459.2646484375,28598.764
groundnut,56431.58203125,132501.62
jutelikefiber,656.6634521484375,2615.6736
legumenes,0.0,0.0
lemonlime,2957.287353515625,11539.694
lentil,2191.87646484375,9877.101
lettuce,21.050878524780273,101.82265
linseed,579.768798828125,2362.6125
maizefor,0.0,0.0
maize,337758.375,1254616.9
mango,36803.72265625,199801.02
melonetc,536.489501953125,2420.0176
millet,112101.1328125,322370.22
nutmeg,5.412075519561768,42.61888
nutnes,1060.048583984375,4158.977
okra,6369.92138671875,24682.182
olive,6.863130569458008,17.060684
onion,26757.49609375,138850.88
orange,33933.8515625,133433.22
papaya,404.6181335449219,1615.1969
peachetc,925.2188110351562,11196.996
pear,69.20142364501953,1171.4698
pea,7423.90625,33482.598
pigeonpea,0.042510949075222015,5.0402174
pimento,17046.759765625,67862.9
pistachio,29.274154663085938,142.98085
plum,341.8844909667969,5055.628
popcorn,0.0,0.0
potato,7322.17919921875,174296.9
pulsenes,5531.84423828125,24546.771
pumpkinetc,6773.9990234375,26762.451
rapeseed,59661.2109375,375108.56
rice,498610.34375,3117033.0
rootnes,5488.4541015625,21882.693
safflower,72.14078521728516,294.88605
sesame,26701.345703125,159568.08
sorghumfor,0.0,0.0
sorghum,43511.375,127794.64
soybean,8.257179260253906,105.29816
spicenes,4198.27392578125,16681.195
spinach,1599.1204833984375,6367.1562
sugarbeet,226.72052001953125,478.41705
sugarcane,274664.75,1052302.1
sunflower,25058.578125,96955.52
sweetpotato,622.2756958007812,1750.1411
tangetc,12749.130859375,50496.617
tea,26.249187469482422,205.1066
tobacco,25215.51953125,50235.438
tomato,11935.6572265625,55415.617
tropicalnes,16582.140625,65572.41
turnipfor,0.0,0.0
vegetablenes,16673.423828125,66372.33
vegfor,14595.6884765625,65829.375
walnut,413.9468994140625,1650.2177
watermelon,9437.306640625,36951.57
wheat,2042462.375,8549477.0
yam,3662.91748046875,14167.352
