Crop,clipped_PA_surf,total_surf
alfalfa,204.54507446289062,295.62863
almond,12920.0166015625,52980.36
aniseetc,1.0736608505249023,1.5889373
apple,3361.359619140625,14856.802
apricot,134.55120849609375,549.95465
artichoke,12.714881896972656,18.304104
asparagus,114.21987915039062,156.7244
avocado,2214.39013671875,9618.296
banana,313.14501953125,1142.9966
barley,5207.2626953125,20182.527
bean,841.83935546875,3500.8906
beetfor,3.017854690551758,4.3233657
berrynes,91.38419342041016,124.524765
broadbean,1218.3306884765625,3568.0225
cabbagefor,5.314148902893066,7.7136316
cabbage,1750.482666015625,7716.037
carob,1983.8341064453125,8681.853
carrotfor,0.028786342591047287,0.05488513
carrot,628.6597900390625,2749.7065
cauliflower,1098.85009765625,4845.504
cherry,1430.81787109375,6362.1006
chestnut,12195.8125,51487.992
chickpea,261.9925842285156,1117.236
chilleetc,278.71539306640625,1162.2795
citrusnes,0.7036966681480408,1.01314
clover,1.6354488134384155,2.362247
cotton,9.75206470489502,17.410019
cucumberetc,57.13223648071289,235.21625
date,0.3557218611240387,0.5040839
eggplant,25.04261589050293,101.52496
fig,1538.3338623046875,5160.591
flax,35.41297912597656,45.156105
fornes,12060.71484375,47664.09
fruitnes,369.54278564453125,1619.9854
garlic,164.97421264648438,659.4431
grapefruitetc,28.257823944091797,58.193573
grape,36306.5234375,155130.84
grassnes,276.568603515625,401.29956
greenbean,158.26541137695312,683.4537
greenbroadbean,643.400634765625,2849.799
greenonion,32.20294189453125,140.76625
greenpea,513.9818725585938,2263.0527
groundnut,3.8219783306121826,14.134112
hazelnut,86.61911010742188,352.7337
hemp,1.8092042207717896,2.4759903
hop,2.578021764755249,11.118097
kiwi,718.4933471679688,3241.3025
legumenes,85.83767700195312,124.06023
lemonlime,398.52777099609375,1658.8715
lentil,25.25695037841797,39.223564
lettuce,617.8350830078125,2638.2527
linseed,2.908660650253296,3.9679995
lupin,1625.2825927734375,5468.0034
maizefor,10796.1181640625,43546.5
maize,11752.876953125,72900.766
melonetc,507.92840576171875,2238.9023
millet,0.24440646171569824,0.4019354
mixedgrain,36.113800048828125,52.32811
mixedgrass,11606.7490234375,46088.32
mushroom,30.01837730407715,39.384407
nutnes,22154.232421875,95877.4
oats,21050.15625,42318.242
olive,85590.921875,347791.75
onion,517.578125,2163.3042
orange,4122.90478515625,17828.986
peachetc,996.60595703125,4154.238
pear,2551.097900390625,11475.639
pea,157.2123260498047,164.115
pimento,2.6204285621643066,3.755877
pineapple,33.02165603637695,149.57962
plum,426.69903564453125,1875.1399
popcorn,0.0,0.0
potato,4395.14892578125,18538.186
pulsenes,4348.19287109375,14749.32
pumpkinetc,1138.2987060546875,5136.948
quince,42.10990905761719,188.15149
rapeseed,222.09396362304688,1054.2329
rasberry,584.79638671875,800.56635
rice,6219.306640625,26733.16
rootnes,1035.36083984375,3057.608
ryefor,35.095802307128906,50.72272
rye,4694.6328125,12092.283
sorghumfor,3517.306884765625,15666.014
sorghum,4.266849517822266,6.184754
sourcherry,85.85164642333984,203.0675
soybean,5.401067733764648,15.113031
spicenes,1.818668246269226,2.6127381
spinach,228.98793029785156,1001.1433
stonefruitnes,200.20361328125,426.5304
strawberry,198.15475463867188,859.2817
sugarbeet,44.42466354370117,134.65106
sugarcane,20.181697845458984,59.46803
sunflower,2089.7802734375,7429.0156
sweetpotato,636.9896240234375,2896.4443
tangetc,700.279052734375,2832.1516
tea,5.011131286621094,24.880194
tobacco,112.8586196899414,379.13715
tomato,3464.09521484375,15329.395
triticale,5499.33203125,10421.697
tropicalnes,1826.79345703125,2493.0696
turnipfor,7.815160751342773,11.282734
vegetablenes,6225.0537109375,27213.354
vegfor,149.8399658203125,622.2043
vetch,159.58738708496094,230.65106
walnut,1218.0289306640625,5313.0
watermelon,162.2601776123047,670.4211
wheat,9804.16015625,33963.418
yam,32.71263122558594,57.248386
