Crop,clipped_PA_surf,total_surf
agave,996.3431396484375,4106.4146
aniseetc,0.3410155177116394,3.392122
apple,708.8832397460938,3046.1362
avocado,361.1918640136719,1794.979
banana,486.9847106933594,1821.7244
barley,0.08643139153718948,0.5018867
bean,44272.828125,115348.3
beetfor,0.21592870354652405,1.1201267
broadbean,8.591084480285645,88.74707
cabbagefor,0.0,0.0
cabbage,25.185462951660156,111.321365
carrotfor,0.0,0.0
carrot,1.4871641397476196,14.755964
cashew,413.9381103515625,1775.5164
cassava,339.39923095703125,1264.2427
cauliflower,2.154599666595459,23.406202
chilleetc,66.50911712646484,291.69757
citrusnes,1.750914216041565,37.925255
cocoa,206.1143341064453,906.49207
coconut,417.50689697265625,2758.6487
coffee,62138.75,152674.11
cotton,11.582633972167969,87.32374
cucumberetc,68.09135437011719,294.53397
eggplant,1.0191656351089478,5.6127415
fruitnes,432.7779541015625,1850.2458
garlic,0.6857956051826477,10.038608
grapefruitetc,3.191289186477661,16.471699
grape,0.936324954032898,9.086979
greenbroadbean,0.3193221688270569,2.7426057
groundnut,0.023232635110616684,15.233504
jutelikefiber,1012.6871337890625,4197.0234
legumenes,0.0,0.0
lemonlime,357.1230163574219,1562.9316
lettuce,1.067439079284668,11.531488
maizefor,0.0,0.0
maize,75745.421875,257979.6
mango,944.0722045898438,3928.0522
melonetc,39.659507751464844,400.38602
nutmeg,24.530193328857422,357.4488
nutnes,1.9829175472259521,20.858799
oilpalm,0.0,2.4033046
okra,0.292866587638855,3.3994017
olive,1371.63818359375,5637.843
onion,40.66211700439453,187.88513
orange,424.51031494140625,1886.6531
papaya,18.720487594604492,110.1627
pepper,2.2524328231811523,13.972507
pineapple,23.432390213012695,149.1629
plantain,566.9033203125,1940.0688
popcorn,0.0,0.0
potato,219.95077514648438,282.63943
pulsenes,1.3763065338134766,12.751827
pumpkinetc,205.2411651611328,866.04584
rice,1328.508056640625,3932.208
rootnes,1.2030274868011475,6.705367
rubber,21.20269012451172,470.93033
sesame,596.2576293945312,2680.266
sorghumfor,0.0,0.0
sorghum,18000.701171875,58195.71
soybean,840.33251953125,2930.4
spicenes,0.21646879613399506,2.0322335
strawberry,0.1685839742422104,2.3560483
sugarbeet,0.0,0.0
sugarcane,20303.537109375,74393.04
sweetpotato,29.349679946899414,141.87779
tangetc,121.91639709472656,501.71988
tea,135.84112548828125,367.38852
tobacco,274.3756103515625,987.8462
tomato,133.0313720703125,582.65125
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,361.543212890625,1543.788
vegfor,530.4615478515625,1870.8413
watermelon,428.5940246582031,1790.8872
wheat,22.252649307250977,24.919226
yam,1851.61865234375,5864.6196
yautia,1144.29833984375,4700.3965
