Crop,clipped_PA_surf,total_surf
alfalfa,5.636212348937988,5.6362123
almond,62086.39453125,132378.39
aniseetc,6633.3125,13474.889
apple,11628.466796875,24074.463
apricot,2818.976806640625,6834.402
artichoke,1908.4224853515625,3836.3945
avocado,12.236007690429688,25.115223
barley,178547.671875,513673.16
bean,67.29338073730469,123.51264
beetfor,0.20358425378799438,0.20358425
berrynes,9.812154769897461,20.324467
broadbean,23003.689453125,40478.887
cabbagefor,0.0,0.0
cabbage,1095.52880859375,2182.054
carob,193.02220153808594,392.6615
carrotfor,0.0,0.0
carrot,5257.8095703125,10560.198
cauliflower,392.4959716796875,772.4234
cerealnes,7297.4951171875,14638.739
cherry,232.271240234375,232.27124
chickpea,3478.40283203125,6462.4443
chilleetc,7811.5263671875,16796.44
citrusnes,5825.705078125,11652.546
clover,3.9040422439575195,3.9040422
cotton,487.5388488769531,2830.2222
cranberry,8.932894706726074,20.71205
cucumberetc,1328.249267578125,2651.7957
date,3529.1435546875,3782.1638
eggplant,19.825923919677734,30.979134
fig,6163.78955078125,12025.702
fornes,346.848388671875,346.8484
fruitnes,7460.0341796875,15049.835
garlic,1096.7169189453125,2216.9504
grapefruitetc,2089.397216796875,4220.8027
grape,10205.4853515625,18061.348
greenbean,148.71218872070312,296.51984
greenbroadbean,3379.06640625,6871.925
greenonion,4567.28955078125,9192.057
greenpea,5151.36572265625,10122.621
groundnut,3.5403709411621094,9.427642
legumenes,0.0,0.0
lemonlime,1556.9801025390625,3097.7275
lentil,1024.667236328125,1898.4777
lettuce,1418.998046875,2793.4368
linseed,499.2162170410156,1034.1165
maizefor,5.000704765319824,5.000705
maize,0.0,0.0
melonetc,3875.983154296875,8989.451
mixedgrass,13736.265625,27528.36
oats,2365.603271484375,4886.5415
olive,993484.5,2285994.8
onion,2927.999755859375,5986.8823
orange,8644.74609375,17102.873
peachetc,6951.103515625,13594.153
pear,2287.285888671875,4853.9707
pea,2528.255615234375,5146.2446
pimento,1187.9810791015625,2421.334
pistachio,10627.25,22242.023
plum,1700.3851318359375,3456.0203
popcorn,0.0,0.0
potato,7979.07080078125,25207.691
pulsenes,14009.5908203125,28501.713
pumpkinetc,1545.1558837890625,3154.553
quince,189.03073120117188,382.4548
rapeseed,1170.764404296875,5019.874
rice,0.6397599577903748,0.74950176
ryefor,89.58963012695312,89.58963
rye,0.0,0.0
sorghumfor,0.0,0.0
sorghum,841.0037841796875,2347.4895
spicenes,1480.8709716796875,2987.5388
spinach,308.58892822265625,635.08386
stonefruitnes,281.2821960449219,566.7322
strawberry,186.6700439453125,379.44168
sugarbeet,753.101806640625,1535.4913
sunflower,2934.80908203125,7193.4883
tangetc,4225.68359375,8450.991
tobacco,372.14373779296875,1195.5447
tomato,11993.9853515625,21535.115
triticale,4099.09375,8130.813
tropicalnes,5554.77294921875,11266.153
turnipfor,0.0,0.0
vegetablenes,2653.161376953125,5378.893
vegfor,3007.60693359375,8395.49
vetch,25.788787841796875,25.788788
watermelon,2703.1005859375,5660.2847
wheat,245158.5625,594522.75
