Crop,clipped_PA_surf,total_surf
alfalfa,1.3127267360687256,2.49044
aniseetc,0.011168790981173515,0.062703505
apple,651.116943359375,2363.2678
apricot,0.0,0.0137350755
artichoke,0.014404354616999626,0.0925972
banana,0.9431872963905334,3.536882
barley,30789.658203125,136538.73
bean,1162.4564208984375,5127.534
broadbean,93.33911895751953,339.62125
buckwheat,1.3342058658599854,3.593655
cabbagefor,0.0,0.0
cabbage,102.6416015625,372.8754
canaryseed,979.1253662109375,3554.343
carrotfor,0.0,0.0
carrot,305.9765625,1114.7517
cashewapple,17.705720901489258,47.33052
cassava,12.887723922729492,188.75952
cerealnes,0.20118065178394318,0.61230695
chilleetc,67.14494323730469,244.62917
clover,1.3475431203842163,4.1924243
cotton,52.725318908691406,135.24278
fibrenes,0.0,0.0
fig,0.0,0.0
flax,0.0,0.014723714
fruitnes,172.04832458496094,623.9373
garlic,49.81592559814453,182.62231
grapefruitetc,23.32276153564453,86.56112
grape,1737.024658203125,6285.603
grassnes,40.48341369628906,87.99054
greenbean,94.67158508300781,344.14764
greencorn,55.845977783203125,204.51169
greenpea,0.10127235949039459,0.3417036
groundnut,723.7732543945312,3389.093
legumenes,0.0,0.0
lemonlime,837.000732421875,3035.5398
lentil,0.013383889570832253,0.07526015
linseed,1098.593017578125,3986.5303
maizefor,2.2285475730895996,4.559788
maize,21843.11328125,98196.01
melonetc,36.234840393066406,135.0549
millet,0.2923739552497864,0.9008632
nutnes,0.015470994636416435,0.04664182
oats,4584.06298828125,21987.332
olive,139.48704528808594,609.6612
onion,407.8739013671875,1485.4133
orange,1791.4298095703125,6424.7764
peachetc,362.40130615234375,1313.568
pear,190.51771545410156,691.8355
pea,347.7022705078125,1260.4049
pimento,0.0,0.01610055
plum,71.68277740478516,261.08173
popcorn,0.0,0.0
potato,818.412841796875,3836.8792
pumpkinetc,645.4586181640625,2343.3423
quince,60.37819290161133,220.60303
rapeseed,8616.2412109375,55115.836
rice,38649.5546875,106789.555
ryefor,0.0,0.0
rye,0.7175071239471436,2.2480054
sesame,0.6252151727676392,1.7162218
sorghumfor,4.142356872558594,8.712826
sorghum,4830.90185546875,23748.936
soybean,188045.203125,917794.25
spicenes,0.0,0.0
strawberry,0.0,0.0
stringbean,0.01665950007736683,0.10715939
sugarcane,1650.7513427734375,6530.469
sunflower,3275.600341796875,15478.568
sweetpotato,1902.0858154296875,8177.155
tangetc,1544.809326171875,5455.962
tobacco,221.56924438476562,812.49976
tomato,146.6594696044922,466.25528
tropicalnes,0.0,0.0
tung,0.2886841297149658,0.88942635
turnipfor,0.0,0.0
vegetablenes,586.7181396484375,2131.5015
vegfor,757.9252319335938,2242.408
walnut,0.01157862227410078,0.06502671
watermelon,183.23594665527344,656.806
wheat,37340.65625,194376.42
yam,1.6739087104797363,4.096448
