Crop,clipped_PA_surf,total_surf
alfalfa,9.850386619567871,19.139751
aniseetc,30.80540657043457,115.77427
apple,196.85543823242188,741.27356
apricot,3.776109218597412,7.6639876
artichoke,7.20066499710083,11.40208
asparagus,18.89939308166504,63.742332
avocado,141.69711303710938,461.8515
banana,16502.48828125,22685.37
barley,1376.1025390625,10024.236
bean,3612.71728515625,22450.186
berrynes,0.0,0.0
buckwheat,0.2894766330718994,0.60865796
cabbagefor,0.0,0.0
cabbage,6.625245571136475,12.399423
carrotfor,0.0,0.0
carrot,1.2498729228973389,3.3815877
cashew,70.34051513671875,117.134705
cassava,17834.3671875,53260.918
castor,3.658891201019287,7.033827
cerealnes,361.37847900390625,1030.2726
cherry,0.012567364610731602,0.062453598
chickpea,39.4218635559082,236.75638
chicory,1.2500633001327515,2.5483055
citrusnes,25.368221282958984,87.84507
coconut,0.12181972712278366,0.43314716
coffee,1236.787109375,2081.8457
cotton,11894.53125,108814.91
cowpea,441.63555908203125,855.73224
cucumberetc,25.999235153198242,77.78309
fibrenes,0.7635073661804199,1.5812181
fig,0.1287703961133957,0.34808207
fruitnes,144.67831420898438,464.8558
grapefruitetc,237.3219757080078,884.1123
grape,104.45691680908203,387.03055
greenbean,118.30984497070312,241.92531
greencorn,444.7771301269531,1650.4211
greenpea,64.38644409179688,131.5397
groundnut,22279.259765625,153873.88
hop,0.06223205104470253,0.18742609
jutelikefiber,8.686149597167969,14.499995
jute,1094.0264892578125,4100.4614
legumenes,0.0,0.0
lemonlime,683.2352294921875,2554.175
lettuce,5.939453601837158,11.409771
lupin,4.4491448402404785,9.088709
maizefor,0.0,0.0
maize,166873.984375,1016413.4
mango,175.78573608398438,585.637
melonetc,4.979963302612305,9.536621
millet,36853.578125,145407.89
mixedgrass,155.6313934326172,219.1164
nutnes,803.3780517578125,3013.7246
oats,67.60586547851562,242.53613
oilseedfor,0.0,0.0
oilseednes,5997.47802734375,22054.406
onion,53.26776885986328,178.18716
orange,3502.5654296875,13045.324
papaya,2.6769309043884277,4.610303
peachetc,47.27445602416992,169.09872
pear,27.634300231933594,101.157745
pea,0.14864236116409302,0.3819129
pepper,376.8066711425781,1415.0305
pimento,2616.861572265625,9797.817
pineapple,3.601162910461426,6.6561947
plum,19.380340576171875,55.57277
popcorn,0.0,0.0
potato,554.6575317382812,2395.4116
pulsenes,1411.9482421875,4563.867
pumpkinetc,5.642863750457764,11.420201
rasberry,13.152862548828125,39.782055
rice,426.62994384765625,3028.6912
rootnes,25.294851303100586,69.9478
ryefor,0.0,0.0
rye,7.167479991912842,14.652891
sesame,8.936043739318848,14.750002
sisal,4.814545631408691,8.31665
sorghumfor,0.0,0.0
sorghum,42429.74609375,216436.3
soybean,2138.1474609375,33037.63
spicenes,150.11148071289062,563.5809
stonefruitnes,0.0,5.8152547
strawberry,13.526420593261719,40.435997
sugarcane,4009.224365234375,46513.863
sunflower,3453.08349609375,23805.166
sweetpotato,1555.2423095703125,6842.3267
tangetc,439.32366943359375,1647.5841
tea,1575.8798828125,2679.155
tobacco,10802.52734375,103943.81
tomato,852.58935546875,3128.9785
tropicalnes,45.698089599609375,137.68848
turnipfor,0.0,0.0
vanilla,7.55026388168335,18.865503
vegetablenes,4626.10205078125,17213.371
vegfor,5396.8623046875,25211.416
watermelon,1.3306124210357666,2.7136118
wheat,7347.990234375,71846.69
yam,1.8288545608520508,72.45836
