Crop,clipped_PA_surf,total_surf
avocado,1.5739595890045166,20.884436
bambara,7.970638751983643,148.20042
banana,59972.109375,157054.03
barley,0.011865323409438133,0.0714999
bean,272282.25,911698.1
cabbagefor,0.0,0.0
cabbage,3163.190673828125,63466.88
cashew,665.2477416992188,2664.1892
cassava,225326.484375,959870.5
castor,4013.82275390625,16066.055
citrusnes,9120.4462890625,36374.348
cocoa,370.38311767578125,2969.4841
coconut,0.6186047196388245,0.664919
coffee,10637.3505859375,48985.484
cotton,1058.24169921875,2913.6013
cowpea,54.94980239868164,384.74005
date,0.060122713446617126,0.15745504
fruitnes,2050.6240234375,8230.446
grapefruitetc,0.13538900017738342,1.045326
grape,1.7947778701782227,2.839071
greenonion,3207.05712890625,12851.581
groundnut,99557.4609375,364803.7
jutelikefiber,189.3701171875,768.51843
legumenes,0.0,0.0
lemonlime,0.17205166816711426,0.75171167
lettuce,0.0,0.48111704
maizefor,0.0,0.0
maize,509893.71875,1836779.4
mango,3.8936238288879395,42.143112
melonseed,19.67086410522461,268.64908
millet,91308.671875,252545.0
oilpalm,646.4173583984375,25459.453
onion,1.518585205078125,26.751154
orange,1.8839993476867676,29.397818
papaya,1.809370756149292,32.45069
pea,4.017322063446045,10.756154
pigeonpea,0.04652327299118042,0.09288676
pimento,1.0845531225204468,19.831707
pineapple,10008.8193359375,39930.19
plantain,461.7483215332031,1822.4036
popcorn,0.0,0.0
potato,22497.576171875,71570.84
pulsenes,22.759979248046875,206.24672
pumpkinetc,0.34562498331069946,6.8436265
rice,2557.48046875,12513.2
rootnes,45.6622428894043,245.76503
rubber,7.891497611999512,115.752365
sesame,2907.168212890625,11643.41
sisal,132.5117645263672,524.5835
sorghumfor,0.0,0.0
sorghum,87486.15625,286672.4
soybean,13472.46875,39080.105
spicenes,0.1435183733701706,0.8170194
sugarcane,4840.33056640625,19401.408
sunflower,4092.0615234375,17595.812
sweetpotato,60868.0859375,185294.6
tangetc,0.25489604473114014,0.27790555
taro,4.536196708679199,58.114494
tea,1.171659231185913,11.584359
tobacco,664.4883422851562,2852.006
tomato,1505.0087890625,6033.1157
tropicalnes,0.8132565021514893,5.1773314
vegetablenes,6343.6689453125,25579.21
vegfor,19417.498046875,62455.87
watermelon,0.05641192942857742,0.118156105
wheat,1404.05517578125,3303.187
yam,46.3746223449707,167.25665
