Crop,clipped_PA_surf,total_surf
alfalfa,70325.296875,424547.78
almond,50.84422302246094,358.90912
aniseetc,1325.779296875,7355.7876
apple,3372.35546875,22064.156
apricot,407.68408203125,2343.5764
artichoke,719.5103759765625,4078.873
asparagus,893.9467163085938,2524.903
avocado,93.67060852050781,582.10156
banana,4061.071044921875,8728.612
barley,270052.46875,1063271.1
bean,210083.03125,480121.8
beetfor,0.0,0.0
broadbean,330.6201171875,1911.4941
buckwheat,8.68603515625,24.503616
cabbagefor,0.029921315610408783,0.041803606
cabbage,0.33348163962364197,0.75019234
canaryseed,2568.6044921875,13131.95
carrotfor,0.0,0.0
carrot,2319.772216796875,9102.566
cashewapple,89.88838195800781,253.99518
cassava,7765.32373046875,20936.627
castor,3.0817484855651855,14.822626
cauliflower,0.05765186995267868,0.09086314
cerealnes,4809.37109375,26603.799
cherry,452.017333984375,2142.0276
chestnut,2.7155611515045166,8.743881
chickpea,21767.263671875,105315.95
chilleetc,1163.5802001953125,6536.552
clover,20625.7109375,115201.2
cocoa,0.07094596326351166,0.35148847
coffee,4.580194473266602,43.995804
cotton,59981.7578125,415023.6
cucumberetc,0.012097125872969627,0.02596862
fibrenes,257.0184020996094,1505.6394
fig,35.46739196777344,259.58664
flax,485.02093505859375,2768.4055
fornes,281.7256164550781,761.696
fruitnes,1.7272555828094482,7.6739635
garlic,5259.91064453125,14788.171
grapefruitetc,1422.1517333984375,4289.9463
grape,69657.609375,198076.69
grassnes,140298.34375,659983.6
greenbean,211.38644409179688,1282.6881
greenbroadbean,2.062776803970337,5.5046473
greencorn,2.4059786796569824,5.8051586
greenonion,0.5567805767059326,3.0092022
greenpea,2538.78759765625,14124.577
groundnut,56901.1015625,342299.6
hempseed,0.2791827321052551,0.39274502
hemp,1.1761515140533447,1.9104759
hop,50.67287063598633,359.92526
jutelikefiber,2.982870101928711,5.010327
kiwi,0.36542004346847534,0.831895
legumenes,0.0,0.0
lemonlime,15484.4990234375,51784.3
lentil,2036.9520263671875,25984.256
lettuce,0.5184550285339355,1.0223991
linseed,1523.287841796875,9411.3125
lupin,43.88106155395508,84.992256
maizefor,55267.62890625,345020.1
maize,1370427.75,7809243.0
mango,107.4380111694336,294.1741
mate,74117.921875,162354.7
melonetc,1904.347412109375,5172.5703
millet,421.56951904296875,3580.4275
mixedgrass,76.04483032226562,132.493
nutnes,0.6042258143424988,1.7450399
oats,34464.9609375,290705.2
oilpalm,1.870501160621643,5.881774
olive,28357.142578125,128002.96
onion,9489.7373046875,24939.148
orange,11747.5078125,43990.0
papaya,64.55426025390625,198.96947
peachetc,2556.692138671875,13650.065
pear,4735.18603515625,24612.137
pea,12157.4716796875,67016.734
persimmon,0.2591506540775299,0.61131036
pimento,489.9919128417969,2796.5132
pineapple,82.12368774414062,233.82108
plantain,2.7310352325439453,17.847256
plum,4668.71240234375,18360.838
popcorn,0.0,0.0
potato,24040.609375,74912.234
pumpkinetc,3235.12255859375,18094.729
quince,967.7704467773438,3304.5676
quinoa,5.300900936126709,16.741877
rapeseed,3740.359375,18089.02
rice,70463.4296875,190174.23
rootnes,1.2088948488235474,4.156271
ryefor,0.0,0.0
rye,19052.974609375,104893.97
safflower,11640.1015625,22847.303
sesame,49.15913391113281,233.113
sorghumfor,72449.5234375,381662.56
sorghum,83315.59375,406352.97
soybean,2713384.5,16426993.0
spicenes,323.2150573730469,1767.8206
strawberry,184.41200256347656,1106.9885
stringbean,1135.1226806640625,6357.1807
sugarbeet,14.67580795288086,31.39817
sugarcane,152788.984375,450350.66
sunflower,271004.875,1528087.4
sweetpotato,6994.93115234375,22991.785
tangetc,8923.5390625,29649.156
tea,7112.67236328125,33370.17
tobacco,21818.525390625,53823.87
tomato,5092.1845703125,16602.332
tropicalnes,1.4462943077087402,8.670305
tung,414.0804138183594,2713.5237
turnipfor,0.0,0.0
vegetablenes,11774.310546875,39077.816
vegfor,14928.40234375,64762.086
walnut,2745.694091796875,15006.073
watermelon,2220.625,9194.691
wheat,1155629.0,6487828.5
yam,1.3307874202728271,6.493887
