Crop,clipped_PA_surf,total_surf
almond,3.477555751800537,4.765264
bambara,225.3879852294922,229.59312
banana,857.641357421875,4201.8
bean,22608.421875,149669.47
cabbagefor,0.0,0.0
cabbage,7.178859710693359,8.669661
carrotfor,0.0,0.0
carrot,4.261727333068848,24.913939
cashew,109985.296875,461266.8
cassava,98834.28125,362279.0
castor,266.8477783203125,952.05664
cerealnes,7.620608329772949,65.21176
chickpea,4.993433475494385,29.854836
chilleetc,9682.92578125,39932.9
citrusnes,180.3878173828125,861.607
cocoa,272.20166015625,2179.3828
coconut,2979.142333984375,16682.55
coffee,80.89794158935547,571.8981
cotton,111705.0859375,618153.94
cowpea,2036.662109375,6410.577
date,156.23777770996094,557.55164
fonio,2693.546630859375,11629.547
fruitnes,9068.015625,36139.934
garlic,0.5273840427398682,0.6188755
ginger,12.616512298583984,94.943954
greenbean,4.435788631439209,5.3258457
greenbroadbean,0.6237237453460693,0.6912617
greencorn,25.527633666992188,181.04991
greenonion,2.7771339416503906,13.317829
groundnut,34961.71484375,180997.02
jutelikefiber,0.06217746436595917,0.5454588
karite,2476.948974609375,8717.533
kolanut,625.2599487304688,2334.0918
legumenes,0.0,0.0
lettuce,3.9519147872924805,4.5918083
maizefor,0.0,0.0
maize,259511.3125,1293779.8
mango,1764.31640625,4503.1133
melonseed,115.89079284667969,734.9423
millet,9164.5625,30727.041
nutnes,1466.5447998046875,5240.8267
oilpalm,14231.4755859375,40116.37
oilseedfor,0.0,0.0
oilseednes,4993.28125,5785.07
okra,3831.84765625,17365.48
onion,3125.931396484375,6288.463
orange,1653.215087890625,6078.546
papaya,19.00011444091797,82.446365
pea,1.1126006841659546,1.2617726
pepper,173.92015075683594,623.43475
pimento,3149.0185546875,12256.551
pineapple,1815.0977783203125,6753.024
plantain,2.5466814041137695,23.233198
popcorn,0.0,0.0
potato,2.9852311611175537,76.826904
pulsenes,9738.453125,38490.805
rice,17014.95703125,112533.25
rootnes,0.8210453987121582,8.409181
rubber,350.7854309082031,1727.3079
sesame,3752.245361328125,13794.47
sorghumfor,0.0,0.0
sorghum,27779.89453125,142934.73
soybean,29113.72265625,203146.62
spicenes,5.800516605377197,12.787561
sugarcane,635.3394165039062,907.18445
sweetpotato,4789.3310546875,10368.072
taro,382.6294860839844,1768.9421
tobacco,14.185577392578125,54.926468
tomato,17711.578125,77002.31
tropicalnes,1.1736284494400024,1.621192
turnipfor,0.0,0.0
vegetablenes,3307.16552734375,13210.235
vegfor,8092.724609375,27969.244
wheat,0.0,0.83667904
yam,21152.42578125,239519.22
