Crop,clipped_PA_surf,total_surf
alfalfa,26975.6015625,64761.33
almond,5678.5146484375,8931.746
aniseetc,0.0,0.0
apple,10751.0029296875,31386.88
apricot,447.2930603027344,604.5213
artichoke,945.9930419921875,1371.767
asparagus,653.1853637695312,2001.7148
avocado,18912.23828125,27601.418
banana,8.275463104248047,8.275463
barley,9975.734375,28738.844
bean,2402.458984375,7467.0815
beetfor,0.0,0.0
brazil,0.21748358011245728,1.1777045
broadbean,2.665592670440674,8.922815
cabbagefor,279.783935546875,681.5335
cabbage,1336.3365478515625,2366.4011
carrotfor,0.0,0.0
carrot,2469.044921875,3608.016
cassava,3.854170322418213,3.8541703
cauliflower,1298.69287109375,1812.3564
cerealnes,0.517770528793335,1.675894
cherry,15971.3671875,38152.8
chestnut,439.7796325683594,1173.8937
chickpea,105.52325439453125,269.44608
chilleetc,373.43035888671875,735.95667
citrusnes,0.07271894812583923,0.391254
clover,1235.042236328125,2989.4155
cocoa,16.14668083190918,16.14668
coconut,0.0,0.014743073
coffee,62.01253890991211,62.01254
cotton,0.26215049624443054,1.2099434
cucumberetc,919.8479614257812,1497.89
date,0.18577075004577637,0.19643444
fig,59.784481048583984,77.06042
flax,1101.5023193359375,2668.9202
fornes,3364.701416015625,8139.128
fruitnes,1128.6925048828125,2735.7231
garlic,1196.568115234375,1964.8037
grapefruitetc,177.3444061279297,246.4139
grape,81181.828125,178722.56
grassnes,19363.9296875,47338.004
greenbean,1673.806396484375,2598.4734
greenbroadbean,968.2400512695312,2338.0957
greencorn,5850.6083984375,10027.584
greenpea,824.1053466796875,1793.6243
groundnut,0.32292333245277405,0.32292333
hempseed,914.2645874023438,2218.9717
hemp,1839.7265625,4452.044
jutelikefiber,4062.95849609375,9829.126
kiwi,3020.210205078125,7546.6865
legumenes,0.0,0.0
lemonlime,5525.4501953125,7322.5103
lentil,485.764892578125,1126.3313
lettuce,4965.02685546875,7800.988
linseed,999.5968017578125,2425.0693
lupin,3405.65478515625,12832.354
maizefor,7961.537109375,19285.84
maize,28063.751953125,61751.15
mango,70.5879898071289,76.23864
melonetc,1637.302734375,3295.5708
millet,0.32649222016334534,0.5360106
mixedgrass,34967.21484375,82597.664
oats,33507.4765625,90364.45
oilpalm,0.032400038093328476,0.14861307
olive,9968.880859375,21434.492
onion,4528.90478515625,7981.1694
orange,4093.00537109375,6250.0645
papaya,93.42335510253906,136.91826
peachetc,6892.25830078125,14033.93
pear,2661.917724609375,7096.306
pea,615.4813232421875,1161.8722
pimento,579.3365478515625,882.1123
pineapple,0.8456735014915466,2.580567
plantain,21.881444931030273,23.522272
plum,8132.6982421875,16728.672
popcorn,0.0,0.0
potato,17718.939453125,44236.684
pulsenes,0.0,0.106324285
pumpkinetc,2143.439208984375,4013.3713
quince,165.56614685058594,319.6571
quinoa,5.634325981140137,13.68288
rapeseed,10206.6396484375,37890.637
rice,6280.72802734375,26180.209
rootnes,4.224421501159668,10.289912
ryefor,0.0,0.0
rye,203.53184509277344,523.7864
sorghumfor,0.0,0.0
sorghum,0.0,0.0
soybean,168.73092651367188,1961.1813
spinach,819.78759765625,1039.4207
strawberry,700.8365478515625,1136.506
stringbean,0.2231440395116806,1.2128744
sugarbeet,3601.12646484375,12053.309
sugarcane,1.2971163988113403,1.2971164
sunflower,1530.071044921875,3589.2307
sweetpotato,510.53814697265625,1349.4563
tangetc,4889.38232421875,8065.1846
tea,0.0,0.021022895
tobacco,786.9854125976562,2190.7466
tomato,4598.0771484375,11010.557
tropicalnes,0.5699156522750854,3.245921
tung,0.32237187027931213,0.5292548
turnipfor,0.0,0.0
vegetablenes,2434.3408203125,5893.555
vegfor,2566.43798828125,6583.239
walnut,19100.009765625,41156.39
watermelon,1140.9031982421875,2963.069
wheat,72942.6640625,208259.86
yautia,0.024207519367337227,0.1230718
