Crop,clipped_PA_surf,total_surf
abaca,18249.2109375,26978.7
agave,2062.60009765625,3066.8208
alfalfa,139.72482299804688,168.2566
aniseetc,53.63917922973633,86.21457
apple,967.3795776367188,1439.5804
apricot,44.052886962890625,70.50268
artichoke,1.643919825553894,2.0968032
asparagus,329.15618896484375,479.27432
avocado,3292.73193359375,4888.4717
banana,102444.9921875,175633.6
barley,8423.5361328125,11600.453
bean,11189.4326171875,18918.627
beetfor,0.0,0.0
berrynes,2326.245849609375,3464.6025
brazil,6.885129928588867,8.996495
broadbean,1475.356689453125,1888.3362
cabbagefor,0.0,0.0
cabbage,1317.661376953125,1952.6523
carrotfor,0.0,0.0
carrot,4281.94873046875,6371.8623
cashew,0.30960404872894287,0.37722218
cassava,10897.7685546875,15209.175
castor,1344.897705078125,2001.6536
cauliflower,8621.8798828125,12835.934
cerealnes,10.175386428833008,12.3458
chestnut,0.06001540645956993,0.060015406
chickpea,1.0992505550384521,1.1266563
chilleetc,1437.09521484375,2138.4473
citrusnes,7301.50439453125,9813.507
cocoa,263520.625,524958.2
coconut,1224.5277099609375,2112.7483
coffee,17085.36328125,30484.076
cotton,1908.7073974609375,3087.3857
cowpea,32.36109161376953,51.58798
cucumberetc,346.1006774902344,519.83154
fig,13.242483139038086,25.649872
fruitnes,13779.5703125,20318.143
garlic,544.4682006835938,809.4594
grapefruitetc,283.00909423828125,422.8261
grape,70.37950897216797,102.2352
greenbean,4674.72119140625,6929.201
greenbroadbean,3717.83935546875,5139.8384
greencorn,7525.462890625,10330.198
greenonion,6859.79150390625,10938.227
greenpea,4501.1796875,5512.379
groundnut,9807.3662109375,18911.082
legumenes,0.0,0.0
lemonlime,3692.8623046875,5776.1436
lentil,2926.006103515625,3582.1406
lettuce,1551.603271484375,2250.6653
linseed,108.45133209228516,166.27615
lupin,2389.33837890625,3555.3118
maizefor,0.0,0.0
maize,207771.59375,317319.5
mango,7538.11474609375,14873.61
melonetc,1115.157470703125,1660.3442
nutnes,0.5231503248214722,0.6358613
oats,890.4359130859375,1190.0446
oilpalm,89770.015625,188026.94
olive,15.724326133728027,20.124176
onion,26.923202514648438,30.933266
orange,7633.1123046875,14044.631
papaya,2487.921875,3700.4329
peachetc,948.8818359375,1411.7325
pear,1540.540283203125,2293.947
pea,1198.6298828125,1522.8267
pepper,1422.385009765625,2119.6213
pimento,2.34956693649292,2.821212
pineapple,1959.912841796875,3248.1653
plantain,64804.875,127078.78
plum,812.365478515625,1209.2739
popcorn,0.0,0.0
potato,18876.41796875,25484.049
pulsenes,1.4117027521133423,1.6494228
pumpkinetc,794.1113891601562,1180.6857
pyrethrum,185.85189819335938,279.512
quince,0.41183561086654663,0.49749672
quinoa,3674.42138671875,5243.266
rice,169895.96875,315180.3
rootnes,6341.73583984375,9384.912
rubber,9020.4765625,13152.599
ryefor,0.0,0.0
rye,82.0016098022461,125.68311
sesame,12.997845649719238,22.040375
sorghumfor,0.0,0.0
sorghum,5344.71923828125,8275.829
soybean,9802.6015625,19276.443
spicenes,772.9324340820312,1055.618
spinach,1.080985188484192,1.3224964
strawberry,63.05746078491211,97.92909
stringbean,9.165731430053711,11.225136
sugarbeet,432.8660888671875,725.9217
sugarcane,76478.6796875,136700.47
sunflower,89.57962036132812,130.15079
sweetpotato,1300.5557861328125,2253.7534
tangetc,4601.31884765625,6842.628
tea,478.2577209472656,628.1754
tobacco,3359.109130859375,6278.471
tomato,1850.3310546875,2665.1494
tropicalnes,4792.0771484375,6965.6426
turnipfor,0.0,0.0
vegetablenes,1488.22705078125,2214.636
vegfor,3102.769287109375,3930.8958
watermelon,3138.470703125,4670.626
wheat,5288.98095703125,6793.5083
yam,18271.01953125,29966.357
yautia,3.561675786972046,3.7111504
