Crop,clipped_PA_surf,total_surf
avocado,282.94189453125,377.3981
banana,5682.9638671875,7520.753
bean,85.35964965820312,113.180176
broadbean,148.32565307617188,197.84552
cabbagefor,0.0,0.0
cabbage,1511.167236328125,2023.3188
carrotfor,0.0,0.0
carrot,1262.697998046875,1689.4772
cassava,1100.356689453125,1450.9901
cauliflower,127.39344787597656,169.93948
chilleetc,935.3946533203125,1247.8142
cocoa,774.880859375,1007.9159
coconut,10586.6416015625,14513.304
coffee,7695.455078125,10089.688
cowpea,210.71701049804688,278.78333
cucumberetc,813.8328857421875,1088.577
eggplant,23.010211944580078,30.696335
fruitnes,0.0,0.0
ginger,194.9420928955078,260.04544
grapefruitetc,1315.95849609375,1753.2825
greencorn,38.719112396240234,51.958702
greenonion,468.7235107421875,627.6908
groundnut,1282.994873046875,1703.6442
legumenes,0.0,0.0
lemonlime,1217.6849365234375,1622.8584
lettuce,754.7159423828125,1006.8133
maizefor,0.0,0.0
maize,1359.3177490234375,1807.7019
mango,389.3958435058594,519.39844
onion,103.15962219238281,137.60593
orange,5357.20947265625,6921.0957
papaya,366.25543212890625,488.55457
pea,619.3419189453125,827.65137
pigeonpea,334.7417297363281,441.74707
pimento,1239.4112548828125,1653.8976
pineapple,1557.626708984375,2080.3306
plantain,1674.137939453125,2227.338
popcorn,0.0,0.0
potato,826.1497802734375,943.1555
pumpkinetc,2252.0634765625,3009.3154
rice,7.052206039428711,9.989586
rootnes,1059.9515380859375,1419.558
sisal,433.95086669921875,578.8417
spicenes,120.01397705078125,160.08154
spinach,721.0595703125,963.8764
stringbean,426.0841979980469,568.3668
sugarcane,8164.525390625,11540.609
sweetpotato,2151.2294921875,2852.5894
tangetc,829.4388427734375,1109.5259
tobacco,541.5958862304688,764.5147
tomato,1015.9067993164062,1360.0591
tropicalnes,1968.616943359375,2576.791
turnipfor,0.0,0.0
vegetablenes,938.202392578125,1255.9407
vegfor,1437.199951171875,1811.8684
watermelon,510.43939208984375,680.9464
yam,7173.375,9470.732
