Crop,clipped_PA_surf,total_surf
alfalfa,410.936279296875,720.6109
almond,3669.266357421875,6350.597
aniseetc,120.67019653320312,294.51733
apple,8859.33203125,14781.398
apricot,2501.983154296875,4307.512
artichoke,56.40193557739258,98.51214
asparagus,0.10954077541828156,0.109540775
avocado,775.9205932617188,1331.8379
banana,1341.243408203125,1931.0115
barley,9526.38671875,22977.426
bean,603.3097534179688,1111.2043
beetfor,0.0,0.0
berrynes,1.8286728858947754,1.9082425
broadbean,259.4804992675781,459.6839
cabbagefor,0.0,0.0
cabbage,953.8793334960938,1679.6494
carob,245.63818359375,425.9678
carrotfor,0.0,0.0
carrot,319.2109680175781,549.9795
cauliflower,502.09136962890625,877.53424
cerealnes,0.10728935897350311,0.10728936
cherry,3328.33837890625,5714.2256
chickpea,1453.7415771484375,3353.3452
chilleetc,381.4889831542969,662.5234
citrusnes,19.4504337310791,36.236416
clover,15.485236167907715,16.584896
cotton,21.15019416809082,47.264084
cowpea,0.01170481275767088,0.011704813
cucumberetc,2293.9794921875,4104.4565
date,4.651066780090332,5.9070816
eggplant,879.7142333984375,1545.7754
fig,530.40380859375,940.9175
fornes,2.650679349899292,5.1475034
fruitnes,3379.9775390625,5968.153
garlic,184.76779174804688,323.7467
grapefruitetc,691.768310546875,1154.5128
grape,4465.5146484375,7444.3076
grassnes,71.47708129882812,155.17932
greenbean,1360.7867431640625,2405.874
greenbroadbean,751.3868408203125,1326.7615
greencorn,2.3941104412078857,2.498265
greenonion,8.094549179077148,14.990747
greenpea,851.26904296875,1488.2847
groundnut,2131.074951171875,3370.972
kiwi,0.5047309398651123,0.52673644
legumenes,19.994966506958008,38.786095
lemonlime,2868.477294921875,5070.936
lentil,556.4080200195312,1214.7826
lettuce,549.6207885742188,962.34045
lupin,28.63356590270996,50.58775
maizefor,7.4020209312438965,14.357323
maize,598.1281127929688,1304.1799
mango,2.7122340202331543,2.8302205
melonetc,820.9876708984375,1437.5852
millet,0.027435343712568283,0.37127462
mixedgrass,105.37258911132812,114.09032
nutnes,174.67237854003906,306.66583
oats,80.89179229736328,141.83327
oilseedfor,0.0,0.0
oilseednes,6.23414945602417,6.505266
okra,300.6539611816406,523.8616
olive,38168.1484375,64696.89
onion,1197.29638671875,2254.1152
orange,3866.050048828125,6516.6157
peachetc,2019.36474609375,3598.9841
pear,1687.74462890625,3016.8965
pea,841.591552734375,1433.6077
persimmon,7.56144905090332,7.890276
pimento,0.05687451362609863,0.14886943
pineapple,0.16010305285453796,0.16010305
pistachio,90.80354309082031,199.86084
plum,1999.92724609375,3540.1482
popcorn,0.0,0.0
poppy,7.007097244262695,7.311821
potato,9785.4375,23085.078
pulsenes,217.91952514648438,370.4289
pumpkinetc,812.8682861328125,1431.8584
quince,1.000342845916748,1.9247427
rootnes,0.39071527123451233,0.40776342
safflower,0.010932279750704765,0.01093228
sesame,66.34097290039062,122.83661
sorghumfor,0.0,0.0
sorghum,39.06422424316406,39.064224
soybean,2.615367889404297,10.515779
spicenes,381.03973388671875,660.4629
spinach,281.1768798828125,493.36456
stonefruitnes,2.3953323364257812,5.233485
strawberry,189.811767578125,330.86914
sugarbeet,117.72245788574219,232.87213
sugarcane,9.792251586914062,15.420593
sunflower,15.476728439331055,21.157578
sweetpotato,0.4738996922969818,0.4738997
tangetc,695.16552734375,1222.8538
taro,28.58269500732422,50.053825
tobacco,4714.4873046875,8088.8535
tomato,3559.21630859375,6152.293
tropicalnes,5.323500633239746,5.555023
turnipfor,0.0,0.0
vegetablenes,1193.8182373046875,2110.8945
vegfor,1875.78173828125,3116.9678
vetch,308.35968017578125,567.08704
walnut,2052.05126953125,3486.2427
watermelon,923.0389404296875,1643.6106
wheat,23316.423828125,44488.676
