Crop,clipped_PA_surf,total_surf
apricot,0.1546318531036377,0.23526043
avocado,38.495975494384766,67.29243
bambara,24.03954315185547,51.80003
banana,932.4974365234375,1074.9879
bean,1179.107421875,3613.9272
cabbagefor,0.0,0.0
cabbage,21.35203742980957,120.010086
carrotfor,0.0,0.0
carrot,4876.96044921875,26265.383
cashew,24225.927734375,143734.64
cassava,1510340.625,7493969.0
castor,2.6764042377471924,7.992675
cerealnes,2.9385604858398438,21.937344
chickpea,0.10756057500839233,3.2171297
chilleetc,5654.2099609375,40990.41
citrusnes,126778.5546875,797285.4
cocoa,438132.5,1239346.9
coconut,9528.8720703125,29486.277
coffee,311.98248291015625,1432.5073
cotton,53470.9296875,362895.4
cowpea,675668.75,4464414.5
cucumberetc,227.2986297607422,454.77185
date,3.1562447547912598,22.159008
eggplant,0.5662184953689575,1.1258857
fig,0.011010919697582722,0.01101092
fonio,7740.8837890625,63325.3
fruitnes,30647.87890625,174768.7
garlic,10.02832317352295,68.13446
ginger,15361.55078125,87276.07
greenbean,7.988783836364746,52.003372
greenbroadbean,1.576896071434021,11.861987
greencorn,35187.03125,196848.61
greenonion,2526.431396484375,13570.849
groundnut,571139.5625,3952134.0
jutelikefiber,155.90061950683594,851.0772
jute,0.2720334231853485,0.5187224
karite,66184.03125,380640.1
kolanut,44501.30859375,239117.33
legumenes,0.0,0.0
lettuce,4.876991271972656,36.449223
maizefor,0.0,0.0
maize,1011437.6875,6659437.0
mango,24027.466796875,128677.26
melonetc,10.342458724975586,22.115894
melonseed,142175.0,839098.44
millet,262256.71875,1962610.0
nutnes,509.00616455078125,2843.929
oilpalm,1232839.125,3545414.5
oilseedfor,0.0,0.0
oilseednes,1.1137837171554565,3.3210328
okra,250219.5625,1451758.2
onion,107366.0546875,571241.4
orange,3.4585628509521484,13.618571
papaya,17220.037109375,89914.09
peachetc,0.12958252429962158,0.2027531
pea,2.155277729034424,16.23952
pepper,4.109431266784668,29.769924
pimento,4983.55224609375,25632.121
pineapple,33337.87890625,175815.34
plantain,97536.0,482821.47
plum,0.11184312403202057,0.16639176
popcorn,0.0,0.0
potato,119996.71875,317205.22
pulsenes,16706.314453125,141286.77
pumpkinetc,206.13018798828125,420.60864
rice,866845.5625,5088136.0
rootnes,7.934537887573242,16.936213
rubber,91646.4453125,306103.7
sesame,86958.171875,573484.3
sorghumfor,0.0,0.0
sorghum,720328.375,5075550.5
soybean,115054.8828125,646405.94
spicenes,733.89208984375,3956.338
stonefruitnes,2.780965805053711,4.639631
sugarcane,4729.5888671875,83912.86
sweetpotato,273183.5,1506011.9
taro,152972.109375,705589.8
tea,68.4766845703125,68.476685
tobacco,2128.69091796875,8196.618
tomato,45764.3515625,254529.8
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,56968.36328125,354833.56
vegfor,217828.734375,814884.56
watermelon,2.3235437870025635,4.9648256
wheat,6685.8359375,50259.1
yam,1144628.75,6162480.5
