Crop,clipped_PA_surf,total_surf
alfalfa,41143.4609375,155993.38
almond,17.259103775024414,31.26074
aniseetc,2491.186767578125,9566.865
apple,13157.615234375,52051.53
apricot,531.5842895507812,2066.2683
artichoke,30.761768341064453,129.2918
asparagus,46.04264450073242,76.90928
barley,117115.8046875,439802.75
bean,5878.728515625,25937.242
beetfor,34.35662841796875,88.26028
berrynes,111.61141204833984,466.80887
blueberry,99.84947204589844,404.9448
broadbean,1464.193359375,3777.3218
buckwheat,64.41910552978516,179.67093
cabbagefor,0.0,0.0
cabbage,6645.2998046875,26455.492
canaryseed,25.49187469482422,69.74686
carrotfor,0.0,0.0
carrot,1270.2689208984375,2878.1729
cauliflower,523.6805419921875,1118.4286
cerealnes,725.1444091796875,2908.3535
cherry,839.3992919921875,3308.0764
chestnut,2.1391139030456543,5.991485
chickpea,29.709728240966797,131.03061
chicory,0.3533203601837158,0.8660786
chilleetc,2516.51171875,9881.998
clover,32375.287109375,127685.05
cotton,1.9726479053497314,4.8788733
cowpea,13.597417831420898,44.33335
cranberry,3.0164058208465576,17.168846
cucumberetc,1807.5684814453125,7081.565
currant,3.13725209236145,9.918288
eggplant,831.82568359375,1651.6404
fig,2.226646900177002,6.656768
flax,13.04396915435791,31.248577
fornes,686.4210205078125,2756.035
fruitnes,1693.7882080078125,6696.0547
garlic,1451.3026123046875,5776.3438
gooseberry,4.182767868041992,11.538558
grape,41807.140625,170233.1
grassnes,41002.125,155445.92
greenbean,1398.5426025390625,5597.827
greenbroadbean,4.1310625076293945,6.6085606
greencorn,55.05575180053711,205.02478
greenonion,8.493270874023438,14.237757
greenpea,597.3629760742188,2355.2405
groundnut,729.4496459960938,943.99585
hazelnut,79.68729400634766,206.96828
hempseed,360.650390625,1445.5642
hemp,296.1240234375,1188.2505
hop,61.94576644897461,247.3859
legumenes,43321.140625,161560.31
lentil,19.169307708740234,31.163929
lettuce,45.34115219116211,200.78624
linseed,385.3421325683594,1546.0352
lupin,10.061020851135254,26.415392
maizefor,14327.390625,55850.137
maize,653721.625,2672215.8
melonetc,1419.5032958984375,6159.288
millet,678.35693359375,2795.1045
mixedgrain,6.215771675109863,15.62342
mixedgrass,39124.51953125,150243.47
mustard,3162.1337890625,12715.09
nutnes,8.304289817810059,16.113478
oats,33568.87890625,82181.484
oilseedfor,0.0,0.0
oilseednes,499.0105285644531,1069.5178
olive,0.9881073236465454,1.7092417
onion,4315.54052734375,17159.236
orange,1.0661518573760986,3.2258236
peachetc,428.39801025390625,1626.1711
pear,790.6959838867188,3139.2932
pea,21684.009765625,84024.07
pimento,7318.56689453125,29290.924
plum,17059.4765625,67748.914
popcorn,0.0,0.0
poppy,775.8590087890625,3100.794
potato,46880.61328125,175343.06
pulsenes,404.4425354003906,1791.098
pumpkinetc,412.4415588378906,1697.6624
quince,274.5345153808594,1102.0448
rapeseed,92287.890625,344081.44
rasberry,57.32193374633789,188.22809
rice,686.1886596679688,4298.0483
ryefor,0.0,0.0
rye,3874.29833984375,11278.744
safflower,0.7886595726013184,2.1193423
sorghumfor,0.0,0.0
sorghum,2354.848876953125,9527.121
sourcherry,508.9080810546875,1144.1846
soybean,51323.578125,169849.84
spicenes,6.294129848480225,11.176827
spinach,26.68598175048828,46.660374
strawberry,820.23291015625,3187.2097
sugarbeet,4986.427734375,22719.969
sunflower,298098.5625,1185080.6
tobacco,215.2115936279297,503.6718
tomato,5733.2646484375,22689.11
triticale,17224.361328125,54947.65
tropicalnes,0.0,0.0
turnipfor,8.172041893005371,22.358185
vegetablenes,5958.419921875,23492.35
vegfor,69.38516235351562,269.0424
vetch,27.429279327392578,75.004456
walnut,474.94122314453125,1751.9977
watermelon,4053.318603515625,7357.423
wheat,556139.25,2272780.5
